600108 亚盛集团 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2009/01/08	3.20	3.22	3.10	3.12	10676500	33645748.00
2009/01/09	3.12	3.25	3.12	3.24	12364500	39533748.00
2009/01/12	3.19	3.31	3.17	3.25	14999500	48882500.00
2009/01/13	3.20	3.22	3.11	3.14	11584100	36565736.00
2009/01/14	3.13	3.23	3.12	3.23	11343100	36144684.00
2009/01/15	3.19	3.28	3.17	3.24	17722100	57275296.00
2009/01/16	3.26	3.36	3.25	3.29	25269400	83894848.00
2009/01/19	3.31	3.35	3.25	3.29	13498000	44557076.00
2009/01/20	3.26	3.33	3.25	3.33	10954200	36081180.00
2009/01/21	3.30	3.35	3.28	3.29	12597900	41794664.00
2009/01/22	3.30	3.44	3.25	3.39	27137600	90924136.00
2009/01/23	3.40	3.48	3.37	3.40	29844400	102243096.00
2009/02/02	3.48	3.74	3.46	3.74	53040100	196274128.00
2009/02/03	3.95	3.95	3.76	3.81	118291900	454380672.00
2009/02/04	3.82	4.13	3.75	4.00	91984200	361730208.00
2009/02/05	3.93	4.04	3.89	3.92	66284600	261667616.00
2009/02/06	3.94	4.12	3.93	4.07	66566500	269058304.00
2009/02/09	4.20	4.28	4.12	4.19	88807400	373054368.00
2009/02/10	4.19	4.34	4.08	4.25	57475900	242440432.00
2009/02/11	4.16	4.27	4.11	4.17	61350200	256323008.00
2009/02/12	4.17	4.20	3.97	4.10	46209800	187840576.00
2009/02/13	4.10	4.51	4.10	4.51	103996400	451314048.00
2009/03/12	4.36	4.56	4.09	4.28	87171500	375417760.00
2009/03/13	4.20	4.23	3.98	4.02	50718700	206454336.00
2009/03/16	3.95	4.00	3.89	3.99	26968800	106342880.00
2009/03/17	4.00	4.15	3.93	4.11	33402800	136051904.00
2009/03/18	4.14	4.18	4.09	4.09	34634200	142769664.00
2009/03/19	4.09	4.50	4.03	4.43	71386900	305936544.00
2009/03/20	4.35	4.43	4.26	4.32	48021600	208293120.00
2009/03/23	4.32	4.50	4.32	4.49	54627700	242883856.00
2009/03/24	4.55	4.68	4.45	4.59	65877400	301615616.00
2009/03/25	4.52	4.75	4.47	4.53	53995300	249036432.00
2009/03/26	4.52	4.78	4.37	4.74	49249100	226061824.00
2009/03/30	4.66	4.82	4.64	4.74	35810900	168971024.00
2009/03/31	4.60	4.81	4.50	4.80	34864200	163618352.00
2009/04/01	4.81	5.05	4.70	4.71	101854700	488286368.00
2009/04/02	4.72	4.75	4.60	4.61	44941600	209068048.00
2009/04/03	4.62	4.79	4.47	4.72	59012400	276504480.00
2009/04/07	4.70	4.71	4.58	4.68	26375700	122596600.00
2009/04/08	4.66	4.68	4.40	4.42	32670800	148235280.00
2009/04/09	4.45	4.57	4.40	4.50	25120500	112757616.00
