600132 重庆啤酒 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2009/01/08	13.99	14.60	13.90	14.28	8523000	121469400.00
2009/01/09	14.38	15.09	14.35	14.72	8958500	132453560.00
2009/01/12	14.65	14.97	13.80	14.09	12862000	183070208.00
2009/01/13	13.83	13.98	13.36	13.47	9038800	122725744.00
2009/01/14	13.70	13.86	13.47	13.85	5897900	80737304.00
2009/01/15	13.65	14.05	13.48	13.86	5418800	74508080.00
2009/01/16	14.00	14.35	13.87	13.99	6204900	87701880.00
2009/01/19	14.09	14.29	13.44	13.55	6177600	84450600.00
2009/01/20	13.67	14.22	13.50	14.16	5763300	80528592.00
2009/01/22	14.31	14.37	13.80	13.97	4350100	61060936.00
2009/01/23	13.98	14.03	13.60	13.65	3426900	47037256.00
2009/02/02	13.77	14.10	13.68	14.01	4153400	57976868.00
2009/02/03	14.03	14.27	13.89	14.24	5528700	78139112.00
2009/02/04	14.40	14.65	14.12	14.47	6737000	96687824.00
2009/02/05	14.40	15.08	14.30	14.66	9048400	133232544.00
2009/02/06	14.68	15.13	14.60	15.09	9583500	142566160.00
2009/02/09	15.30	15.35	14.86	15.02	8999300	135594608.00
2009/02/10	15.00	15.15	14.78	15.11	7158700	107101648.00
2009/02/11	14.99	16.38	14.82	15.95	14476500	227722576.00
2009/02/12	16.00	17.20	15.72	17.14	16754800	275859392.00
2009/02/13	16.95	17.70	16.80	17.37	12675500	219291360.00
2009/02/16	17.16	17.70	17.03	17.39	9702400	167997216.00
2009/02/17	17.28	17.30	16.57	16.71	10135500	171461008.00
2009/02/18	16.39	17.06	16.25	16.70	12499500	209232096.00
2009/02/19	17.05	18.37	17.05	18.09	16248000	292748128.00
2009/02/20	18.01	19.46	17.90	18.82	10020000	185410384.00
2009/02/23	18.71	19.70	18.51	19.29	5785800	111315512.00
2009/02/24	19.05	19.40	18.17	18.20	7531100	140375024.00
2009/02/25	18.42	19.08	17.85	18.96	7714400	142134288.00
2009/02/26	19.33	20.80	17.88	18.48	15628500	305516928.00
2009/02/27	18.22	19.20	17.02	19.14	11670200	213818720.00
2009/03/02	19.15	21.05	18.90	21.05	23119300	476181248.00
2009/03/03	20.60	21.53	20.25	21.05	15707800	329132704.00
2009/03/04	20.91	21.87	20.65	21.56	12589700	268169200.00
2009/03/05	21.50	22.77	20.88	22.69	16666700	364052768.00
2009/03/06	22.18	23.79	22.01	22.16	15649900	357346528.00
2009/03/09	22.04	22.35	20.91	21.21	11983900	256770416.00
2009/03/10	20.81	21.68	20.80	21.54	6524400	139587904.00
2009/03/11	21.88	22.67	21.20	22.12	8429800	185169264.00
2009/03/12	21.68	22.08	19.98	20.52	10496700	218741296.00
2009/03/13	20.49	21.00	19.80	20.29	7124700	145619424.00
2009/03/16	19.98	20.65	19.40	20.46	5731400	114941776.00
2009/03/17	20.42	21.27	20.38	20.80	6650000	139030112.00
2009/03/18	20.85	21.15	20.70	20.81	5574900	116869528.00
2009/03/19	20.75	21.97	20.71	21.95	6588200	142440224.00
2009/03/20	22.00	22.10	21.12	21.26	6805500	146115248.00
2009/03/23	21.28	21.83	21.20	21.40	6748600	144519856.00
2009/03/24	21.53	22.30	21.28	21.98	7722600	169122848.00
2009/03/25	21.80	22.00	20.40	20.45	6853800	145706912.00
2009/03/26	20.51	20.85	20.12	20.71	5817000	118780432.00
2009/03/27	20.72	20.95	20.40	20.75	4101500	84645536.00
2009/03/30	20.80	21.66	20.80	21.12	4521000	96613880.00
2009/03/31	20.65	21.18	20.20	20.75	4190200	86487640.00
2009/04/01	20.95	21.38	20.75	21.35	4655800	98322048.00
2009/04/02	21.48	22.15	21.40	21.45	6610500	144243200.00
2009/04/03	21.11	21.39	20.61	20.80	5268400	110441488.00
2009/04/07	20.87	21.80	20.76	21.56	5163800	109982568.00
2009/04/09	20.78	21.43	20.27	21.25	4315000	90060264.00
2009/04/10	21.43	22.48	21.27	22.29	9736600	214813424.00
2009/04/13	22.20	23.13	22.08	22.29	7677000	173063680.00
2009/04/14	22.37	22.95	22.27	22.54	4976600	112324736.00
2009/04/15	22.64	22.99	22.09	22.35	5876000	131989224.00
2009/04/16	22.40	22.77	22.19	22.69	5411800	121706936.00
2009/04/17	22.78	24.96	22.69	24.96	18489700	453643840.00
2009/04/20	24.96	25.50	24.35	25.25	10247200	256426112.00
2009/04/21	24.90	24.99	24.00	24.38	6936900	169681696.00
2009/04/22	24.48	24.95	22.01	22.30	11010000	256876896.00
2009/04/23	22.07	22.10	21.21	21.67	5835600	126202328.00
2009/04/24	21.70	22.29	21.61	21.64	4454000	97749248.00
2009/04/27	21.70	22.04	19.96	20.39	5961500	122988232.00
2009/04/28	20.20	20.80	20.10	20.73	3726500	76551168.00
2009/04/29	20.74	21.06	20.30	20.87	4000300	83218680.00
2009/04/30	21.15	21.22	20.62	20.84	4187100	87233528.00
2009/05/04	21.00	21.78	20.56	21.73	4226500	90609728.00
2009/05/05	22.00	22.10	21.50	21.82	3851200	83550624.00
2009/05/06	21.73	22.76	21.60	22.55	5968500	131693872.00
2009/05/07	22.60	22.75	21.85	21.95	6163100	137006928.00
2009/05/08	21.85	21.88	20.90	21.36	5396600	115187296.00
2009/05/11	21.05	21.63	20.18	20.26	4778900	100513408.00
2009/05/12	20.00	20.56	19.86	20.49	3856200	78165408.00
2009/05/13	20.30	21.06	20.30	20.71	3410700	70971448.00
2009/05/14	21.17	21.93	20.98	21.23	7711400	165600624.00
2009/05/15	21.40	21.48	20.78	20.92	5235200	110375512.00
