600227 圣济堂 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2009/01/08	6.89	6.98	6.78	6.78	2953400	20253414.00
2009/01/09	6.73	7.04	6.73	6.96	2607700	18017834.00
2009/01/12	6.88	7.27	6.88	7.18	5179800	37181504.00
2009/01/13	7.14	7.90	7.07	7.67	19951300	152832272.00
2009/01/14	7.55	7.89	7.51	7.88	16289100	125727632.00
2009/01/15	7.77	7.93	7.68	7.70	10725600	83534368.00
2009/01/16	7.78	8.00	7.75	7.81	10753700	84840136.00
2009/01/19	7.95	8.53	7.95	8.42	17324400	143997760.00
2009/01/20	8.34	8.45	8.17	8.40	7194200	59861320.00
2009/01/21	8.25	8.67	8.20	8.44	9194200	77919056.00
2009/01/22	8.48	8.63	8.28	8.55	7219100	60810208.00
2009/01/23	8.56	8.56	8.19	8.22	7518700	62501496.00
2009/02/02	8.37	8.88	8.24	8.79	10093400	86929408.00
2009/02/03	8.70	9.09	8.66	8.98	10419700	92674512.00
2009/02/04	9.01	9.45	9.01	9.19	9212000	85118576.00
2009/02/05	9.20	9.30	8.80	8.93	9952700	89825144.00
2009/02/06	8.95	9.29	8.95	9.27	8011200	73590632.00
2009/02/09	9.38	9.80	9.12	9.68	13427300	126140040.00
2009/02/10	9.35	10.03	9.20	10.01	22953200	219158528.00
2009/02/11	9.68	9.91	9.38	9.56	19559100	189188656.00
2009/02/12	9.60	9.62	8.97	9.27	15634100	144003600.00
2009/02/13	9.28	9.53	9.20	9.50	13025500	122186240.00
2009/02/16	9.53	9.95	9.40	9.92	20184200	195445344.00
2009/02/17	10.11	10.57	9.75	9.76	30137500	306683776.00
2009/02/18	9.45	9.64	9.06	9.09	15733400	146522976.00
2009/02/19	9.24	9.37	9.01	9.20	8342300	76212176.00
2009/02/20	9.35	9.45	9.20	9.40	8641300	80678168.00
2009/02/23	9.43	9.80	9.22	9.72	12669500	120874920.00
2009/02/24	9.59	9.70	9.09	9.15	13111800	123145592.00
2009/02/25	9.17	9.32	8.81	9.15	8629600	78537704.00
2009/02/26	9.13	9.22	8.25	8.38	7766100	68405272.00
2009/02/27	8.37	8.37	7.72	7.79	8227600	65570540.00
2009/03/03	7.78	8.04	7.69	7.97	6426000	50922492.00
2009/03/04	7.97	8.55	7.97	8.55	8417100	70200472.00
2009/03/05	8.65	8.80	8.35	8.55	9696900	83381208.00
2009/03/06	8.37	8.55	8.30	8.43	4947200	41688780.00
2009/03/09	8.47	8.60	8.02	8.06	5126600	42507180.00
2009/03/10	7.99	8.36	7.89	8.36	4011900	32603094.00
2009/03/11	8.50	8.54	8.26	8.30	4935900	41493808.00
