600320 振华重工 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2009/01/08	8.60	9.06	8.47	9.05	33531600	294371552.00
2009/01/09	9.00	9.20	8.93	9.08	23098600	209923376.00
2009/01/12	9.08	9.15	8.86	8.89	18606600	167500144.00
2009/01/13	8.79	8.85	8.55	8.58	13782400	119768608.00
2009/01/14	8.58	8.94	8.54	8.90	14530500	127458384.00
2009/01/15	8.80	8.98	8.69	8.78	19309500	170316864.00
2009/01/16	8.88	9.32	8.88	9.01	33352600	304912608.00
2009/01/19	9.14	9.23	9.00	9.19	19848800	180999232.00
2009/01/20	9.11	9.33	9.01	9.25	13684000	125470912.00
2009/01/21	9.09	9.33	9.00	9.08	15436100	141371104.00
2009/01/22	9.18	9.25	9.05	9.22	12700400	116382784.00
2009/01/23	9.22	9.22	8.96	8.99	14488200	131344256.00
2009/02/02	9.12	9.24	8.98	9.19	12409400	112967416.00
2009/02/03	9.23	9.55	9.18	9.53	23689100	223584272.00
2009/02/04	9.91	9.99	9.59	9.71	27793600	270916448.00
2009/02/05	9.82	10.28	9.67	9.83	36186800	361659968.00
2009/02/06	9.99	10.28	9.90	10.22	28854600	290978400.00
2009/02/09	10.35	10.68	10.28	10.41	32802200	342075424.00
2009/02/10	10.45	10.56	10.21	10.55	25931400	269877408.00
2009/02/11	10.33	10.85	10.26	10.42	32052500	336312800.00
2009/02/12	10.64	10.89	10.20	10.59	30172900	318823424.00
2009/02/13	10.59	11.00	10.41	10.89	32997500	354656320.00
2009/02/16	10.93	11.10	10.71	11.00	27023600	294105760.00
2009/02/17	10.98	10.98	10.44	10.47	27525200	295086560.00
2009/02/18	10.31	10.79	10.00	10.06	29495200	306605152.00
2009/02/19	10.22	10.48	10.10	10.36	20136700	207623152.00
2009/02/20	10.36	10.58	10.13	10.51	18486400	192561872.00
2009/02/23	10.52	10.95	10.45	10.86	23907100	257767584.00
2009/02/24	10.74	10.82	10.23	10.25	23480700	246626192.00
2009/02/25	10.39	10.46	9.90	10.19	19844400	201683824.00
2009/02/26	10.17	10.33	9.41	9.54	18282500	181053392.00
2009/02/27	9.50	9.54	9.09	9.24	15547600	143853952.00
2009/03/02	9.10	9.48	9.10	9.39	9490200	88658408.00
2009/03/03	9.12	9.37	9.04	9.25	9506800	88121384.00
2009/03/04	9.31	9.85	9.28	9.83	22356700	213830160.00
2009/03/05	9.98	9.98	9.56	9.77	20823500	203839584.00
2009/03/06	9.60	9.77	9.46	9.61	13078600	125495144.00
2009/03/09	9.65	9.77	9.16	9.23	14121300	132818216.00
2009/03/10	9.29	9.45	9.20	9.42	10948400	102526584.00
2009/03/11	9.60	9.61	9.31	9.34	8545500	80671896.00
2009/03/12	9.31	9.41	9.17	9.37	8013400	74471736.00
2009/03/13	9.48	9.48	9.30	9.30	8081900	76070600.00
