600361 创新新材 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2009/01/08	6.60	6.73	6.37	6.70	6972500	45742664.00
2009/01/09	6.70	6.70	6.47	6.63	11663200	76468056.00
2009/01/12	6.58	6.80	6.38	6.78	9521600	63041484.00
2009/01/13	6.66	6.70	6.41	6.48	4417800	28922460.00
2009/01/14	6.42	7.05	6.42	6.71	6659500	44588712.00
2009/01/15	6.62	6.75	6.52	6.64	7496200	49778500.00
2009/01/16	6.68	7.06	6.64	7.01	22710300	155368752.00
2009/01/19	7.09	7.12	6.70	6.80	14179900	97465920.00
2009/01/20	6.80	6.83	6.57	6.80	7498000	50313904.00
2009/01/21	6.63	6.73	6.55	6.70	7616100	50566884.00
2009/01/22	6.68	6.74	6.55	6.66	8540000	56588648.00
2009/01/23	6.66	6.68	6.45	6.51	8899900	58122940.00
2009/02/02	6.57	6.63	6.40	6.60	7376800	48065520.00
2009/02/03	6.60	7.10	6.52	6.95	19941000	136498896.00
2009/02/04	6.96	7.45	6.80	7.33	32583600	231774224.00
2009/02/05	7.29	7.49	7.20	7.24	22623300	166035776.00
2009/02/06	7.24	7.77	7.24	7.68	19842900	149831952.00
2009/02/09	7.79	8.45	7.50	8.45	36586300	293695904.00
2009/02/10	8.43	8.56	8.15	8.44	26146600	217861104.00
2009/02/11	8.23	8.68	8.20	8.47	31213000	262493456.00
2009/02/12	8.47	8.54	8.03	8.41	18848800	156202992.00
2009/02/13	8.32	8.76	8.21	8.69	30416700	260261408.00
2009/02/16	8.80	8.90	8.48	8.84	21015600	183115424.00
2009/02/17	8.83	8.83	8.23	8.24	18351600	155629104.00
2009/02/18	8.09	8.36	7.71	7.73	14961500	120892568.00
2009/02/19	7.85	8.19	7.70	8.09	13706000	108112112.00
2009/02/20	8.00	8.24	7.95	8.21	11106500	89951000.00
2009/02/23	8.22	8.43	7.97	8.36	18797700	154754240.00
2009/02/24	8.26	8.57	7.70	7.79	21167200	172811808.00
2009/02/25	7.88	7.96	7.52	7.86	14368100	111398624.00
2009/02/26	7.84	7.96	7.07	7.18	13697800	104010040.00
2009/02/27	7.10	7.18	6.65	6.81	11460600	78443952.00
2009/03/02	6.76	6.94	6.74	6.90	5015700	34329280.00
2009/03/03	6.70	6.86	6.60	6.77	5156200	34706460.00
2009/03/04	6.81	7.25	6.79	7.19	10269200	72574752.00
2009/03/05	7.28	7.45	7.17	7.40	15287200	111538048.00
2009/03/06	7.21	7.63	7.17	7.50	10943100	81395232.00
2009/03/09	7.57	7.67	6.94	6.99	8172700	59921932.00
2009/03/10	6.92	7.23	6.72	7.22	6504600	45314752.00
2009/03/11	7.38	7.39	7.11	7.19	6942900	50258784.00
2009/03/12	7.09	7.14	6.79	7.03	10764600	74851032.00
2009/03/13	7.03	7.10	6.81	6.82	6225000	43379012.00
2009/03/16	6.84	6.91	6.70	6.89	4675100	31824912.00
2009/03/17	6.91	7.26	6.86	7.17	10948700	77195536.00
2009/03/18	7.18	7.49	7.18	7.27	14007300	102701336.00
2009/03/19	7.27	7.62	7.26	7.61	19102700	142106128.00
2009/03/20	7.68	7.90	7.47	7.79	24121400	185330416.00
2009/03/23	7.72	7.99	7.67	7.93	19765100	154051696.00
2009/03/24	7.93	7.98	7.71	7.75	12970400	101175864.00
2009/03/25	7.74	7.87	7.60	7.61	11040700	85168160.00
2009/03/26	7.61	7.75	7.38	7.73	10890100	82554088.00
2009/03/27	7.78	7.93	7.72	7.80	10985900	85927560.00
2009/03/30	7.83	7.89	7.70	7.76	7459700	57993604.00
2009/03/31	7.62	7.86	7.50	7.82	8463200	65062916.00
2009/04/02	8.00	8.44	8.00	8.08	24250700	198464592.00
2009/04/03	8.08	8.28	7.85	7.86	12809300	102802712.00
2009/04/07	7.91	8.12	7.75	8.10	10373600	82032368.00
2009/04/08	8.05	8.09	7.76	7.83	10572600	83327568.00
2009/04/09	7.81	7.89	7.62	7.82	7305100	56540064.00
2009/04/10	7.85	8.15	7.85	8.10	13391800	107464808.00
2009/04/13	8.16	8.39	8.10	8.20	16116900	132564992.00
2009/04/14	8.16	8.54	8.07	8.52	24386900	202394128.00
2009/04/15	8.40	8.80	8.27	8.74	23359900	198738912.00
2009/04/16	8.73	9.10	8.65	8.93	36080400	322193504.00
