600378 昊华科技 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2009/01/08	4.62	4.64	4.48	4.49	3003100	13695585.00
2009/01/09	4.45	4.62	4.45	4.61	2100600	9572112.00
2009/01/12	4.66	4.95	4.60	4.84	6046200	29115614.00
2009/01/13	4.85	4.96	4.75	4.89	7661600	37262640.00
2009/01/14	4.84	5.08	4.81	5.07	9174100	45902600.00
2009/01/15	5.02	5.28	4.94	5.18	8890000	45902956.00
2009/01/16	5.20	5.26	5.08	5.11	8248600	42578668.00
2009/01/19	5.11	5.17	4.97	5.02	5289700	26716692.00
2009/01/20	4.97	5.18	4.95	5.17	3597600	18378670.00
2009/01/21	5.10	5.36	5.03	5.34	7606300	39937600.00
2009/01/22	5.40	5.55	5.27	5.29	7049100	37894412.00
2009/01/23	5.29	5.40	5.23	5.26	4198600	22314404.00
2009/02/02	5.31	5.44	5.17	5.43	4033800	21505426.00
2009/02/03	5.38	5.66	5.38	5.63	8187900	44997964.00
2009/02/04	5.60	5.68	5.51	5.64	6693300	37398716.00
2009/02/05	5.62	5.72	5.54	5.60	8785400	49415424.00
2009/02/06	5.60	5.94	5.58	5.92	8959100	52088228.00
2009/02/09	5.96	6.03	5.81	5.99	9474800	56284808.00
2009/02/10	5.95	6.48	5.83	6.43	11610300	71543456.00
2009/02/11	6.20	6.65	6.11	6.29	12305600	77749264.00
2009/02/12	6.25	6.59	6.00	6.55	13451400	85074568.00
2009/02/13	6.54	6.83	6.41	6.70	10204700	67289152.00
2009/02/16	6.66	6.80	6.52	6.71	7673700	51015596.00
2009/02/17	6.69	6.69	6.28	6.45	9025300	57960232.00
2009/02/18	6.30	6.53	6.06	6.07	7864000	49823540.00
2009/02/19	6.18	6.27	6.05	6.10	3950600	24216270.00
2009/02/20	6.22	6.34	6.10	6.31	4994300	31187524.00
2009/02/23	6.35	6.94	6.19	6.88	13552800	89679832.00
2009/02/24	6.70	6.89	6.37	6.48	9743500	64592300.00
2009/02/25	6.60	7.11	6.37	7.10	12808600	86307112.00
2009/02/26	7.02	7.10	6.39	6.39	10610700	71740000.00
2009/02/27	6.26	6.38	5.76	5.93	8827900	53359796.00
2009/03/02	5.82	6.28	5.80	6.14	4503800	27528848.00
2009/03/03	6.05	6.67	5.90	6.51	8296200	53020164.00
2009/03/04	6.55	6.86	6.55	6.79	12209100	81974208.00
2009/03/05	6.97	7.03	6.59	6.99	12065400	82762040.00
2009/03/06	6.90	7.28	6.81	7.01	13047500	92115472.00
2009/03/09	7.05	7.58	7.05	7.19	17873000	131365528.00
2009/03/10	7.02	7.37	6.70	7.37	10501800	74089888.00
2009/03/11	7.52	7.56	7.12	7.20	11042100	81377072.00
2009/03/12	7.11	7.37	6.88	7.25	5852800	41506876.00
2009/03/13	7.20	7.62	7.20	7.49	14840500	111174008.00
