600428 中远海特 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2002/04/18	12.55	13.00	11.98	12.20	83322000	1042539712.00
2002/04/19	12.10	12.19	11.78	12.14	15322400	183420752.00
2002/04/22	11.98	12.10	11.80	11.82	4760200	56682296.00
2002/04/23	11.76	12.00	11.70	11.89	4687928	55503368.00
2002/04/24	11.90	12.00	11.75	11.87	3474682	41315968.00
2002/04/25	11.81	12.17	11.78	12.12	4863837	58327916.00
2002/04/26	12.13	12.24	12.00	12.15	4814504	58536420.00
2002/04/29	12.18	12.23	12.05	12.15	4365700	53002004.00
2002/04/30	12.16	12.75	12.10	12.53	17101216	213726112.00
2002/05/08	12.41	12.50	12.29	12.30	3524100	43563528.00
2002/05/09	12.25	12.42	12.20	12.29	2788338	34331488.00
2002/05/10	12.29	12.30	12.06	12.11	3875800	47217576.00
2002/05/13	12.08	12.09	11.95	11.99	2886769	34640836.00
2002/05/14	11.95	12.13	11.91	11.96	1931617	23169780.00
2002/05/15	11.92	12.00	11.70	11.79	2702184	32130592.00
2002/05/16	11.72	11.80	11.40	11.43	5609868	64921456.00
2002/05/17	11.43	11.70	11.30	11.69	3530054	40573640.00
2002/05/20	11.57	11.57	11.26	11.40	2188085	24869164.00
2002/05/21	11.70	11.86	11.52	11.69	3995531	46713564.00
2002/05/22	11.70	11.75	11.38	11.40	2043819	23504738.00
2002/05/23	11.55	11.68	11.40	11.41	1426083	16419644.00
2002/05/24	11.41	11.45	11.14	11.16	2368596	26618172.00
2002/05/27	11.48	11.48	11.20	11.26	710447	8003190.00
2002/05/28	11.26	11.46	11.26	11.28	838600	9529782.00
2002/05/29	11.28	11.29	10.98	11.00	2635435	29116112.00
2002/05/30	11.01	11.10	10.82	11.03	1821770	19921280.00
2002/05/31	11.00	11.10	10.86	10.86	877061	9599261.00
2002/06/03	10.85	10.85	10.58	10.61	2086521	22292932.00
2002/06/04	10.65	10.79	10.51	10.71	1513270	16134634.00
2002/06/05	10.68	10.71	10.44	10.54	1719810	18079184.00
2002/06/06	10.47	11.25	10.45	11.02	4398508	48051400.00
2002/06/07	11.05	11.30	10.88	11.11	3744975	41745272.00
2002/06/10	11.08	11.09	10.90	10.97	742800	8162979.00
2002/06/11	10.91	11.11	10.90	11.06	837050	9240701.00
2002/06/12	11.06	11.06	10.93	10.98	957290	10525011.00
2002/06/13	11.05	11.05	10.93	10.94	666260	7312451.00
2002/06/14	10.88	10.88	10.67	10.67	1008500	10845995.00
2002/06/17	10.50	10.72	10.50	10.67	328900	3497775.00
2002/06/18	10.67	10.98	10.67	10.89	854800	9294836.00
2002/06/19	10.90	10.90	10.75	10.79	467700	5054724.00
2002/06/20	10.85	11.01	10.75	10.92	554500	6063408.00
2002/06/21	10.88	11.32	10.88	11.26	2843800	31962812.00
2002/06/24	12.39	12.39	11.84	12.39	21738200	267199920.00
2002/06/25	12.58	13.15	12.19	12.52	18128400	230780848.00
2002/06/26	12.45	12.80	12.30	12.74	7031100	88117264.00
2002/06/27	12.54	12.88	12.54	12.82	6388400	81302560.00
2002/06/28	12.82	13.20	12.67	13.05	15026200	194980816.00
2002/07/01	13.12	13.19	12.78	12.84	6686800	86530928.00
2002/07/02	12.78	12.88	12.60	12.84	3163700	40161548.00
2002/07/03	12.84	12.95	12.64	12.81	3180300	40602368.00
2002/07/04	12.84	13.10	12.68	12.73	3840600	49256416.00
2002/07/05	12.70	12.81	12.58	12.80	2710100	34410464.00
2002/07/08	12.90	14.07	12.89	13.49	25630400	347391904.00
2002/07/09	13.40	13.68	13.38	13.45	8768100	118714152.00
2002/07/10	13.43	13.50	13.16	13.24	6302700	83737184.00
2002/07/11	13.18	13.37	13.05	13.26	4150700	54844264.00
2002/07/12	13.25	13.27	13.08	13.17	2919000	38356068.00
2002/07/15	13.10	13.11	12.78	12.82	2912500	37657688.00
2002/07/16	12.85	13.06	12.80	12.83	2145400	27709102.00
2002/07/17	12.84	12.90	12.65	12.85	1770800	22559732.00
2002/07/18	12.88	12.95	12.76	12.82	1436400	18519384.00
2002/07/19	12.85	12.95	12.81	12.94	1344500	17336444.00
2002/07/22	12.95	12.96	12.52	12.57	1948400	24726568.00
2002/07/23	12.54	12.69	12.46	12.49	1581800	19799024.00
2002/07/24	12.49	12.65	12.49	12.55	812600	10202349.00
2002/07/25	12.60	12.65	12.48	12.56	909500	11413333.00
2002/07/26	12.63	12.68	12.50	12.57	546800	6881347.00
2002/07/29	12.57	12.69	12.45	12.66	636195	7956870.00
2002/07/30	12.66	12.68	12.49	12.62	632910	7956989.00
2002/07/31	12.59	12.62	12.47	12.52	772610	9685069.00
2002/08/01	12.45	12.50	12.26	12.26	1057068	13032233.00
2002/08/02	12.50	12.59	12.27	12.42	1262400	15618610.00
2002/08/05	12.48	12.50	12.30	12.43	670379	8321242.00
2002/08/06	12.42	12.78	12.32	12.61	1049294	13247199.00
2002/08/07	12.61	12.67	12.54	12.65	504850	6369526.00
2002/08/08	12.58	12.70	12.53	12.54	379028	4776285.00
