600433 冠豪高新 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2009/01/08	4.02	4.47	4.02	4.29	5346400	22813368.00
2009/01/09	4.16	4.38	4.16	4.32	2571600	11038179.00
2009/01/12	4.29	4.44	4.20	4.32	2897100	12532126.00
2009/01/13	4.29	4.29	4.11	4.13	1513100	6332425.50
2009/01/14	4.15	4.30	4.13	4.29	1553300	6538847.50
2009/01/15	4.27	4.35	4.22	4.29	1950300	8354009.50
2009/01/16	4.28	4.40	4.27	4.38	3139300	13625831.00
2009/01/19	4.40	4.48	4.35	4.45	2765500	12226816.00
2009/01/20	4.42	4.45	4.29	4.39	1148700	5024166.00
2009/01/21	4.32	4.44	4.31	4.35	900000	3935589.00
2009/01/22	4.40	4.40	4.29	4.33	1324100	5733790.00
2009/01/23	4.30	4.34	4.16	4.16	1376100	5851048.00
2009/02/02	4.25	4.31	4.14	4.29	1208600	5131781.50
2009/02/03	4.20	4.60	4.20	4.57	3957800	17729348.00
2009/02/04	4.60	4.66	4.50	4.61	3785900	17347318.00
2009/02/05	4.65	4.79	4.44	4.55	4127300	19154574.00
2009/02/06	4.55	4.98	4.55	4.86	5605500	26747008.00
2009/02/09	4.99	5.06	4.80	5.05	6363200	31286538.00
2009/02/11	5.56	5.56	5.47	5.56	3601700	20009562.00
2009/02/20	6.12	6.12	6.12	6.12	295300	1807236.00
2009/02/23	6.73	6.73	6.73	6.73	496800	3343901.50
2009/02/24	7.16	7.40	6.96	7.40	19872100	143769936.00
2009/02/26	7.20	7.49	6.66	6.66	12693700	86071936.00
2009/02/27	6.18	6.29	5.99	5.99	8193200	49395104.00
2009/03/02	5.66	6.05	5.62	5.99	4266500	25223138.00
2009/03/03	5.78	6.35	5.66	6.16	5410000	33211480.00
2009/03/04	6.18	6.47	6.07	6.41	7771200	49026024.00
2009/03/05	6.45	6.45	6.11	6.29	5861000	36742984.00
2009/03/06	6.13	6.19	6.01	6.06	3319800	20214826.00
2009/03/09	6.07	6.34	5.81	5.84	3947300	24072070.00
2009/03/10	5.90	6.10	5.75	6.08	2818100	16626339.00
2009/03/11	6.18	6.26	5.93	6.13	4043000	24727532.00
2009/03/12	6.14	6.38	6.10	6.36	5997700	37400136.00
2009/03/13	6.35	6.50	6.10	6.12	5000100	31603586.00
2009/03/16	6.08	6.17	5.86	6.08	3124300	18632260.00
2009/03/17	6.09	6.28	5.89	6.25	3552300	21776390.00
2009/03/18	6.25	6.48	6.21	6.44	6388700	40666304.00
2009/03/19	6.42	7.08	6.42	7.06	13363100	91623112.00
2009/03/20	6.88	7.15	6.72	6.86	9449500	65356788.00
2009/03/23	6.82	7.08	6.72	7.02	7212600	50400288.00
2009/03/24	7.02	7.29	6.90	7.08	6570400	46488100.00
2009/03/25	7.09	7.13	6.65	6.67	5170300	35576668.00
2009/03/26	6.64	6.94	6.62	6.92	4327600	29369584.00
2009/03/27	6.95	7.06	6.81	6.93	3608600	24955444.00
2009/03/30	7.00	7.35	6.87	7.30	4736400	33701272.00
2009/03/31	7.17	7.27	6.95	7.24	3452000	24633198.00
2009/04/01	7.24	7.65	7.18	7.35	4595400	34115852.00
2009/04/02	7.30	7.68	7.20	7.21	3587600	26467972.00
2009/04/03	7.26	7.38	6.85	6.89	3904700	27361464.00
2009/04/07	6.96	7.03	6.78	6.99	2340500	16097906.00
2009/04/08	6.97	6.99	6.70	6.70	1811600	12404568.00
2009/04/09	6.73	6.93	6.60	6.90	2319100	15524041.00
2009/04/10	6.90	7.28	6.75	7.15	6688500	47119900.00
2009/04/13	7.16	7.25	6.94	6.96	4607400	32449246.00
2009/04/14	6.95	7.10	6.83	7.09	2482500	17295794.00
2009/04/15	7.02	7.25	6.83	7.23	3859700	27253712.00
2009/04/16	7.35	7.95	7.30	7.95	11054900	85459576.00
2009/04/17	7.95	7.95	7.50	7.66	6195200	47529888.00
2009/04/20	7.68	7.71	7.50	7.68	3855100	29358326.00
2009/04/21	7.63	7.63	7.28	7.46	4326700	32133246.00
2009/04/22	7.44	7.90	7.04	7.50	4643000	35061184.00
2009/04/23	7.41	8.25	7.23	8.00	7235300	56843712.00
2009/04/24	7.95	8.13	7.71	7.82	4301300	34075388.00
2009/04/27	7.80	7.80	7.04	7.09	4109400	30288456.00
2009/04/28	7.05	7.27	6.95	7.10	1838900	13044176.00
2009/04/29	7.14	7.38	7.03	7.33	1602600	11692147.00
2009/04/30	7.33	7.79	7.33	7.68	3922100	30065924.00
2009/05/04	7.68	8.20	7.55	7.92	2630100	20951180.00
2009/05/05	7.92	8.09	7.79	8.03	3015700	23923380.00
2009/05/06	8.08	8.12	7.90	8.00	2606500	20883306.00
2009/05/07	8.00	8.73	8.00	8.45	5394000	44788864.00
2009/05/08	8.50	9.11	8.30	8.99	6425900	56547756.00
2009/05/11	9.10	9.20	8.25	8.46	5408300	46637108.00
2009/05/12	8.26	8.98	8.26	8.93	3991600	34992348.00
2009/05/13	9.00	9.10	8.59	8.70	3478600	30490012.00
2009/05/14	8.60	8.60	8.20	8.36	3933000	32973534.00
2009/05/15	8.56	8.56	8.30	8.40	2412100	20246850.00
2009/05/18	8.38	8.38	8.14	8.34	2060400	17025598.00
2009/05/19	8.46	8.88	8.30	8.67	4598100	39408988.00
2009/05/20	8.68	8.68	8.30	8.35	2101400	17710398.00
2009/05/21	8.30	8.53	8.28	8.47	2813500	23720926.00
2009/05/25	8.00	8.20	7.63	8.06	3807191	30215642.00
2009/05/26	8.00	8.26	7.91	8.05	2582251	20866310.00
2009/05/27	8.07	8.32	8.05	8.26	3459832	28450072.00
2009/06/01	8.37	8.48	8.08	8.21	3045976	24995968.00
2009/06/02	8.30	8.32	8.09	8.10	2016865	16446672.00
2009/06/03	8.10	8.38	8.05	8.27	3350036	27464966.00
2009/06/04	8.26	8.50	8.20	8.43	4624925	38628316.00
2009/06/09	8.70	8.70	8.30	8.35	4562295	38876216.00
2009/06/10	8.20	8.52	8.20	8.29	2284499	18942904.00
2009/06/11	8.29	8.35	7.85	7.96	3497126	28249694.00
2009/06/12	7.98	7.98	7.70	7.77	2737421	21276414.00
2009/06/15	7.80	7.98	7.71	7.85	1766712	13785261.00
2009/06/16	7.83	7.93	7.63	7.84	2478812	19232620.00
2009/06/17	7.84	7.90	7.71	7.86	2228825	17409484.00
2009/06/18	7.81	8.05	7.81	7.93	2498139	19904558.00
2009/06/19	7.90	8.16	7.90	8.02	3302924	26499768.00
2009/06/22	8.11	8.13	7.84	7.85	2421712	19296188.00
2009/06/23	7.86	8.04	7.85	7.95	2359528	18756486.00
2009/06/24	7.95	7.95	7.71	7.84	2681240	20896138.00
2009/06/25	7.80	7.84	7.67	7.68	2057245	15924754.00
2009/06/26	7.70	7.78	7.58	7.69	2216598	16908002.00
2009/06/29	7.75	7.97	7.59	7.89	4014390	31205814.00
2009/06/30	7.87	7.90	7.63	7.64	1731661	13383258.00
2009/07/01	7.59	8.20	7.55	8.19	7501494	60433540.00
2009/07/02	8.22	8.35	7.87	8.27	7115482	57844060.00
2009/07/03	8.39	8.83	8.12	8.15	13317125	112820688.00
2009/07/06	7.89	8.05	7.70	7.86	5470506	42780292.00
2009/07/07	7.87	7.96	7.70	7.86	3983950	31090930.00
2009/07/08	7.84	7.90	7.72	7.86	2035998	15889610.00
2009/07/09	7.90	8.08	7.82	8.02	3753349	29903276.00
2009/07/10	8.03	8.25	7.98	8.23	4990729	40423320.00
2009/07/13	8.19	8.35	8.03	8.33	6739862	55418616.00
2009/07/14	8.34	8.48	8.31	8.42	6195134	52012220.00
2009/07/15	8.49	8.52	8.33	8.44	5657709	47529204.00
2009/07/16	8.49	8.51	8.22	8.24	5331850	44537512.00
2009/07/17	8.15	8.41	8.13	8.40	3896267	32403556.00
