600498 烽火通信 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2009/01/08	10.78	10.78	10.20	10.29	6593500	68687648.00
2009/01/09	10.38	10.67	10.35	10.53	3135100	32958684.00
2009/01/12	10.46	11.04	10.36	10.87	4732100	51023156.00
2009/01/13	10.63	10.70	10.43	10.43	4334200	45761580.00
2009/01/14	10.43	10.78	10.38	10.76	3473300	36951252.00
2009/01/15	10.62	11.08	10.62	10.84	3856700	42299812.00
2009/01/16	10.94	11.15	10.85	10.96	5129700	56266316.00
2009/01/19	10.96	11.28	10.50	10.78	5435200	59703656.00
2009/01/20	10.77	10.77	10.45	10.68	2374100	25132890.00
2009/01/21	10.49	10.88	10.45	10.80	2418700	25948266.00
2009/01/22	10.82	10.98	10.76	10.91	3285300	35859404.00
2009/01/23	10.95	11.47	10.95	11.25	7322500	82599856.00
2009/02/02	11.35	11.68	11.25	11.61	4348300	49964484.00
2009/02/03	11.61	11.78	11.45	11.76	4663800	54374084.00
2009/02/04	11.76	12.51	11.71	12.26	7370800	89918240.00
2009/02/05	12.20	12.29	11.61	12.24	4369100	52347388.00
2009/02/06	11.95	12.62	11.95	12.34	4677700	57917492.00
2009/02/09	12.39	13.23	12.38	13.02	7869200	101295024.00
2009/02/10	12.95	13.65	12.68	13.15	6722500	89185472.00
2009/02/11	13.43	13.73	13.00	13.16	9257400	124276424.00
2009/02/12	13.37	13.62	13.10	13.52	5422300	72433472.00
2009/02/13	13.61	14.59	13.61	14.34	7673200	108684632.00
2009/02/16	15.00	15.77	14.67	15.77	11493900	175956000.00
2009/02/17	15.40	15.75	14.99	15.10	8621600	132569008.00
2009/02/18	14.88	15.00	14.21	14.32	7126200	103805856.00
2009/02/19	14.75	15.05	14.18	14.45	5203600	76022880.00
2009/02/20	14.25	14.83	14.21	14.73	3054700	44702340.00
2009/02/23	14.69	15.10	14.35	14.98	4653100	68473960.00
2009/02/24	14.75	14.88	13.48	14.21	8990500	126337208.00
2009/02/25	14.17	14.25	13.40	13.89	4778200	65818048.00
2009/02/26	13.87	14.08	12.72	12.87	5750200	76659384.00
2009/02/27	12.63	12.97	12.22	12.39	5023200	63108624.00
2009/03/02	12.23	13.30	12.23	13.21	5468400	70798448.00
2009/03/03	12.86	14.27	12.85	13.86	5600700	76828072.00
2009/03/04	13.88	14.80	13.80	14.69	5828800	83619464.00
2009/03/05	14.71	14.71	13.57	14.08	9394600	132765648.00
2009/03/06	13.59	13.93	13.40	13.56	5169100	70692248.00
2009/03/09	13.51	13.87	12.60	12.90	6756500	88895592.00
2009/03/10	12.82	13.34	12.76	13.31	5852800	76356008.00
2009/03/11	13.51	13.66	13.09	13.42	5829600	78242376.00
2009/03/12	13.30	13.48	12.91	13.35	2935500	38653776.00
2009/03/13	13.45	13.94	13.45	13.60	6292100	86605792.00
2009/03/16	13.61	14.04	13.55	14.00	4692800	64857020.00
2009/03/17	14.10	14.65	13.96	14.55	5983600	86309112.00
2009/03/18	14.61	15.09	14.60	14.68	5623200	83440952.00
2009/03/19	14.58	15.20	14.52	14.98	5794200	86912248.00
2009/03/20	15.06	15.13	14.47	14.79	3596500	52996824.00
2009/03/23	14.81	15.17	14.58	14.88	7104100	105887592.00
2009/03/24	14.90	15.12	14.76	14.95	4268100	63668692.00
2009/03/25	15.03	15.03	14.40	14.42	3701800	54382952.00
2009/03/26	14.42	14.61	13.96	14.50	4397700	62782632.00
