600520 文一科技 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2009/01/08	3.90	3.92	3.76	3.85	1675100	6452799.50
2009/01/09	3.82	3.97	3.81	3.96	1133500	4447816.50
2009/01/12	3.94	4.36	3.90	4.36	8821100	37660192.00
2009/01/13	4.33	4.37	4.14	4.19	5050700	21604474.00
2009/01/14	4.25	4.37	4.15	4.32	5546600	23794592.00
2009/01/15	4.25	4.32	4.19	4.23	2998800	12774855.00
2009/01/16	4.26	4.37	4.21	4.23	2780500	11903421.00
2009/01/19	4.27	4.36	4.19	4.29	2238700	9604379.00
2009/01/20	4.23	4.30	4.17	4.25	1390000	5865110.00
2009/01/22	4.24	4.43	4.24	4.31	2484700	10737804.00
2009/01/23	4.32	4.37	4.25	4.29	1674300	7219163.00
2009/02/02	4.32	4.50	4.27	4.50	3628500	16006555.00
2009/02/03	4.47	4.59	4.41	4.56	3274900	14786471.00
2009/02/04	4.56	4.62	4.51	4.60	3129300	14281831.00
2009/02/05	4.62	4.67	4.42	4.43	3515600	16031036.00
2009/02/06	4.47	4.70	4.46	4.68	5053800	23334116.00
2009/02/09	4.78	4.90	4.68	4.79	4780000	22810144.00
2009/02/10	4.79	4.99	4.71	4.97	4440300	21615876.00
2009/02/11	4.90	5.06	4.79	4.92	5561400	27447050.00
2009/02/12	4.88	5.13	4.85	5.09	4273900	21237212.00
2009/02/13	5.15	5.33	5.00	5.23	4579700	23651748.00
2009/02/16	5.23	5.61	5.09	5.59	8239200	43796740.00
2009/02/17	5.49	5.66	5.20	5.65	9367500	51218728.00
2009/02/18	5.79	6.12	5.75	5.84	21704400	127924880.00
2009/02/19	5.65	5.71	5.35	5.45	9839600	54125276.00
2009/02/20	5.35	5.53	5.25	5.48	5624300	30252238.00
2009/02/23	5.42	5.72	5.36	5.66	5237200	29097658.00
2009/02/24	5.56	5.64	5.23	5.25	5535600	29960424.00
2009/02/25	5.31	5.37	5.10	5.28	3456500	18092920.00
2009/02/26	5.26	5.42	4.85	4.93	3436600	17861488.00
2009/02/27	4.91	4.91	4.45	4.53	3165100	14707276.00
2009/03/02	4.47	4.69	4.47	4.66	1992900	9182676.00
2009/03/03	4.50	4.74	4.48	4.69	2201800	10204757.00
2009/03/04	4.73	4.98	4.69	4.95	2945800	14373457.00
2009/03/05	5.00	5.25	4.95	5.20	5806700	29725702.00
2009/03/06	5.05	5.44	5.05	5.39	3970700	20654490.00
2009/03/09	5.40	5.43	4.88	4.90	4038300	21043742.00
2009/03/10	4.82	5.09	4.78	5.05	2448100	12061708.00
2009/03/11	5.10	5.14	4.98	5.02	2136400	10826932.00
2009/03/12	4.91	5.05	4.80	4.98	1680400	8265192.50
2009/03/13	5.00	5.08	4.93	4.96	1374100	6873483.50
2009/03/16	4.95	5.05	4.90	5.05	1087700	5432617.50
2009/03/17	5.07	5.23	5.03	5.20	2765600	14260197.00
2009/03/18	5.21	5.33	5.20	5.25	3272900	17255152.00
2009/03/19	5.25	5.45	5.22	5.45	5778200	30989996.00
2009/03/20	5.45	5.55	5.26	5.46	5029900	27286114.00
2009/03/23	5.40	5.53	5.40	5.46	4145200	22686826.00
2009/03/24	5.51	5.55	5.37	5.49	4486500	24438294.00
2009/03/25	5.48	5.66	5.43	5.54	5709900	31791396.00
2009/03/26	5.53	5.91	5.53	5.82	10711600	61595288.00
2009/03/27	5.80	5.96	5.72	5.81	9207100	53831196.00
2009/03/30	5.81	6.03	5.73	5.99	9551900	56566720.00
2009/03/31	5.83	6.55	5.77	6.49	15443900	95701312.00
2009/04/01	6.49	6.50	6.20	6.35	10475900	66705236.00
2009/04/02	6.38	6.69	6.31	6.42	15589400	100704056.00
2009/04/03	6.31	6.42	6.02	6.09	8466600	52199160.00
2009/04/07	6.03	6.14	5.96	6.11	4174400	25245714.00
2009/04/08	6.11	6.11	5.87	5.88	3552600	21286698.00
2009/04/09	5.91	5.99	5.81	5.98	2792800	16473165.00
2009/04/10	6.04	6.23	5.95	6.16	5035300	30861244.00
2009/04/13	6.16	6.24	6.10	6.16	4408900	27241286.00
2009/04/14	6.15	6.19	6.00	6.14	4187600	25458332.00
2009/04/17	6.17	6.31	6.06	6.17	6426600	39910312.00
2009/04/20	6.17	6.79	6.14	6.79	11517500	76741760.00
2009/04/21	6.83	7.10	6.41	6.73	13657900	92769352.00
2009/04/22	6.72	6.72	6.13	6.15	7664300	49334368.00
2009/04/23	6.06	6.20	5.93	6.14	4198800	25368414.00
2009/04/24	6.09	6.13	5.91	5.92	3165700	19101374.00
2009/04/27	5.92	6.00	5.45	5.50	3295000	18642930.00
2009/04/28	5.49	5.67	5.47	5.63	2007000	11209188.00
2009/04/29	5.67	5.86	5.58	5.86	2371000	13628248.00
2009/04/30	5.89	6.06	5.81	6.01	2832800	16922126.00
2009/05/04	6.01	6.36	5.90	6.34	4192200	25724400.00
