600558 大西洋 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2009/01/08	10.68	11.20	10.58	10.88	2745600	30056964.00
2009/01/09	10.71	11.12	10.71	11.01	2179500	23960984.00
2009/01/12	11.19	11.70	11.13	11.39	3675200	42190236.00
2009/01/13	11.21	11.80	11.21	11.35	4055400	46790884.00
2009/01/14	11.40	11.71	11.16	11.61	4025900	46180056.00
2009/01/15	11.45	11.75	11.43	11.59	3477300	40407136.00
2009/01/16	11.62	12.37	11.62	12.10	5922300	71572312.00
2009/01/19	12.39	12.50	11.80	12.23	5604600	68288024.00
2009/01/21	12.20	13.45	12.03	13.32	6763100	86475200.00
2009/01/22	13.30	13.56	13.00	13.08	5910300	78403120.00
2009/01/23	12.02	12.37	11.77	11.77	13803300	163511648.00
2009/02/02	11.52	12.01	11.40	11.84	7630700	89651560.00
2009/02/03	11.79	12.09	11.70	12.03	6224600	74374888.00
2009/02/04	11.96	12.33	11.86	12.31	7827900	94479608.00
2009/02/05	12.28	12.85	12.22	12.43	9259300	116348664.00
2009/02/06	12.31	13.00	12.31	12.93	8133100	103207336.00
2009/02/09	13.11	13.56	13.00	13.52	9486100	126506072.00
2009/02/10	13.38	14.06	13.20	13.82	7127400	97761760.00
2009/02/11	13.60	13.92	13.12	13.26	7172900	96925984.00
2009/02/12	13.26	13.60	12.73	13.20	5187200	68250312.00
2009/02/13	13.20	13.49	13.04	13.46	5623900	74883232.00
2009/02/16	13.57	13.88	13.26	13.81	6421300	87374880.00
2009/02/17	13.75	13.76	12.90	12.98	4718000	63199860.00
2009/02/18	12.67	13.19	12.45	12.46	3256700	41838400.00
2009/02/19	12.58	12.75	12.32	12.55	2730900	34142472.00
2009/02/23	12.90	13.68	12.81	13.38	6448200	85856992.00
2009/02/24	13.20	13.77	13.19	13.43	6699700	90192968.00
2009/02/25	13.50	14.30	13.25	14.30	10691200	148491440.00
2009/02/26	14.25	14.25	12.87	12.87	6253400	84616152.00
2009/02/27	12.45	12.50	11.58	11.58	4998800	58991220.00
2009/03/02	11.30	11.78	11.25	11.71	2184000	25461312.00
2009/03/03	11.44	11.66	11.00	11.52	2769600	31386024.00
2009/03/04	11.51	12.23	11.50	12.19	4553400	54599804.00
2009/03/05	12.25	12.64	11.93	12.32	4787000	58929620.00
2009/03/06	12.10	12.32	12.01	12.13	2296300	27932596.00
2009/03/09	12.28	12.34	11.40	11.47	2630000	31202148.00
2009/03/10	11.49	11.86	11.40	11.82	1668100	19464118.00
2009/03/11	12.03	12.28	11.80	11.99	3276400	39560168.00
2009/03/12	11.93	12.07	11.49	11.79	1851900	21636320.00
2009/03/13	11.80	12.00	11.66	11.80	1845800	21921600.00
2009/03/16	11.78	12.06	11.62	12.04	1387700	16447029.00
2009/03/17	12.07	12.58	11.90	12.45	3637600	44922988.00
2009/03/18	12.49	12.82	12.27	12.54	4381500	54772508.00
2009/03/19	12.49	12.77	12.41	12.68	3567900	45005380.00
