600589 *ST榕泰 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2009/01/08	3.80	3.80	3.71	3.73	4994100	18744920.00
2009/01/09	3.79	3.85	3.74	3.84	4250700	16173256.00
2009/01/12	3.84	3.98	3.82	3.93	7031000	27601110.00
2009/01/13	3.91	3.97	3.81	3.82	6655000	25942666.00
2009/01/14	3.82	3.92	3.78	3.92	7017100	27131032.00
2009/01/16	3.98	4.09	3.96	4.00	10478000	42311892.00
2009/01/19	4.07	4.09	3.91	3.98	6110000	24387544.00
2009/01/20	3.93	4.18	3.92	4.16	7856500	31687234.00
2009/01/21	4.12	4.28	4.06	4.18	13695500	57180720.00
2009/01/22	4.18	4.24	4.13	4.18	7321600	30643804.00
2009/01/23	4.18	4.24	4.13	4.14	5420400	22650624.00
2009/02/02	4.20	4.31	4.18	4.27	8689500	36997692.00
2009/02/03	4.28	4.36	4.23	4.35	12842700	55341000.00
2009/02/04	4.37	4.79	4.29	4.79	37240000	173131104.00
2009/02/05	4.79	4.95	4.62	4.73	40735200	196876112.00
2009/02/06	4.65	4.89	4.65	4.86	24331400	117225704.00
2009/02/09	4.87	5.00	4.80	4.93	22493200	109896160.00
2009/02/10	4.90	5.09	4.78	5.08	19879800	97579288.00
2009/02/11	4.98	5.12	4.85	4.92	23292000	115972328.00
2009/02/12	4.89	4.98	4.70	4.91	16433500	79285792.00
2009/02/13	4.91	5.10	4.89	5.07	20822900	104548272.00
2009/02/16	5.19	5.33	5.05	5.29	20667500	106684200.00
2009/02/17	5.23	5.26	4.95	4.97	18855900	95946256.00
2009/02/18	4.81	4.95	4.66	4.68	12410600	59740040.00
2009/02/19	4.73	4.82	4.65	4.77	9296900	44084956.00
2009/02/20	4.77	5.03	4.72	5.00	12644800	62463908.00
2009/02/23	5.01	5.24	4.95	5.22	16408300	83934088.00
2009/02/24	5.15	5.40	4.97	4.99	22830600	117763248.00
2009/02/25	5.06	5.12	4.78	5.01	15472000	76327440.00
2009/02/26	5.00	5.09	4.53	4.68	13912500	68201640.00
2009/02/27	4.57	4.69	4.27	4.36	12016800	53520268.00
2009/03/02	4.32	4.46	4.25	4.40	8654700	38098492.00
2009/03/03	4.30	4.40	4.22	4.34	8443600	36470568.00
2009/03/04	4.36	4.62	4.35	4.60	11888000	53616400.00
2009/03/05	4.65	4.70	4.46	4.61	12350200	56760436.00
2009/03/06	4.51	4.60	4.48	4.51	7241400	32777186.00
2009/03/09	4.55	4.62	4.31	4.35	7168900	32073912.00
2009/03/10	4.37	4.75	4.33	4.72	10734100	48902012.00
2009/03/11	4.89	4.96	4.72	4.73	26714600	129165240.00
2009/03/12	4.64	4.74	4.43	4.63	9648300	44099028.00
2009/03/13	4.61	4.67	4.50	4.51	6223100	28492564.00
2009/03/16	4.50	4.62	4.45	4.60	5399100	24492236.00
2009/03/17	4.61	4.74	4.54	4.74	8195500	38375872.00
2009/03/18	4.75	4.84	4.71	4.75	11073700	52932604.00
2009/03/19	4.74	4.90	4.74	4.90	12765600	61991528.00
2009/03/20	4.90	5.06	4.81	4.96	15143500	74587312.00
2009/03/23	5.02	5.21	5.00	5.05	20101600	102462200.00
2009/03/24	5.10	5.14	4.94	5.01	14255300	71422832.00
2009/03/25	5.00	5.07	4.80	4.82	11176600	55491880.00
2009/03/26	4.82	5.24	4.82	5.19	25284200	128531112.00
2009/03/27	5.22	5.24	5.08	5.14	18869400	96686736.00
2009/03/31	4.98	5.10	4.88	5.07	12580900	62737196.00
2009/04/01	5.10	5.23	5.07	5.16	17263800	88790952.00
2009/04/02	5.19	5.23	5.09	5.10	13939800	71673944.00
2009/04/03	5.16	5.16	4.95	4.98	12212100	61426320.00
2009/04/07	4.98	5.07	4.95	5.06	7104800	35586704.00
2009/04/08	5.05	5.05	4.84	4.85	8161400	40367240.00
2009/04/09	4.82	4.95	4.80	4.95	6527300	31867480.00
2009/04/13	5.09	5.45	5.04	5.45	31789900	166117952.00
2009/04/14	5.45	5.68	5.40	5.54	42062700	233490880.00
2009/04/15	5.58	6.08	5.43	6.02	42641000	245737088.00
2009/04/16	5.95	6.33	5.70	6.05	42421100	255271200.00
2009/04/17	6.10	6.30	5.84	5.94	33534700	203869344.00
2009/04/20	5.91	6.24	5.90	6.14	21512300	130019160.00
2009/04/21	6.10	6.10	5.86	5.98	18696100	111702096.00
2009/04/22	6.05	6.17	5.50	5.52	25707500	150293984.00
2009/04/23	5.46	5.74	5.41	5.69	14318400	80614720.00
2009/04/24	5.75	5.83	5.59	5.63	11942600	67927416.00
2009/04/27	5.67	5.83	5.46	5.70	15729800	89344096.00
2009/04/28	5.64	5.84	5.56	5.72	9933300	56911088.00
2009/04/29	5.70	5.96	5.70	5.91	15888100	92734272.00
2009/04/30	5.96	5.96	5.81	5.89	11206100	65915508.00
2009/05/04	5.90	6.28	5.90	6.24	24204000	148591520.00
2009/05/05	6.28	6.44	6.15	6.39	21829000	137651712.00
2009/05/06	6.39	6.49	6.27	6.33	17350000	110143112.00
2009/05/07	6.39	6.45	5.98	6.18	21273500	131615272.00
2009/05/08	6.15	6.37	6.05	6.25	11916700	74088328.00
2009/05/11	6.29	6.50	6.10	6.11	18855500	119730504.00
2009/05/12	6.05	6.23	6.02	6.19	9676800	59338404.00
2009/05/13	6.25	6.25	6.08	6.15	10321600	63314880.00
2009/05/14	6.08	6.29	6.00	6.17	10048200	61746088.00
