600600 青岛啤酒 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2009/01/08	19.52	19.70	19.41	19.43	1101500	21480856.00
2009/01/09	19.45	19.68	19.05	19.11	3049000	58697816.00
2009/01/12	19.19	19.20	18.88	18.96	3299600	62666120.00
2009/01/13	18.79	18.79	18.30	18.31	5264800	97181472.00
2009/01/14	18.33	18.78	18.00	18.40	5494300	101078112.00
2009/01/15	18.50	18.87	18.33	18.65	6572000	122059128.00
2009/01/16	18.70	19.29	18.53	18.89	5922900	111935760.00
2009/01/19	19.00	19.25	18.40	18.60	6460300	121258640.00
2009/01/20	18.63	18.79	18.39	18.60	3252900	60323296.00
2009/01/21	18.55	18.65	18.16	18.20	3389400	62435028.00
2009/01/22	18.22	18.38	17.99	18.35	4051000	73525720.00
2009/01/23	18.28	18.49	18.03	18.44	2384500	43668280.00
2009/02/02	18.60	19.15	18.47	19.05	4382300	82582160.00
2009/02/03	19.00	19.10	18.66	19.08	7980900	150025120.00
2009/02/04	19.04	19.08	18.80	19.00	6126900	115927000.00
2009/02/05	19.00	19.19	18.70	18.91	5540700	105352104.00
2009/02/06	18.92	19.77	18.92	19.71	8799400	170340480.00
2009/02/09	20.00	20.40	19.76	20.35	9649200	193017168.00
2009/02/10	20.30	20.30	19.82	20.15	4305000	86046296.00
2009/02/11	19.95	21.50	19.88	20.90	7974700	164592000.00
2009/02/12	20.90	22.10	20.70	21.80	10842600	234615264.00
2009/02/13	21.70	22.46	21.52	22.27	5769700	126480272.00
2009/02/16	22.60	22.65	21.78	22.08	3570700	78678896.00
2009/02/17	22.20	22.20	21.15	21.50	6579500	141463776.00
2009/02/18	21.00	21.80	20.90	21.10	5173500	110215304.00
2009/02/19	21.30	21.39	20.80	21.13	1776300	37538580.00
2009/02/20	21.13	21.83	20.86	21.68	2004000	42647612.00
2009/02/23	21.41	22.10	21.03	21.85	3881000	83655888.00
2009/02/24	21.77	21.77	20.35	20.60	5176200	108139376.00
2009/02/25	20.61	20.92	19.41	19.98	4019200	80615008.00
2009/02/26	19.84	20.45	19.00	19.21	4685200	93958144.00
2009/02/27	19.20	19.99	18.59	18.90	9910900	192256880.00
2009/03/02	18.98	19.49	18.98	19.40	2144100	41421244.00
2009/03/03	19.30	19.45	18.88	19.39	1567700	30145092.00
2009/03/04	19.40	20.25	19.28	20.20	3322200	66187608.00
2009/03/05	20.50	20.51	19.60	20.00	3470500	69332880.00
2009/03/06	19.85	20.13	19.60	19.91	3032800	59961116.00
2009/03/09	20.00	20.07	19.15	19.48	1295600	25437958.00
2009/03/10	19.45	20.00	19.11	19.78	2314700	45738480.00
2009/03/11	19.99	20.10	19.70	19.71	929000	18413118.00
2009/03/12	19.67	19.92	19.45	19.86	1724800	33958604.00
2009/03/13	20.00	20.15	19.86	20.03	2651300	53220528.00
2009/03/16	20.48	20.48	19.86	20.15	1069100	21539218.00
2009/03/17	20.39	20.50	20.02	20.42	3129500	63361572.00
2009/03/18	20.43	20.64	20.26	20.42	2803200	57372140.00
2009/03/19	20.49	20.79	20.40	20.69	1604300	33061078.00
2009/03/20	20.67	20.76	20.28	20.67	1961900	40240828.00
2009/03/23	20.61	20.98	20.50	20.91	2443800	50805652.00
2009/03/24	21.30	21.40	20.76	20.90	1979900	41559300.00
2009/03/25	20.80	20.80	20.20	20.26	1742100	35725132.00
2009/03/26	20.21	20.58	19.96	20.51	2189700	44265404.00
2009/03/27	20.80	20.86	20.41	20.53	2005800	41433848.00
2009/03/30	20.53	20.80	20.35	20.53	1114300	22913934.00
2009/03/31	20.38	20.64	20.05	20.59	1053800	21480984.00
2009/04/01	20.62	21.26	20.62	21.13	2519200	53034532.00
2009/04/02	21.15	21.85	21.15	21.32	2302300	49655592.00
2009/04/03	21.35	21.60	20.92	21.55	2851500	60485852.00
2009/04/07	21.55	21.76	21.34	21.60	1712200	36871628.00
2009/04/08	21.55	21.55	20.86	20.94	2289500	48422884.00
2009/04/09	20.92	22.58	20.74	22.50	9507100	206822512.00
2009/04/10	22.60	22.85	22.10	22.76	4973000	111877032.00
2009/04/13	22.65	23.53	22.65	23.17	6379000	147241200.00
2009/04/14	23.22	24.14	22.83	23.51	5361400	127067008.00
2009/04/15	23.30	25.15	23.30	24.32	4449200	106768632.00
