600637 东方明珠 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2009/01/08	3.23	3.28	3.14	3.18	4734600	15217833.00
2009/01/09	3.16	3.28	3.14	3.27	4954000	16001586.00
2009/01/12	3.27	3.34	3.20	3.29	5716600	18832772.00
2009/01/13	3.24	3.28	3.16	3.18	4202700	13507803.00
2009/01/14	3.15	3.30	3.15	3.28	4987600	16219416.00
2009/01/15	3.25	3.51	3.25	3.43	13944600	47384360.00
2009/01/16	3.42	3.57	3.42	3.46	12540800	43995596.00
2009/01/19	3.55	3.55	3.39	3.42	6658700	22871248.00
2009/01/20	3.36	3.55	3.36	3.51	6221400	21546206.00
2009/01/21	3.46	3.64	3.35	3.54	25950600	90924880.00
2009/01/22	3.55	3.57	3.37	3.44	23950800	82321904.00
2009/01/23	3.41	3.42	3.32	3.33	11781900	39426116.00
2009/02/02	3.37	3.49	3.31	3.47	10708800	36467984.00
2009/02/03	3.46	3.53	3.43	3.52	15559300	54180608.00
2009/02/04	3.54	3.69	3.53	3.64	22034900	79446776.00
2009/02/05	3.65	3.66	3.53	3.61	21913800	78792400.00
2009/02/06	3.62	3.91	3.62	3.86	33141700	125761000.00
2009/02/09	3.90	3.93	3.78	3.92	27789300	107504280.00
2009/02/10	3.90	4.05	3.84	4.02	20977800	83142256.00
2009/02/11	3.94	4.09	3.89	3.99	23597100	94274712.00
2009/02/12	3.99	4.39	3.92	4.22	36158100	152214912.00
2009/02/13	4.23	4.59	4.18	4.52	34546800	152683200.00
2009/02/16	4.58	4.69	4.32	4.49	31725500	143219184.00
2009/02/17	4.44	4.44	4.16	4.18	20868700	90145920.00
2009/02/18	4.10	4.25	3.94	3.96	17667700	72242848.00
2009/02/19	4.14	4.26	4.02	4.09	17454600	71929392.00
2009/02/20	4.08	4.16	3.97	4.14	13885500	56583444.00
2009/02/23	4.13	4.32	4.06	4.31	19014500	79931216.00
2009/02/24	4.26	4.32	4.01	4.05	16551000	69046720.00
2009/02/25	4.04	4.12	3.89	4.03	10835300	43426204.00
2009/02/26	4.03	4.08	3.64	3.73	11149100	43708376.00
2009/02/27	3.69	3.72	3.53	3.59	11782500	42758040.00
2009/03/02	3.55	3.66	3.51	3.64	5819200	20999352.00
2009/03/03	3.57	3.65	3.48	3.61	7187200	25638948.00
2009/03/04	3.61	3.84	3.61	3.80	10564500	39441412.00
2009/03/05	3.81	3.87	3.72	3.83	12981900	49424384.00
2009/03/06	3.75	4.00	3.71	3.99	18025400	69931768.00
2009/03/09	4.12	4.29	3.93	3.97	38589500	159008352.00
2009/03/10	3.82	3.95	3.73	3.92	12446100	47666704.00
2009/03/11	3.94	3.98	3.70	3.82	10711200	41468048.00
2009/03/12	3.79	3.83	3.63	3.78	7772100	29026962.00
2009/03/13	3.80	3.87	3.74	3.84	8166700	31082918.00
2009/03/16	3.84	3.85	3.75	3.82	4999000	18973186.00
2009/03/17	3.82	3.95	3.77	3.93	10593000	41071472.00
2009/03/18	3.93	4.03	3.91	3.95	12402100	49327060.00
2009/03/19	3.96	4.13	3.94	4.10	15540800	63075652.00
2009/03/20	4.09	4.12	3.94	4.05	13303400	53587004.00
2009/03/23	4.05	4.18	4.03	4.09	14262300	58690816.00
2009/03/24	4.15	4.18	4.06	4.13	12450900	51408604.00
2009/03/25	4.11	4.24	4.09	4.14	22935000	95795544.00
2009/03/26	4.16	4.25	4.11	4.24	20467400	85878736.00
2009/03/27	4.25	4.65	4.17	4.49	41421800	182020896.00
2009/03/30	4.44	4.44	4.27	4.31	21107400	91889232.00
2009/04/02	4.54	4.69	4.18	4.21	58180300	254942544.00
2009/04/03	4.17	4.25	3.98	4.12	34198800	140270208.00
2009/06/08	4.53	4.53	4.53	4.53	1512914	6853500.50
2009/06/09	4.98	4.98	4.98	4.98	1641358	8173963.00
2009/06/10	5.48	5.48	5.48	5.48	1023584	5609240.50
2009/06/11	6.03	6.03	5.92	6.03	43504382	261979984.00
2009/06/12	6.10	6.10	5.43	5.45	76142103	431147936.00
2009/06/15	5.31	5.38	5.15	5.28	30369592	159118576.00
2009/06/16	5.26	5.39	5.15	5.33	19406086	102374696.00
2009/06/17	5.34	5.41	5.23	5.35	16564349	88150864.00
2009/06/18	5.33	5.49	5.26	5.38	18211876	97672600.00
2009/06/19	5.38	5.45	5.31	5.41	16375201	88245256.00
2009/06/22	5.43	5.51	5.30	5.42	21466354	116026440.00
2009/06/23	5.33	5.64	5.30	5.53	24199203	132680144.00
2009/06/24	5.61	5.75	5.43	5.45	18706815	103264600.00
2009/06/25	5.41	5.45	5.26	5.28	15835701	84432384.00
2009/06/26	5.29	5.33	5.24	5.30	6484056	34260428.00
2009/06/29	5.29	5.36	5.25	5.28	7626465	40431864.00
2009/06/30	5.28	5.40	5.25	5.39	10205193	54374620.00
2009/07/01	5.38	5.43	5.34	5.38	9347122	50305656.00
2009/07/02	5.41	5.42	5.32	5.34	10222449	54838788.00
2009/07/03	5.36	5.84	5.34	5.65	34497216	192866816.00
2009/07/07	5.65	5.69	5.39	5.55	23475534	129802000.00
2009/07/08	5.50	5.52	5.36	5.44	12162860	66109564.00
