600645 中源协和 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2009/01/08	4.28	4.57	4.21	4.32	3366300	14850338.00
2009/01/09	4.30	4.49	4.26	4.46	1545400	6833063.50
2009/01/12	4.46	4.68	4.41	4.60	5507800	25584520.00
2009/01/13	4.59	4.60	4.37	4.37	3751800	16633564.00
2009/01/14	4.33	4.52	4.29	4.50	2114900	9395271.00
2009/01/15	4.53	4.57	4.36	4.43	3148300	14051109.00
2009/01/16	4.43	4.65	4.38	4.62	4335100	19703172.00
2009/01/19	4.74	4.85	4.65	4.79	7393800	35335228.00
2009/01/20	4.84	4.97	4.78	4.89	4666300	22670724.00
2009/01/21	4.81	5.11	4.79	5.01	6724900	33439604.00
2009/01/22	5.07	5.26	4.99	5.23	7596500	39142280.00
2009/01/23	5.20	5.37	5.03	5.04	8325200	43154604.00
2009/02/02	5.15	5.29	5.06	5.29	6984800	36265612.00
2009/02/03	5.38	5.55	5.34	5.55	7570100	41761472.00
2009/02/04	5.60	5.78	5.45	5.68	7678400	42887256.00
2009/02/05	5.67	5.81	5.52	5.59	6455200	36310144.00
2009/02/06	5.61	5.80	5.53	5.78	6024200	34225180.00
2009/02/09	5.87	5.95	5.61	5.88	7259100	41795336.00
2009/02/10	5.81	5.98	5.74	5.82	6325500	36683768.00
2009/02/11	5.75	5.98	5.64	5.98	9555800	55522168.00
2009/02/12	6.28	6.28	6.21	6.27	22350100	140342544.00
2009/02/13	6.30	6.58	6.23	6.58	12955900	83790384.00
2009/02/16	6.58	6.91	6.51	6.88	15045500	101637760.00
2009/02/17	6.61	6.75	6.54	6.54	12444000	82108784.00
2009/02/18	6.21	6.28	6.21	6.21	5916300	36769460.00
2009/02/19	5.95	6.13	5.90	5.99	13700000	81401480.00
2009/02/20	6.04	6.27	5.73	6.19	8203100	50135172.00
2009/02/23	6.15	6.31	6.00	6.21	8657200	53411540.00
2009/02/24	6.14	6.18	5.90	5.90	9893400	59299412.00
2009/02/25	5.88	5.95	5.61	5.74	8829300	50304348.00
2009/02/26	5.75	5.95	5.45	5.54	8390500	47729668.00
2009/02/27	5.45	5.58	5.26	5.39	6487700	35061084.00
2009/03/02	5.31	5.58	5.31	5.49	4793900	26212182.00
2009/03/03	5.37	5.54	5.23	5.41	6646800	35789812.00
2009/03/04	5.38	5.68	5.38	5.68	8612800	48204588.00
2009/03/05	5.73	5.85	5.57	5.70	7729700	43926240.00
2009/03/06	5.60	5.99	5.52	5.82	11552100	67590920.00
2009/03/09	5.75	6.10	5.72	6.09	15648100	93156864.00
2009/03/10	6.18	6.39	6.06	6.39	16843300	106584688.00
2009/03/11	6.71	6.71	6.71	6.71	1481200	9939328.00
2009/03/12	7.05	7.05	6.61	6.79	48009900	334994944.00
2009/03/13	7.13	7.13	6.68	6.88	38368100	268219360.00
2009/03/16	6.70	7.22	6.54	7.22	35271200	244640800.00
2009/03/17	7.58	7.58	6.94	7.12	30357000	216627696.00
2009/03/18	7.01	7.20	6.90	6.95	20447300	143650032.00
2009/03/19	6.97	7.30	6.97	7.09	20394200	146391200.00
2009/03/20	7.17	7.39	6.95	7.17	20910700	149359616.00
2009/03/23	7.26	7.53	7.14	7.53	22370600	165163008.00
2009/03/24	7.72	7.91	7.61	7.91	8628300	67958480.00
2009/03/25	8.31	8.31	8.18	8.28	8152500	67693912.00
2009/03/26	8.69	8.69	8.38	8.69	5708900	49533112.00
2009/03/27	9.12	9.12	8.70	9.12	20667300	186048640.00
2009/03/30	9.07	9.49	8.66	8.66	30406000	270730016.00
2009/03/31	8.23	8.52	8.23	8.28	18205800	150816400.00
2009/04/01	8.35	8.69	8.35	8.69	5148100	44394268.00
2009/04/02	9.08	9.12	8.71	8.88	22574500	203235776.00
2009/04/03	8.78	9.05	8.44	8.50	18313000	157349808.00
2009/04/07	8.47	8.68	8.11	8.68	11841000	100084544.00
2009/04/08	8.62	9.09	8.40	8.72	14171600	124835136.00
