600651 飞乐音响 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2009/01/08	4.68	4.80	4.57	4.61	5007600	23371000.00
2009/01/09	4.61	4.73	4.60	4.71	3495400	16328000.00
2009/01/12	4.66	4.83	4.66	4.77	4933200	23547000.00
2009/01/13	4.71	4.73	4.60	4.61	3745600	17478000.00
2009/01/14	4.61	4.81	4.58	4.80	4652300	21965000.00
2009/01/15	4.75	4.95	4.72	4.85	7635500	36898000.00
2009/01/16	4.84	5.07	4.83	4.94	10554200	52680000.00
2009/01/19	4.97	5.03	4.85	4.92	6717500	33155000.00
2009/01/20	4.90	4.97	4.79	4.96	6013600	29399000.00
2009/01/21	4.86	4.97	4.83	4.93	5601700	27468000.00
2009/01/22	4.97	5.07	4.95	4.98	5090400	25446000.00
2009/01/23	5.01	5.01	4.88	4.91	4721400	23357000.00
2009/02/02	4.94	5.09	4.91	5.08	6714300	33620000.00
2009/02/03	5.10	5.25	5.04	5.22	12456600	64336000.00
2009/02/04	5.25	5.38	5.14	5.30	15093600	79384000.00
2009/02/05	5.25	5.42	5.13	5.20	14943000	78923000.00
2009/02/06	5.25	5.50	5.24	5.46	17089300	92189000.00
2009/02/09	5.55	5.67	5.41	5.66	21553300	119260000.00
2009/02/10	5.58	5.84	5.50	5.83	24097400	136852992.00
2009/02/11	5.68	5.98	5.63	5.75	21926100	126986000.00
2009/02/12	5.84	5.96	5.66	5.89	19550200	113878000.00
2009/02/13	6.01	6.15	5.92	6.08	18049700	108982000.00
2009/02/16	6.14	6.29	5.94	6.15	21260000	129968000.00
2009/02/17	6.10	6.10	5.76	5.80	19591500	115652000.00
2009/02/18	5.67	5.81	5.50	5.51	15969100	90285000.00
2009/02/19	5.62	5.76	5.52	5.61	16505100	93247000.00
2009/02/20	5.60	5.79	5.57	5.76	11874500	67520000.00
2009/02/23	5.70	6.12	5.68	6.05	18454800	109326000.00
2009/02/24	5.90	6.25	5.79	6.20	29064500	174592000.00
2009/02/25	6.31	6.53	6.08	6.26	53320500	336031008.00
2009/02/26	6.26	6.36	5.63	5.63	25702200	153746000.00
2009/02/27	5.51	5.58	5.10	5.21	14888000	78610000.00
2009/03/02	5.14	5.30	5.12	5.25	8625700	45006000.00
2009/03/03	5.05	5.25	5.00	5.18	8668700	44568000.00
2009/03/04	5.20	5.49	5.18	5.46	12397500	66630000.00
2009/03/05	5.54	5.58	5.31	5.45	14434000	78616000.00
2009/03/06	5.34	5.45	5.27	5.40	9815000	52580000.00
