600761 安徽合力 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2009/01/08	7.68	7.76	7.45	7.52	6064100	46144476.00
2009/01/09	7.55	7.94	7.55	7.88	6141400	47758244.00
2009/01/12	7.80	8.15	7.78	7.98	7618800	60851192.00
2009/01/13	7.92	7.92	7.60	7.62	5132700	39629256.00
2009/01/14	7.63	8.13	7.53	8.09	13240900	104364728.00
2009/01/15	8.00	8.80	8.00	8.57	20822500	176298720.00
2009/01/16	8.61	8.90	8.58	8.73	21378400	187287360.00
2009/01/19	8.80	9.07	8.61	8.77	14264700	126577528.00
2009/01/20	8.68	8.98	8.61	8.96	7305100	64385528.00
2009/01/21	8.79	8.98	8.64	8.82	7867000	69443032.00
2009/01/22	8.80	9.20	8.78	9.12	8182400	73725040.00
2009/01/23	9.09	9.15	8.80	9.04	7930400	71048976.00
2009/02/02	9.10	9.29	8.88	9.06	9590500	86770960.00
2009/02/03	9.05	9.50	9.02	9.49	10326800	95708184.00
2009/02/04	9.51	9.67	9.31	9.48	11637300	109964088.00
2009/02/05	9.50	9.69	8.90	9.14	13302600	125209112.00
2009/02/06	9.15	9.65	9.12	9.56	10228700	96200656.00
2009/02/09	9.68	10.36	9.44	10.29	16021500	156925504.00
2009/02/10	10.18	10.30	9.88	10.27	10194700	102877200.00
2009/02/11	10.04	10.97	9.96	10.80	14889000	156345200.00
2009/02/12	10.70	10.87	10.16	10.60	10243300	107132264.00
2009/02/13	10.55	11.14	10.51	11.06	9714100	105764640.00
2009/02/16	11.09	11.39	10.75	11.08	10588300	116619968.00
2009/02/17	11.07	11.07	10.50	10.51	13486300	145935744.00
2009/02/18	10.21	10.69	9.77	9.80	15236800	155715392.00
2009/02/19	9.99	10.18	9.70	10.05	14961500	148603440.00
2009/02/20	10.00	10.70	9.88	10.61	18770700	194963936.00
2009/02/23	10.75	11.42	10.63	11.19	15450600	171405488.00
2009/02/24	11.00	11.49	10.71	10.80	15960500	176657600.00
2009/02/25	11.03	11.45	10.80	11.41	19132000	212934816.00
2009/02/26	11.55	11.55	10.27	10.28	18111300	195597472.00
2009/02/27	10.00	10.04	9.48	9.62	12120200	118034488.00
2009/03/02	9.50	10.04	9.33	10.02	6699100	65921720.00
2009/03/03	9.75	10.44	9.50	10.27	8491500	85942624.00
2009/03/04	10.33	10.86	10.20	10.73	9266200	98146120.00
2009/03/05	10.90	10.98	10.31	10.96	16040700	172665168.00
2009/03/06	10.93	11.59	10.80	11.24	27273900	304721376.00
2009/03/09	11.30	11.31	10.30	10.90	16985100	184428528.00
2009/03/10	10.66	11.40	10.59	11.39	25903600	285857664.00
2009/03/11	11.65	11.75	10.90	11.14	22858700	259406112.00
2009/03/12	11.35	11.66	10.86	11.25	24657000	277999872.00
2009/03/13	11.54	11.54	10.40	10.42	32935600	361866688.00
2009/03/16	10.00	10.28	9.90	10.22	15600900	157527104.00
2009/03/17	10.20	10.55	10.12	10.49	15326900	158971696.00
2009/03/18	10.55	10.68	10.37	10.48	15561200	163915328.00
2009/03/19	10.43	10.82	10.43	10.80	11761400	125375904.00
2009/03/20	10.82	10.90	10.31	10.52	13417200	141508432.00
2009/03/23	10.45	11.03	10.44	11.01	15313900	164676000.00
2009/03/24	11.17	11.22	10.89	11.06	15072000	166088832.00
2009/03/25	10.98	10.99	10.50	10.51	13931500	150098064.00
2009/03/26	10.45	10.78	10.30	10.73	9170700	96774376.00
2009/03/27	10.78	10.98	10.65	10.91	11237200	121735432.00
2009/03/30	10.93	11.19	10.85	10.86	15016200	165512928.00
2009/03/31	10.45	10.62	10.35	10.62	14799600	155583200.00
2009/04/01	10.64	10.90	10.64	10.82	14978800	161717136.00
2009/04/02	10.88	11.40	10.85	11.10	27072500	301646528.00
2009/04/03	11.30	11.30	10.73	10.75	17139600	188237584.00
2009/04/07	10.40	10.67	10.00	10.48	30103700	311827360.00
2009/04/08	10.36	10.36	9.90	9.92	17145100	173523792.00
2009/04/09	9.91	10.07	9.70	10.05	11747200	115956704.00
2009/04/10	10.05	10.38	9.95	10.27	13755500	139961360.00
2009/04/13	10.30	10.80	10.22	10.61	21859000	228429968.00
2009/04/14	10.78	10.87	10.47	10.78	23905200	256244016.00
2009/04/15	10.85	11.35	10.81	11.29	44263700	494160576.00
2009/04/16	11.48	11.79	11.24	11.28	33214500	381692864.00
2009/04/17	11.19	11.59	11.05	11.29	22489300	256314592.00
2009/04/20	11.10	11.70	11.01	11.64	22826400	259744016.00
2009/04/21	11.46	11.88	11.21	11.41	17817200	205419840.00
2009/04/22	11.43	11.60	10.30	10.59	16642300	183973808.00
2009/04/23	10.58	10.76	10.36	10.69	9559700	101171096.00
2009/04/24	10.70	10.76	10.10	10.14	11388300	118599680.00
2009/04/28	9.60	9.98	9.42	9.77	8162400	79305336.00
2009/04/29	9.82	9.90	9.68	9.90	12700800	124127296.00
2009/04/30	9.89	10.06	9.77	9.86	9314700	92398232.00
