600780 通宝能源 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2009/01/08	3.56	3.61	3.52	3.56	2170900	7732822.50
2009/01/09	3.58	3.67	3.57	3.61	3363800	12168692.00
2009/01/12	3.61	3.67	3.59	3.63	3130600	11348683.00
2009/01/13	3.59	3.76	3.54	3.74	8309000	30625328.00
2009/01/14	3.72	3.79	3.70	3.78	6342900	23866410.00
2009/01/15	3.78	3.78	3.71	3.73	4493900	16825684.00
2009/01/16	3.73	3.79	3.69	3.73	5218800	19597664.00
2009/01/19	3.71	3.86	3.67	3.71	4421300	16627714.00
2009/01/20	3.72	3.72	3.61	3.71	2209500	8121442.50
2009/01/21	3.62	3.71	3.62	3.70	2323900	8533217.00
2009/01/22	3.73	3.75	3.68	3.74	3606800	13392472.00
2009/01/23	3.74	3.83	3.73	3.79	5624500	21319210.00
2009/02/02	3.80	3.98	3.78	3.92	10284300	39875436.00
2009/02/03	3.87	4.26	3.87	4.15	21660400	89216312.00
2009/02/05	4.57	4.57	4.27	4.32	35731100	159233392.00
2009/02/06	4.33	4.42	4.23	4.41	19241700	83534136.00
2009/02/09	4.43	4.52	4.35	4.44	19038200	84282184.00
2009/02/10	4.42	4.45	4.16	4.43	13782600	60275040.00
2009/02/11	4.38	4.58	4.31	4.48	17017400	75822888.00
2009/02/12	4.44	4.51	4.28	4.40	11261300	49289332.00
2009/02/13	4.40	4.65	4.38	4.55	18013800	81650344.00
2009/02/16	4.66	5.01	4.66	5.01	46175300	228805904.00
2009/02/17	5.07	5.18	4.85	4.86	38257900	192270352.00
2009/02/18	4.73	4.82	4.55	4.57	16838500	78643616.00
2009/02/19	4.58	4.67	4.49	4.65	11896600	54461464.00
2009/02/20	4.69	4.92	4.56	4.85	15422300	73717552.00
2009/02/23	4.80	5.15	4.74	5.01	19430700	97185736.00
2009/02/24	4.92	5.06	4.63	4.66	15419800	73944336.00
2009/02/25	4.72	4.77	4.44	4.62	10064900	46306008.00
2009/02/26	4.63	4.68	4.17	4.30	16690600	74574112.00
2009/02/27	4.27	4.34	4.13	4.20	8235500	34724132.00
2009/03/02	4.19	4.29	4.12	4.29	5412600	22979664.00
2009/03/03	4.20	4.28	4.15	4.23	4769500	20128942.00
2009/03/04	4.23	4.50	4.23	4.48	10246100	44911796.00
2009/03/05	4.50	4.68	4.37	4.60	15407600	69402688.00
2009/03/06	4.50	4.80	4.45	4.67	12702400	58845812.00
2009/03/09	4.70	4.78	4.46	4.48	9978500	45837588.00
2009/03/10	4.50	4.60	4.48	4.60	5333400	24193394.00
2009/03/11	4.67	4.70	4.58	4.68	7578700	35150708.00
2009/03/12	4.64	4.70	4.46	4.67	7316600	33630488.00
2009/03/13	4.68	4.75	4.52	4.53	3536400	16260548.00
2009/03/16	4.53	4.64	4.40	4.62	4875500	22061050.00
2009/03/17	4.65	4.73	4.57	4.68	8217200	38370984.00
2009/03/18	4.72	4.74	4.61	4.66	9893000	46377848.00
2009/03/19	4.70	4.77	4.66	4.73	9591200	45234092.00
2009/03/20	4.73	4.77	4.58	4.62	9070400	42142136.00
2009/03/23	4.56	4.65	4.56	4.64	9952800	45872168.00
2009/03/24	4.68	4.70	4.59	4.67	11321000	52677788.00
2009/03/25	4.65	4.91	4.58	4.76	24894600	118460256.00
2009/03/26	4.72	4.87	4.63	4.86	17596200	83747104.00
2009/03/27	4.88	4.98	4.78	4.85	21088400	103009792.00
2009/03/30	4.88	5.04	4.87	4.88	14089400	69714768.00
2009/03/31	4.80	4.83	4.69	4.80	9301400	44294088.00
2009/04/01	4.80	4.97	4.76	4.92	14787100	71791464.00
2009/04/02	4.89	4.97	4.85	4.88	15635200	76838344.00
2009/04/03	4.92	4.92	4.71	4.73	9286700	44437640.00
2009/04/07	4.74	4.80	4.69	4.79	5912900	28051236.00
2009/04/08	4.79	4.79	4.53	4.54	8395500	39024484.00
2009/04/09	4.54	4.59	4.43	4.56	7663900	34546916.00
2009/04/10	4.59	4.72	4.52	4.67	8135700	37638352.00
2009/04/13	4.68	5.14	4.63	5.13	27976100	136587792.00
2009/04/14	5.05	5.11	4.92	5.01	26800000	133870448.00
