600969 郴电国际 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2009/01/08	3.92	4.02	3.86	3.88	2328900	9197516.00
2009/01/09	3.93	4.12	3.90	4.10	3287300	13337714.00
2009/01/12	4.09	4.16	4.02	4.06	2115800	8661117.00
2009/01/13	4.05	4.15	3.94	3.98	1320800	5302602.50
2009/01/14	3.99	4.08	3.97	4.06	2162000	8743870.00
2009/01/15	4.06	4.20	4.04	4.09	3376200	13859446.00
2009/01/16	4.09	4.22	4.02	4.05	2561600	10591502.00
2009/01/19	4.15	4.15	4.00	4.05	1355900	5515927.50
2009/01/20	4.03	4.10	4.01	4.10	1055100	4290306.50
2009/01/21	4.06	4.18	4.04	4.14	1371000	5641254.00
2009/01/22	4.16	4.29	4.15	4.19	2706500	11403679.00
2009/01/23	4.20	4.21	4.12	4.14	1423800	5922818.00
2009/02/02	4.14	4.23	4.14	4.22	1324200	5548312.50
2009/02/03	4.27	4.36	4.20	4.32	2722300	11695912.00
2009/02/04	4.31	4.42	4.29	4.40	2936900	12776909.00
2009/02/05	4.35	4.42	4.25	4.29	3014500	13041274.00
2009/02/06	4.28	4.49	4.28	4.45	2999700	13236992.00
2009/02/09	4.49	4.59	4.42	4.50	4798600	21533486.00
2009/02/10	4.51	4.63	4.46	4.62	3379400	15326242.00
2009/02/11	4.56	4.73	4.49	4.58	4097800	18839924.00
2009/02/12	4.79	5.04	4.73	5.04	5281300	26238914.00
2009/02/13	5.20	5.38	5.04	5.16	12005600	62347332.00
2009/02/16	5.23	5.68	5.05	5.68	8566700	47588272.00
2009/02/17	5.89	6.25	5.82	6.25	16719500	102747160.00
2009/02/19	6.15	6.65	5.90	6.40	15619800	99275992.00
2009/02/20	6.40	6.76	6.10	6.66	11769300	76511024.00
2009/02/23	6.58	6.79	6.50	6.67	9939100	65619944.00
2009/02/24	6.58	6.60	6.25	6.39	9878100	63448188.00
2009/02/25	6.45	6.51	5.97	6.32	7779400	48898448.00
2009/02/26	6.22	6.42	5.80	5.96	6040600	37316204.00
2009/02/27	5.96	6.04	5.55	5.91	7211100	41703636.00
2009/03/02	5.91	6.34	5.91	6.30	5619300	34538504.00
2009/03/03	6.12	6.68	6.02	6.60	8553400	55836376.00
2009/03/04	6.63	6.99	6.43	6.75	9938300	66925460.00
2009/03/05	6.80	6.99	6.56	6.80	7818800	53123564.00
2009/03/06	6.68	6.80	6.28	6.29	4728800	30764838.00
2009/03/09	6.20	6.52	6.05	6.13	3161200	19910482.00
2009/03/10	6.13	6.33	6.02	6.27	2136100	13244298.00
2009/03/11	6.32	6.45	6.03	6.06	2554400	15893846.00
2009/03/12	6.07	6.10	5.85	6.04	2607700	15568900.00
2009/03/13	6.10	6.14	5.98	6.06	1907400	11513072.00
2009/03/16	6.06	6.14	5.97	6.07	1291000	7846066.50
2009/03/17	6.10	6.30	5.99	6.28	3673000	22762814.00
2009/03/18	6.29	6.39	6.20	6.24	2735100	17186062.00
2009/03/19	6.32	6.41	6.14	6.40	3872500	24438576.00
2009/03/20	6.46	6.70	6.31	6.65	6930200	45376772.00
2009/03/23	6.82	7.32	6.66	7.31	13211300	93578376.00
2009/03/24	7.35	7.68	7.20	7.39	8059700	59765080.00
2009/03/25	7.39	7.41	7.04	7.08	3833500	27756484.00
2009/03/26	6.98	7.36	6.98	7.35	4640100	33478706.00
2009/03/27	7.27	7.51	7.05	7.07	6288500	45612884.00
2009/03/30	7.09	7.30	7.09	7.28	3615000	26163536.00
2009/03/31	7.10	7.27	7.02	7.15	2667800	19064530.00
2009/04/01	7.12	7.43	7.12	7.34	3777900	27598192.00
2009/04/02	7.34	7.47	7.25	7.31	3914400	28797444.00
2009/04/03	7.34	7.62	7.33	7.57	3888700	29096984.00
2009/04/07	7.56	8.00	7.50	7.83	3523300	27539678.00
2009/04/08	7.83	7.97	7.35	7.42	3869200	29211520.00
2009/04/09	7.27	7.45	7.05	7.21	2894100	20845158.00
2009/04/10	7.23	7.61	7.16	7.56	2793700	20746664.00
2009/04/13	7.82	8.13	7.50	7.77	7653300	60221708.00
2009/04/14	7.88	8.41	7.65	8.30	13177300	106229464.00
2009/04/15	8.20	8.51	7.92	8.33	7123400	58475204.00
2009/04/16	8.50	8.51	7.92	8.02	7301900	58990760.00
2009/04/17	7.99	7.99	7.55	7.70	4670700	36033912.00
2009/04/20	7.66	8.10	7.60	8.05	4442300	34870332.00
2009/04/21	7.95	8.28	7.91	8.07	4135700	33386946.00
2009/04/22	8.10	8.23	7.60	7.75	3917200	31358594.00
2009/04/23	7.70	7.83	7.55	7.75	2423600	18709680.00
2009/04/24	7.79	7.86	7.46	7.53	2229900	16919704.00
2009/04/27	7.48	7.60	7.11	7.36	2687400	19589184.00
2009/04/28	7.36	7.59	7.21	7.44	1364800	10081518.00
2009/04/29	7.40	7.69	7.40	7.67	2166200	16465511.00
2009/04/30	7.61	7.90	7.61	7.73	3282700	25427482.00
2009/05/04	7.73	8.12	7.73	7.98	3234300	25699026.00
2009/05/05	8.09	8.09	7.90	7.96	2303700	18386626.00
2009/05/06	7.96	8.12	7.90	8.11	3285400	26438186.00
2009/05/07	8.18	8.18	7.86	7.96	3927400	31539426.00
2009/05/08	8.00	8.76	8.00	8.76	13254200	114721592.00
2009/05/11	8.70	9.09	8.35	8.36	10654200	94217768.00
2009/05/12	8.27	9.20	8.25	9.20	6940000	60894880.00
2009/05/13	9.28	9.90	9.01	9.33	8614400	81268424.00
2009/05/14	9.21	9.54	9.00	9.28	4378300	40612348.00
2009/05/15	9.18	9.27	8.93	9.08	4183300	37848300.00
2009/05/18	9.05	9.26	8.65	9.18	6864900	60515404.00
2009/05/19	9.10	9.66	9.00	9.21	7832700	72568432.00
2009/05/20	9.13	9.24	9.01	9.04	3607600	32864172.00
2009/05/21	8.95	9.15	8.62	8.67	5301900	46606184.00
2009/05/22	8.58	8.90	8.50	8.80	3101482	26964730.00
2009/05/25	8.59	8.88	8.45	8.78	2462015	21401722.00
2009/05/26	8.78	9.13	8.78	8.97	3077542	27685140.00
2009/05/27	9.00	9.12	8.82	8.91	1827770	16297174.00
2009/06/01	8.98	9.07	8.90	9.03	2199652	19815364.00
2009/06/02	9.07	9.20	8.98	9.13	2789673	25426310.00
2009/06/03	9.18	9.48	9.13	9.39	4150665	38797388.00
2009/06/04	9.35	9.35	8.95	9.24	4378417	39922292.00
2009/06/05	9.24	9.48	9.09	9.33	4838222	45213920.00
2009/06/08	9.45	9.45	9.10	9.20	2690581	24955134.00
2009/06/09	9.24	9.24	8.75	9.04	2994716	26813234.00
2009/06/10	9.03	9.09	8.80	8.96	2508931	22328706.00
2009/06/11	8.98	9.13	8.91	9.06	2280564	20569326.00
2009/06/12	9.14	9.14	8.65	8.66	3477872	30527790.00
2009/06/15	8.66	8.80	8.40	8.80	1381529	11909633.00
2009/06/16	8.74	8.80	8.56	8.62	1903044	16420452.00
2009/06/17	8.66	9.05	8.56	9.02	2084381	18303698.00
2009/06/18	9.01	9.03	8.86	9.00	1664251	14892068.00
2009/06/19	9.01	9.22	8.88	9.17	3275503	29842110.00
2009/06/22	9.20	9.30	9.04	9.28	4028580	37184192.00
2009/06/23	9.21	9.53	9.03	9.43	4926695	46102256.00
2009/06/24	9.40	9.55	9.35	9.50	3317521	31349948.00
2009/06/25	9.57	9.80	9.38	9.68	4438801	42770292.00
2009/06/26	9.70	10.26	9.68	10.03	7790885	78221968.00
2009/06/30	10.09	10.09	9.20	9.41	6214567	59116948.00
2009/07/01	9.31	9.48	9.22	9.31	3259083	30358900.00
2009/07/02	9.25	9.39	9.09	9.24	3830557	35091676.00
2009/07/03	9.24	9.33	9.00	9.31	3820353	34813880.00
2009/07/06	10.19	10.20	9.51	9.84	7411516	72613416.00
2009/07/07	9.86	10.26	9.59	9.92	5580618	55838488.00
2009/07/08	9.86	10.20	9.56	10.15	5406697	54232432.00
2009/07/09	10.15	10.48	10.03	10.45	6003656	61763000.00
2009/07/10	10.45	10.65	10.28	10.45	5626069	58771704.00
2009/07/13	10.32	10.44	10.05	10.17	3710766	37886308.00
2009/07/14	10.16	10.43	10.13	10.38	3728069	38255796.00
2009/07/15	10.41	10.43	10.16	10.30	2955318	30281784.00
2009/07/16	10.29	11.33	10.20	11.33	13326078	147580896.00
2009/07/17	11.20	11.49	11.10	11.40	6379929	72160136.00
2009/07/20	11.35	11.78	11.18	11.46	5027675	57465936.00
2009/07/21	11.38	11.59	10.70	10.74	4941969	55281040.00
2009/07/22	10.70	11.43	10.70	11.27	4490880	50349476.00
2009/07/23	11.27	11.67	11.27	11.60	4222951	48605156.00
2009/07/24	11.60	11.61	10.93	11.20	3423659	38718168.00
2009/07/27	11.26	11.45	11.08	11.41	3670816	41391084.00
2009/07/28	11.37	11.71	11.08	11.70	4109604	46811660.00
2009/07/29	11.65	12.87	11.42	12.87	10626026	132426928.00
2009/07/30	12.80	13.95	12.40	13.67	11075706	148774144.00
2009/07/31	13.68	14.20	13.00	13.62	12766069	174392496.00
2009/08/03	13.48	13.92	13.12	13.86	9197608	124820504.00
2009/08/04	13.74	13.74	12.95	13.57	8268157	110171696.00
2009/08/05	13.37	13.37	13.00	13.10	3797809	49814884.00
2009/08/06	13.00	13.00	12.15	12.56	3658289	46362924.00
2009/08/07	12.44	12.88	12.41	12.48	2137710	26927584.00
2009/08/10	12.80	12.98	12.50	12.75	2658107	33846656.00
2009/08/11	13.12	13.70	12.76	13.69	6554147	88011248.00
