600973 宝胜股份 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2009/01/08	8.47	8.50	8.17	8.27	4300800	35890460.00
2009/01/09	8.29	8.60	8.29	8.58	3781800	31979794.00
2009/01/12	8.56	9.17	8.47	9.11	7446100	66340040.00
2009/01/13	9.00	9.00	8.66	8.67	5882900	51966428.00
2009/01/14	8.62	9.10	8.60	9.04	4950500	44373176.00
2009/01/15	8.95	9.36	8.86	9.15	6321200	57867072.00
2009/01/16	9.25	9.47	9.05	9.09	6817700	63039228.00
2009/01/19	9.10	9.24	8.83	8.99	4828900	43351176.00
2009/01/20	8.86	9.89	8.86	9.89	13265700	124276272.00
2009/01/21	9.69	9.96	9.50	9.79	11697700	114501288.00
2009/01/22	9.90	10.77	9.90	10.77	22317800	237296800.00
2009/01/23	11.25	11.85	10.52	11.85	23603500	274471776.00
2009/02/02	12.08	13.04	11.80	13.04	20518400	253840448.00
2009/02/03	14.20	14.20	13.10	13.65	21301900	288796544.00
2009/02/04	13.55	14.40	13.55	13.77	19260000	268419264.00
2009/02/05	13.71	15.15	13.66	15.12	19799500	288218432.00
2009/02/06	14.70	15.46	14.45	15.05	17338600	258829856.00
2009/02/09	15.10	15.90	14.70	15.20	13824900	210281216.00
2009/02/10	15.02	15.79	14.71	15.53	11335100	172119776.00
2009/02/11	15.20	17.08	15.15	17.08	14700900	246598192.00
2009/02/12	17.50	17.66	15.75	16.39	12120300	199901728.00
2009/02/13	16.59	16.82	16.08	16.52	8155900	133585840.00
2009/02/16	16.41	16.63	15.66	16.29	10252400	164940544.00
2009/02/17	16.18	16.26	15.01	15.15	10842600	170776560.00
2009/02/18	14.95	15.73	14.86	15.39	11928000	182629664.00
2009/02/19	15.48	15.52	14.40	14.87	10193700	150311344.00
2009/02/20	14.80	15.58	14.38	15.29	9005300	135695248.00
2009/02/23	15.24	16.15	14.90	15.67	9551000	148669152.00
2009/02/24	15.35	16.27	14.62	14.76	9676300	150549824.00
2009/02/25	14.99	15.20	13.96	14.56	8938600	128005120.00
2009/02/26	14.46	14.75	13.10	14.02	8200200	115298608.00
2009/02/27	13.65	14.10	13.12	13.30	7827600	106322912.00
2009/03/02	13.33	14.63	13.30	14.63	6700000	95450960.00
2009/03/03	14.99	16.00	14.50	15.32	14181300	217228432.00
2009/03/04	15.00	16.11	15.00	16.03	11291600	179132704.00
2009/03/05	16.05	16.55	15.55	16.19	9358500	150187632.00
2009/03/06	15.80	16.24	15.70	15.87	5344500	85472640.00
2009/03/09	15.61	15.97	14.28	14.30	6998300	105895816.00
2009/03/10	14.25	14.49	13.51	14.40	6160200	85721416.00
2009/03/11	14.60	14.74	13.75	13.93	4133400	59246156.00
2009/03/12	13.92	14.56	13.80	14.52	4060500	57973200.00
2009/03/13	14.66	15.28	14.41	14.73	5039200	74917856.00
2009/03/16	14.50	14.80	13.95	14.56	3015700	43297988.00
2009/03/17	14.56	15.19	14.20	15.15	5120200	75886080.00
2009/03/18	15.18	15.97	15.18	15.75	9734600	152682384.00
2009/03/19	15.95	16.58	15.85	16.53	9539200	154523920.00
2009/03/20	16.58	16.80	15.91	16.50	6344300	103310592.00
2009/03/23	15.60	17.09	15.60	16.21	11129500	181893728.00
2009/03/24	16.21	16.50	15.90	16.34	6713600	109165984.00
2009/03/25	16.40	16.48	15.00	15.30	6219100	98526608.00
2009/03/26	15.05	15.42	14.75	15.36	5014000	75900664.00
2009/03/27	15.30	15.76	15.17	15.35	4275200	66132848.00
2009/03/30	15.48	16.12	15.41	15.94	4958500	78006224.00
2009/03/31	15.42	15.96	15.35	15.82	3762600	59128508.00
2009/04/01	16.02	17.16	16.02	16.18	7863500	129649576.00
2009/04/02	16.29	16.47	15.61	16.32	6494400	104003752.00
2009/04/03	16.36	17.95	16.20	17.95	9461200	161757952.00
2009/04/07	18.32	18.89	17.60	17.77	10949500	199198784.00
2009/04/08	17.45	17.98	16.24	16.43	7568700	129680776.00
2009/04/09	16.29	16.80	16.16	16.65	5942800	98112632.00
2009/04/10	16.74	17.46	16.70	17.07	5870500	100108344.00
2009/04/13	17.07	17.42	16.58	16.98	7047000	118776592.00
2009/04/14	16.90	17.21	16.66	16.75	4256000	71743328.00
2009/04/16	17.10	17.63	16.90	17.18	7952100	136916256.00
2009/04/17	17.13	17.65	16.78	16.82	5528500	95113256.00
2009/04/20	16.84	17.20	16.52	16.94	5209500	88059432.00
2009/04/21	16.70	17.26	16.60	17.17	4696300	79692880.00
2009/04/22	17.50	18.00	16.28	16.41	7032200	122139208.00
2009/04/23	16.06	16.38	15.46	15.94	5269300	83839784.00
2009/04/24	16.06	16.40	15.58	16.08	3815200	60983776.00
2009/04/27	15.81	16.19	14.90	15.02	3326700	51721072.00
2009/04/28	14.94	15.29	14.72	15.16	1731800	25991278.00
2009/04/29	15.16	16.20	15.15	16.09	2884800	45606016.00
2009/04/30	16.26	16.34	15.90	15.97	2802800	45098372.00
2009/05/04	16.20	16.88	16.05	16.63	2913800	48411056.00
2009/05/05	16.60	17.40	16.60	17.20	5089600	86914832.00
2009/05/06	17.13	17.75	16.82	17.44	4868000	84535824.00
2009/05/07	17.51	17.63	16.32	16.98	4993000	84859376.00
2009/05/08	16.97	17.10	16.50	16.80	3741300	62839380.00
2009/05/11	16.82	17.59	16.50	16.61	5149900	87894712.00
2009/05/12	16.33	16.80	16.10	16.74	2796600	46157916.00
2009/05/13	16.72	17.19	16.48	16.98	4405500	74680704.00
2009/05/14	16.76	17.19	16.30	17.13	3827400	63993788.00
2009/05/15	17.10	17.66	16.98	17.32	4814400	83120136.00
2009/05/18	17.40	17.40	16.70	17.31	4344400	74160144.00
2009/05/19	17.48	17.55	16.95	16.97	4192600	71657912.00
2009/05/20	16.82	17.03	16.55	16.57	2703400	45236440.00
2009/05/21	16.36	16.55	15.68	15.69	4640900	74208984.00
2009/05/22	15.69	16.04	15.69	15.97	2720949	43244612.00
2009/05/25	15.40	16.69	15.31	16.68	4077330	65997340.00
2009/05/26	16.65	18.35	16.60	18.35	13618325	241381840.00
