601018 宁波港 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2010/09/28	3.72	3.75	3.54	3.57	326372968	1190050688.00
2010/09/29	3.45	3.54	3.43	3.47	115421292	401337440.00
2010/09/30	3.47	3.56	3.45	3.55	76494243	269854240.00
2010/10/08	3.56	3.66	3.52	3.59	128202491	461577088.00
2010/10/11	3.59	3.73	3.57	3.72	183771870	672264064.00
2010/10/12	3.70	3.72	3.64	3.68	105058337	386490720.00
2010/10/13	3.67	3.71	3.60	3.69	92866667	339165312.00
2010/10/14	3.70	3.85	3.67	3.73	269133898	1011656320.00
2010/10/15	3.72	3.82	3.67	3.80	232780931	874536960.00
2010/10/18	3.90	4.18	3.85	4.18	405817920	1653685760.00
2010/10/19	4.10	4.14	3.98	4.05	266893897	1078665472.00
2010/10/20	3.96	4.01	3.86	3.94	166983188	657299456.00
2010/10/21	3.95	3.95	3.82	3.88	99521036	385614432.00
2010/10/22	3.88	3.91	3.83	3.88	65463919	253800288.00
2010/10/25	3.88	3.98	3.88	3.96	103334200	406898240.00
2010/10/26	3.98	3.99	3.88	3.90	74838827	292520384.00
2010/10/27	3.88	3.95	3.86	3.86	58781810	229046896.00
2010/10/28	3.87	3.89	3.83	3.84	54640117	210400208.00
2010/10/29	3.84	3.86	3.76	3.80	58398674	221819488.00
2010/11/01	3.80	3.84	3.79	3.83	51418169	196299088.00
2010/11/02	3.84	3.91	3.77	3.86	88499744	339205984.00
2010/11/03	3.84	3.88	3.79	3.81	49817904	190446032.00
2010/11/04	3.83	3.88	3.81	3.86	49251189	189583280.00
2010/11/05	3.88	3.97	3.86	3.92	98169201	385259328.00
2010/11/08	3.93	3.96	3.90	3.94	77230297	303668064.00
2010/11/09	3.94	3.94	3.85	3.87	65961058	256429200.00
2010/11/10	3.85	3.86	3.78	3.82	48751654	186068800.00
2010/11/11	3.80	3.89	3.79	3.84	47827071	183857248.00
2010/11/12	3.83	3.83	3.64	3.67	80275186	299913440.00
2010/11/15	3.67	3.75	3.66	3.73	40610679	150276288.00
2010/11/16	3.72	3.72	3.62	3.63	35272763	129420008.00
2010/11/17	3.62	3.66	3.60	3.62	22547272	81669784.00
2010/11/18	3.63	3.65	3.61	3.64	19014028	69060616.00
2010/11/19	3.65	3.67	3.60	3.66	23155174	84061000.00
2010/11/22	3.63	3.67	3.62	3.65	21566157	78640376.00
2010/11/23	3.63	3.63	3.54	3.57	28737044	102951744.00
2010/11/24	3.56	3.61	3.55	3.60	18180568	65144480.00
2010/11/25	3.61	3.64	3.58	3.63	23508450	84963544.00
2010/11/26	3.62	3.63	3.58	3.59	16284371	58643588.00
2010/11/29	3.58	3.59	3.56	3.58	14631003	52273112.00
2010/11/30	3.57	3.60	3.49	3.52	31783389	112246920.00
2010/12/01	3.53	3.53	3.50	3.52	14099866	49529756.00
2010/12/02	3.57	3.65	3.54	3.61	33990000	121964904.00
2010/12/03	3.60	3.61	3.55	3.58	14036499	50217292.00
2010/12/06	3.60	3.62	3.56	3.60	21954161	78977656.00
2010/12/07	3.57	3.58	3.51	3.57	16168345	57359840.00
2010/12/08	3.56	3.57	3.53	3.55	10890960	38693336.00
2010/12/09	3.54	3.57	3.49	3.52	17619959	62207884.00
2010/12/10	3.50	3.55	3.50	3.53	12954454	45698440.00
2010/12/13	3.53	3.60	3.53	3.60	25068558	89726808.00
2010/12/14	3.60	3.66	3.57	3.63	27983773	101168352.00
2010/12/15	3.61	3.63	3.58	3.60	14520819	52335580.00
2010/12/16	3.60	3.62	3.57	3.58	12449806	44713752.00
2010/12/17	3.57	3.59	3.51	3.57	17425720	62016924.00
2010/12/20	3.56	3.57	3.50	3.53	18634621	65771584.00
2010/12/21	3.53	3.57	3.52	3.56	14065591	49863292.00
2010/12/22	3.56	3.56	3.52	3.53	12883284	45559628.00
2010/12/23	3.53	3.54	3.51	3.52	14484187	51015004.00
2010/12/24	3.53	3.53	3.50	3.52	12504539	43898384.00
2010/12/27	3.53	3.54	3.45	3.47	22012235	77066856.00
2010/12/28	3.43	3.44	3.12	3.20	295855680	947545536.00
2010/12/29	3.16	3.19	3.10	3.16	96143991	302168128.00
2010/12/30	3.16	3.16	3.06	3.09	102763575	318798592.00
2010/12/31	3.08	3.12	3.08	3.12	79554829	246512304.00
2011/01/04	3.12	3.16	3.10	3.15	99758602	311400960.00
2011/01/05	3.13	3.14	3.10	3.11	50268711	156750992.00
2011/01/06	3.11	3.12	3.07	3.09	93946047	290436128.00
2011/01/07	3.08	3.15	3.07	3.12	80020486	249175552.00
2011/01/10	3.10	3.13	3.08	3.09	45563100	141448288.00
2011/01/11	3.08	3.13	3.05	3.12	102524030	316953408.00
2011/01/12	3.10	3.13	3.09	3.12	46218893	143513904.00
2011/01/13	3.12	3.12	3.09	3.09	35485174	110065464.00
2011/01/14	3.09	3.10	3.07	3.08	32742526	100919840.00
2011/01/17	3.07	3.08	3.00	3.01	62935122	190939664.00
2011/01/18	3.01	3.01	2.97	3.01	30343905	90774288.00
2011/01/19	3.01	3.05	2.99	3.05	43398467	131021016.00
2011/01/20	3.04	3.04	2.96	2.98	46518397	139646816.00
2011/01/21	2.97	3.06	2.96	3.03	61113910	184303904.00
2011/01/24	3.03	3.07	3.01	3.04	39447963	119922576.00
2011/01/25	3.03	3.05	3.01	3.03	27650772	83643264.00
2011/01/26	3.03	3.05	3.02	3.05	25401957	77107512.00
2011/01/27	3.03	3.18	3.01	3.15	136649592	427146240.00
2011/01/28	3.13	3.14	3.10	3.12	52063413	162395296.00
2011/01/31	3.12	3.16	3.11	3.14	51190872	160281360.00
2011/02/01	3.14	3.14	3.10	3.13	30396928	94776888.00
2011/02/09	3.11	3.13	3.10	3.11	29679802	92467104.00
2011/02/10	3.11	3.16	3.10	3.15	41009863	128509936.00
2011/02/11	3.15	3.20	3.14	3.17	59777054	189691920.00
2011/02/14	3.18	3.29	3.17	3.27	132376361	430300960.00
2011/02/15	3.28	3.33	3.26	3.28	108899617	358462432.00
2011/02/16	3.27	3.39	3.25	3.38	103730454	345952608.00
2011/02/17	3.39	3.43	3.33	3.40	119812339	405877440.00
2011/02/18	3.39	3.41	3.30	3.32	84332086	282835840.00
2011/02/21	3.29	3.34	3.28	3.34	51477026	170622912.00
2011/02/22	3.34	3.34	3.20	3.21	91027998	295955744.00
2011/02/23	3.18	3.23	3.18	3.22	42281370	135596048.00
2011/02/24	3.20	3.26	3.20	3.26	40535782	130983192.00
2011/02/25	3.25	3.26	3.19	3.24	32581979	105092120.00
2011/02/28	3.24	3.32	3.21	3.30	71419711	233343664.00
2011/03/01	3.31	3.34	3.29	3.32	62202060	206073520.00
2011/03/02	3.45	3.65	3.41	3.51	319815419	1121862912.00
2011/03/03	3.46	3.66	3.45	3.53	232144802	828760512.00
2011/03/04	3.51	3.51	3.42	3.46	104848510	362151008.00
