601579 会稽山 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2014/08/25	5.32	6.38	5.32	6.38	258790	1649914.25
2014/08/26	7.02	7.02	7.02	7.02	99391	697724.81
2014/08/27	7.72	7.72	7.72	7.72	146100	1127892.00
2014/08/28	8.49	8.49	8.49	8.49	612364	5198970.50
2014/08/29	9.34	9.34	9.34	9.34	1623633	15164732.00
2014/09/01	10.27	10.27	10.27	10.27	2819496	28956224.00
2014/09/02	11.30	11.30	11.30	11.30	4128057	46647044.00
2014/09/03	12.43	12.43	12.12	12.43	30112872	374136992.00
2014/09/04	13.05	13.67	13.00	13.67	53057367	706863680.00
2014/09/05	14.08	15.04	14.00	14.70	60088279	880515776.00
2014/09/09	14.00	14.33	13.55	14.23	33769809	472935200.00
2014/09/10	13.95	15.60	13.75	14.92	45664155	680993600.00
2014/09/11	14.65	14.81	14.36	14.48	27085071	393951264.00
2014/09/12	14.30	14.57	13.98	14.27	17333234	246398896.00
2014/09/15	14.28	14.34	14.01	14.19	10521007	148668080.00
2014/09/16	14.22	14.25	13.38	13.43	16779310	231073088.00
2014/09/17	13.42	13.72	13.25	13.39	9601093	129268088.00
2014/09/18	13.33	13.49	13.14	13.28	8948529	118800232.00
2014/09/19	13.28	13.60	13.16	13.49	8193539	110022448.00
2014/09/22	13.41	14.58	13.01	14.14	23027215	318264800.00
2014/09/23	13.80	14.19	13.70	13.84	12982775	180392176.00
2014/09/24	13.70	13.76	13.50	13.62	8649700	117728464.00
2014/09/25	13.60	13.82	13.50	13.51	6490994	88408680.00
2014/09/26	13.40	13.50	13.31	13.41	4183775	56121200.00
2014/09/29	13.47	13.52	13.32	13.39	5283964	70840016.00
2014/09/30	13.41	13.45	13.34	13.38	3426906	45834636.00
2014/10/08	13.41	13.43	13.19	13.36	4302419	57252684.00
2014/10/09	13.36	13.50	13.30	13.43	4924676	65981216.00
2014/10/10	13.38	13.43	13.24	13.26	4448714	59206080.00
2014/10/13	13.25	13.25	13.10	13.15	3798800	49909004.00
2014/10/14	13.14	13.24	13.06	13.10	3167729	41656920.00
2014/10/15	13.13	13.20	13.07	13.18	3232631	42513804.00
2014/10/16	13.17	13.19	12.91	12.95	3920526	51310096.00
2014/10/17	12.87	12.92	12.27	12.60	8183650	102544016.00
2014/10/20	12.57	12.65	12.42	12.55	3345767	41958436.00
2014/10/21	12.50	12.69	12.46	12.63	3684567	46391552.00
2014/10/22	12.57	13.25	12.54	12.90	9228811	120218960.00
2014/10/23	12.88	12.88	12.39	12.45	5183413	65218212.00
2014/10/24	12.45	12.50	12.07	12.12	4106751	50420184.00
2014/10/27	12.16	12.16	11.62	11.67	4880483	57657584.00
2014/10/28	11.72	11.97	11.71	11.93	3237073	38438000.00
2014/10/29	11.96	12.52	11.95	12.40	7280296	89125496.00
2014/10/30	12.40	12.40	12.16	12.19	4357720	53324848.00
2014/10/31	12.19	12.80	12.09	12.54	7451631	93150912.00
2014/11/03	12.38	12.57	12.33	12.45	5201883	64713380.00
2014/11/04	12.43	12.64	12.37	12.47	3680233	45975724.00
2014/11/05	12.48	12.68	12.27	12.63	6216472	77992496.00
2014/11/06	12.63	13.08	12.53	13.05	11424237	146523712.00
2014/11/07	13.18	14.30	13.00	13.78	29874362	411619008.00
2014/11/10	13.78	14.48	13.38	14.45	29992976	422449824.00
2014/11/11	14.54	14.77	13.50	13.89	22509760	318524384.00
2014/11/12	13.71	15.21	13.16	14.93	34551050	500704128.00
2014/11/13	14.40	16.40	14.27	15.14	41113474	635421632.00
2014/11/14	14.90	14.90	13.63	13.87	24776767	349945856.00
2014/11/17	13.55	14.21	13.50	13.60	11254284	155194016.00
2014/11/18	13.56	13.98	13.31	13.80	10548361	144112704.00
2014/11/19	13.70	13.77	13.48	13.56	7794221	105993136.00
2014/11/20	13.41	13.95	13.35	13.79	9331394	128059312.00
2014/11/21	13.68	14.18	13.63	13.85	10902791	151988208.00
2014/11/24	13.95	14.09	13.61	13.94	12193697	169078112.00
2014/11/25	13.86	13.96	13.58	13.72	10216568	140092848.00
2014/11/26	13.70	14.12	13.62	14.09	12989805	180585200.00
2014/11/27	14.17	14.27	13.77	13.95	10942154	153476960.00
2014/11/28	13.91	13.91	13.55	13.67	8776400	120279328.00
2014/12/01	13.62	14.14	13.42	14.09	13422426	186130000.00
2014/12/02	14.00	14.41	13.84	14.30	17360741	247097888.00
2014/12/03	14.25	14.55	13.85	14.06	12141309	171399856.00
2014/12/04	14.03	14.20	13.91	14.07	10181491	143207440.00
2014/12/05	14.00	14.00	13.30	13.39	13131811	178213056.00
2014/12/08	13.20	13.28	13.01	13.11	7985999	104764928.00
2014/12/09	13.00	13.00	12.44	12.46	9699670	123192184.00
2014/12/10	12.41	12.98	12.37	12.94	6031696	77107032.00
2014/12/11	12.95	13.18	12.85	13.15	4057618	53032812.00
2014/12/12	13.08	13.24	13.02	13.16	3637680	47754544.00
2014/12/15	13.09	13.37	13.05	13.33	3914452	51863540.00
2014/12/16	13.32	13.32	13.05	13.13	4047269	53108008.00
2014/12/17	13.05	13.06	12.60	12.78	4499406	57643216.00
2014/12/18	12.78	13.01	12.74	12.77	2892484	37240184.00
2014/12/19	12.76	12.85	12.36	12.46	4047429	50653892.00
2014/12/22	12.42	12.66	11.73	11.81	4449958	53272220.00
2014/12/23	11.83	12.58	11.83	12.39	4413779	54211300.00
2014/12/24	12.45	12.73	12.39	12.56	3696446	46526908.00
2014/12/25	12.56	12.65	12.35	12.51	2517689	31369212.00
2014/12/26	12.42	12.49	12.28	12.34	2939617	36283324.00
2014/12/29	12.38	12.39	12.12	12.36	2677567	32795364.00
2014/12/30	12.26	12.39	12.01	12.07	1832201	22276780.00
2014/12/31	12.01	12.26	12.01	12.15	1605371	19452780.00
2015/01/05	12.18	12.37	12.05	12.31	2048855	25058678.00
2015/01/06	12.26	12.54	12.18	12.51	3515023	43738564.00
2015/01/07	12.53	12.65	12.31	12.41	2718922	33961484.00
2015/01/08	12.39	12.82	12.32	12.75	5249034	66354408.00
2015/01/09	12.67	12.77	12.30	12.40	3607751	45480360.00
2015/01/12	12.30	12.38	11.86	11.89	3125123	37415464.00
2015/01/13	11.85	12.03	11.84	12.02	1392300	16631723.00
2015/01/14	11.95	12.09	11.87	11.89	1464700	17500780.00
2015/01/15	11.82	11.99	11.82	11.91	1361909	16220815.00
2015/01/16	11.96	12.14	11.92	12.10	1755580	21109872.00
2015/01/19	11.98	12.30	11.78	11.93	3008615	36179436.00
2015/01/20	11.93	12.40	11.93	12.38	3674109	45005916.00
2015/01/21	12.39	12.57	12.38	12.50	4675255	58272908.00
2015/01/22	12.47	12.56	12.43	12.55	3361443	42047512.00
2015/01/23	12.57	12.57	12.37	12.39	2590400	32220628.00
2015/01/26	12.46	12.55	12.35	12.50	2163539	26954970.00
2015/01/27	12.47	12.53	12.33	12.47	2412562	29998296.00
2015/01/28	12.45	12.64	12.41	12.50	3390272	42516356.00
2015/01/29	12.40	12.53	12.37	12.41	1549440	19273166.00
2015/01/30	12.46	12.60	12.41	12.56	3806785	47664240.00
2015/02/02	12.61	13.68	12.60	13.59	19369813	256830128.00
2015/02/03	13.50	13.57	13.11	13.37	12410115	165278080.00
2015/02/04	13.29	13.43	13.00	13.11	7249148	95429408.00
2015/02/05	13.16	13.44	12.90	13.02	6157610	81111712.00
2015/02/06	12.92	12.92	12.02	12.27	7146711	89009440.00
2015/02/09	12.21	12.50	11.91	12.34	3998077	48597292.00
2015/02/10	12.36	12.36	12.09	12.28	2804690	34209720.00
2015/02/11	12.23	12.37	12.16	12.32	2846407	34949616.00
2015/02/12	12.47	12.69	12.34	12.52	4451427	55680572.00
2015/02/13	12.50	12.59	12.45	12.52	4270207	53446944.00
2015/02/16	12.56	12.58	12.46	12.51	2987258	37439896.00
2015/02/17	12.53	12.66	12.53	12.60	2510200	31587682.00
2015/02/25	12.60	12.65	12.35	12.39	2529566	31477650.00
2015/02/26	12.36	12.44	12.28	12.42	2631803	32544212.00
2015/02/27	12.42	12.53	12.37	12.51	2471749	30788474.00
2015/03/02	12.56	12.67	12.44	12.66	5114732	64173652.00
2015/03/03	12.60	12.65	12.51	12.58	3942744	49565156.00
2015/03/04	12.61	12.94	12.61	12.93	6760422	86474048.00
2015/03/05	13.00	13.00	12.75	12.82	4458229	57201456.00
2015/03/06	12.82	12.95	12.67	12.72	3418111	43747112.00
2015/03/09	12.67	12.74	12.50	12.74	3175559	40029300.00
2015/03/10	12.70	12.89	12.66	12.84	3600079	46045444.00
2015/03/11	12.86	12.88	12.63	12.70	3472137	44162056.00
2015/03/12	12.70	12.71	12.50	12.54	3409347	42901144.00
2015/03/13	12.55	12.75	12.55	12.74	2886024	36525704.00
2015/03/16	12.77	13.06	12.77	13.03	7564802	97957648.00
2015/03/17	13.20	13.27	12.91	13.04	8542608	111751640.00
2015/03/18	13.19	13.40	13.09	13.38	9522212	126333992.00
2015/03/19	13.50	14.59	13.24	14.38	20744293	287219456.00
2015/03/20	14.20	14.50	13.97	14.01	14201202	200678832.00
2015/03/23	14.01	14.50	13.91	14.19	12227886	174126768.00
2015/03/24	14.25	14.69	13.00	14.59	19601983	278542976.00
2015/03/25	14.35	14.96	14.32	14.66	14334403	210367072.00
2015/03/26	14.55	14.65	14.08	14.15	9208979	131967856.00
2015/03/27	13.92	14.14	13.90	14.01	6827313	95671456.00
2015/03/30	14.01	14.38	14.00	14.13	8987593	127109640.00
2015/03/31	14.19	14.45	14.00	14.15	8318403	118161912.00
2015/04/01	14.16	14.26	14.12	14.20	6283384	89126440.00
2015/04/02	14.24	14.48	14.16	14.46	9428839	135022752.00
2015/04/03	14.40	14.77	14.31	14.66	11575429	168831680.00
2015/04/07	14.70	14.92	14.60	14.82	11295011	166702992.00
2015/04/08	14.80	15.75	14.66	15.74	21123845	323954656.00
2015/04/09	15.75	15.75	14.80	15.17	13722017	208211168.00
2015/04/10	15.05	15.47	14.90	15.27	8127844	123985920.00
2015/04/13	15.27	16.36	15.02	15.91	20197463	314295808.00
2015/04/14	15.64	15.98	15.40	15.52	11965090	187473728.00
2015/04/15	15.40	15.42	14.43	14.71	11445621	171027440.00
2015/04/16	14.61	15.65	14.31	15.05	10037479	150785472.00
2015/04/17	15.25	15.28	14.80	14.90	10400013	155783680.00
2015/04/20	14.75	14.80	14.34	14.35	8807874	128430040.00
2015/04/21	14.40	15.00	14.40	14.91	7132746	105049960.00
2015/04/22	14.97	15.34	14.93	15.11	9958337	150806080.00
2015/04/23	15.22	16.01	14.93	15.60	17576939	272155104.00
2015/04/24	15.35	15.75	15.13	15.52	11606879	179305616.00
2015/04/27	15.61	16.10	15.50	15.75	14434535	228749168.00
2015/04/28	15.65	15.94	14.98	15.02	10101206	154408144.00
2015/04/29	14.88	15.34	14.80	15.22	6055619	91802712.00
2015/04/30	15.20	15.37	15.08	15.14	7153455	108953520.00
2015/05/04	15.16	15.36	14.91	15.20	5287437	79954456.00
2015/05/05	15.15	15.19	14.50	14.51	6261464	92845824.00
2015/05/06	14.57	14.84	14.05	14.20	5276019	76587448.00
2015/05/07	14.26	14.27	13.91	14.12	3882726	54679696.00
2015/05/08	14.37	14.44	14.17	14.43	4075186	58346440.00
2015/05/11	14.51	15.10	14.41	15.05	7654807	113620520.00
2015/05/12	15.06	15.78	14.96	15.65	12576501	193709408.00
2015/05/13	15.66	15.96	15.40	15.48	11971362	187279824.00
2015/05/14	15.49	16.93	15.40	16.47	21562846	351830528.00
2015/05/15	16.26	16.80	15.80	16.38	15540112	252820128.00
2015/06/15	18.02	18.02	18.02	18.02	250619	4516154.50
2015/06/16	19.82	19.82	19.82	19.82	909032	18017014.00
2015/06/17	21.00	21.68	19.90	21.19	32097169	663032384.00
2015/06/18	20.64	20.88	19.18	19.50	17194260	347417280.00
2015/06/19	18.50	19.20	17.55	17.55	13076822	236133280.00
2015/06/23	17.65	19.28	16.60	19.13	13761298	245865424.00
2015/06/24	19.50	20.50	19.39	20.00	21012733	419463776.00
2015/06/25	20.00	20.10	18.05	18.27	14915428	286556576.00
2015/06/26	17.50	18.11	16.44	16.87	13979469	239776032.00
2015/06/29	17.76	18.00	15.30	17.34	17406150	299856992.00
2015/06/30	17.00	19.07	16.11	19.07	15797746	281833600.00
2015/07/01	19.48	20.50	18.45	18.67	20827081	412400000.00
2015/07/02	18.06	19.59	17.09	18.31	16821896	310259808.00
2015/07/03	17.50	18.97	16.50	16.73	14698320	256858368.00
2015/07/06	18.40	18.40	15.06	15.09	16788719	278346208.00
2015/07/07	14.00	14.00	13.58	13.58	5269700	71778560.00
2015/07/10	14.94	14.94	13.89	14.94	6539987	97033168.00
2015/07/13	16.00	16.43	15.51	16.43	18119597	293241248.00
2015/07/14	16.50	17.48	16.00	16.30	17224262	287159712.00
2015/07/15	15.80	15.99	14.67	14.67	12020695	180540800.00
2015/07/16	13.80	15.21	13.20	14.24	10260464	145516656.00
2015/07/17	14.20	15.16	14.20	15.01	9190770	135896832.00
2015/07/20	15.23	15.55	14.79	15.06	10963257	165520720.00
2015/07/21	14.90	15.35	14.65	15.25	9267772	139299504.00
2015/07/22	15.14	15.48	14.81	15.27	7826360	119215544.00
2015/07/23	15.20	16.25	15.20	16.04	12016911	189680064.00
2015/07/24	16.00	16.60	15.57	15.70	13679466	220197232.00
2015/07/27	15.20	15.57	14.13	14.13	9502141	142054320.00
2015/07/28	13.17	14.48	12.79	13.93	8918338	122033144.00
2015/07/29	14.15	14.68	13.61	14.65	6457463	91397456.00
2015/07/30	14.64	14.85	13.95	14.03	6244070	90628520.00
2015/07/31	13.76	14.11	13.62	13.75	4529943	62766608.00
2015/08/03	13.75	13.80	13.02	13.37	4653376	62145536.00
2015/08/04	13.69	14.35	13.42	14.30	6068935	84589136.00
2015/08/05	14.03	14.42	13.77	13.96	6041077	85171192.00
2015/08/06	13.65	14.11	13.60	13.96	3333556	46510316.00
2015/08/07	14.10	14.36	14.04	14.28	5158765	73351768.00
2015/08/10	14.44	15.09	14.27	15.00	8272382	121725744.00
2015/08/11	14.95	15.23	14.80	14.98	7583815	113977576.00
2015/08/12	14.81	14.97	14.60	14.62	5710697	84448696.00
2015/08/13	14.62	15.05	14.55	15.01	5301606	78702936.00
2015/08/14	15.02	15.60	15.01	15.50	9356083	143910160.00
2015/08/17	15.37	15.87	15.20	15.70	6935010	107388728.00
2015/08/18	15.56	15.68	14.13	14.26	8585919	128337096.00
2015/08/19	13.80	15.01	13.65	14.83	6199027	88936936.00
2015/08/20	14.62	14.97	14.32	14.33	5098560	74626680.00
2015/08/21	14.25	14.80	13.65	13.77	4594508	64726992.00
2015/08/24	13.20	13.80	12.39	12.39	5435331	68481728.00
2015/08/25	11.20	11.56	11.15	11.15	4813986	53971004.00
2015/08/26	11.20	11.54	10.23	10.42	6099978	66664088.00
2015/08/27	10.66	10.93	10.25	10.81	4592656	48862220.00
2015/08/28	10.91	11.62	10.77	11.53	5794047	64268308.00
2015/08/31	11.25	11.40	10.79	10.81	4258755	46914204.00
2015/09/01	10.60	10.73	9.97	10.03	4777656	49073028.00
2015/09/02	9.72	10.39	9.51	9.68	4850368	47674092.00
2015/09/07	9.90	10.20	9.81	9.94	3010863	30250250.00
2015/09/08	10.04	10.46	9.89	10.44	2971327	30276082.00
2015/09/09	10.51	10.96	10.39	10.83	4166727	44626292.00
2015/09/10	10.69	10.74	10.40	10.46	3050900	32346172.00
2015/09/11	10.47	10.66	10.38	10.56	2191433	23065164.00
2015/09/14	10.75	10.75	9.62	9.74	3036910	30690216.00
2015/09/15	9.67	9.97	9.50	9.53	2836963	27423698.00
2015/09/16	9.53	10.48	9.53	10.34	3883890	38709096.00
2015/09/17	10.06	10.44	10.01	10.03	4276619	43630844.00
2015/09/18	10.01	10.16	9.87	10.04	2569029	25716162.00
2015/09/21	9.81	10.56	9.79	10.33	4135042	42271572.00
2015/09/22	10.33	10.93	10.33	10.54	4473555	47621252.00
2015/09/23	10.30	10.60	10.10	10.38	2605300	27131140.00
2015/09/24	10.37	10.59	10.30	10.46	3077000	32163320.00
2015/09/25	11.09	11.51	11.09	11.45	17631078	201484256.00
2015/09/28	10.90	11.06	10.39	11.01	12664970	135965712.00
2015/09/29	10.64	10.80	10.31	10.32	8629947	91057936.00
2015/09/30	10.41	10.59	10.33	10.41	4517304	47254304.00
2015/10/08	10.72	10.85	10.55	10.82	6915433	74324952.00
2015/10/09	10.72	10.99	10.69	10.90	5498880	59572312.00
2015/10/12	10.90	11.60	10.90	11.53	9451584	106977808.00
2015/10/13	11.52	11.95	11.33	11.70	7908329	92387400.00
2015/10/14	11.59	11.84	11.38	11.39	5766879	67003012.00
2015/10/15	11.41	12.15	11.32	12.11	8104550	96388136.00
2015/10/16	12.05	12.17	11.81	12.04	5401102	64715268.00
2015/10/19	12.10	12.16	11.76	11.95	4811768	57661640.00
2015/10/20	11.96	12.05	11.71	12.02	5046560	59973648.00
2015/10/21	12.09	12.20	11.00	11.20	6965688	80725608.00
2015/10/22	11.25	11.55	11.10	11.52	3814353	43276888.00
2015/10/23	11.51	11.99	11.44	11.92	5796955	68271192.00
2015/10/26	12.10	12.15	11.85	11.97	5526554	66328292.00
2015/10/27	11.90	12.16	11.50	12.14	4901047	58200648.00
2015/10/28	12.10	12.38	11.70	11.89	3763645	45427332.00
2015/10/29	11.90	12.13	11.77	12.04	3439017	41206764.00
2015/10/30	11.92	12.09	11.81	11.94	2578157	30821252.00
2015/11/02	11.75	12.43	11.65	12.06	5962919	72460016.00
2015/11/03	12.03	12.60	11.97	12.43	7699170	94952440.00
2015/11/04	12.58	12.90	12.22	12.86	8668624	109675432.00
2015/11/05	12.88	13.26	12.62	12.73	8566497	110531200.00
2015/11/06	12.68	12.97	12.65	12.95	7057190	90529888.00
2015/11/09	12.80	13.34	12.75	12.93	6648930	86205168.00
2015/11/10	12.78	13.16	12.70	12.86	5468979	70458416.00
2015/11/11	12.91	13.25	12.76	13.17	6038066	78194584.00
2015/11/12	13.27	13.77	13.02	13.57	10892141	145722928.00
2015/11/13	13.38	13.45	12.87	12.93	6193345	81120808.00
2015/11/16	12.58	13.18	12.51	13.16	4808897	62232568.00
2015/11/17	13.20	13.70	13.04	13.27	6017553	80121576.00
2015/11/18	13.60	13.72	13.20	13.24	7230288	97539864.00
2015/11/19	13.15	13.55	12.96	13.53	4411306	58183048.00
2015/11/20	13.50	13.64	13.38	13.47	3852516	52009656.00
2015/11/23	13.46	13.75	13.23	13.28	5784225	77850552.00
2015/11/24	13.29	13.52	13.05	13.45	3982367	52823868.00
2015/11/25	13.41	13.80	13.40	13.77	7473685	101887832.00
2015/11/26	13.78	13.96	13.45	13.52	4251912	57963560.00
2015/11/27	13.52	13.52	12.44	12.55	5053152	65886972.00
2015/11/30	12.70	12.76	12.00	12.62	3431805	42726008.00
2015/12/01	12.64	12.86	12.48	12.77	2483863	31537430.00
2015/12/02	12.72	12.90	12.43	12.87	2679422	34100140.00
2015/12/03	12.87	13.06	12.73	13.05	2856501	36985448.00
2015/12/04	13.00	13.11	12.87	12.95	2692436	34927084.00
2015/12/07	12.96	13.26	12.90	13.16	3622912	47609468.00
2015/12/08	13.16	13.16	12.74	12.78	2645716	34082908.00
2015/12/09	12.78	12.90	12.63	12.68	1888942	24060446.00
2015/12/10	12.66	12.88	12.61	12.84	2195505	28088274.00
2015/12/11	12.80	12.80	12.56	12.71	1651200	20930928.00
2015/12/14	12.65	13.07	12.57	13.06	2917371	37283984.00
2015/12/15	12.99	13.58	12.99	13.47	7227517	96761160.00
2015/12/16	13.56	13.56	13.32	13.39	3648032	49032228.00
2015/12/17	13.41	13.90	13.41	13.74	6497375	89008536.00
2015/12/18	13.80	13.85	13.47	13.78	4136675	56563296.00
2015/12/21	13.87	14.78	13.77	14.42	9308447	133979680.00
2015/12/22	14.35	14.41	14.00	14.34	4780200	67860904.00
2015/12/23	14.35	14.40	14.08	14.09	3964300	56312244.00
2015/12/24	14.01	14.09	13.58	13.90	3417954	47241412.00
2015/12/25	14.00	14.12	13.83	14.02	2877712	40239688.00
2015/12/28	14.01	14.42	13.75	13.76	4713985	66380692.00
2015/12/29	13.76	13.97	13.69	13.95	1926816	26679332.00
2015/12/30	13.90	14.02	13.84	14.00	2054534	28686544.00
2015/12/31	13.97	14.05	13.79	13.83	1899595	26433556.00
2016/01/04	13.81	13.81	12.45	12.51	3487279	45559564.00
2016/01/05	11.47	12.78	11.47	12.25	4180645	50990356.00
2016/01/06	12.30	12.67	12.30	12.62	2566598	32065564.00
2016/01/07	12.50	12.50	11.51	11.56	563800	6807716.00
2016/01/08	11.95	12.15	11.70	12.10	3554430	42606624.00
2016/01/11	11.95	12.91	11.84	12.18	4868088	60583416.00
2016/01/12	12.17	12.70	12.00	12.44	2915231	35983460.00
2016/01/13	12.59	12.69	11.85	11.98	2766198	33791296.00
2016/01/14	11.60	12.42	11.48	12.39	3585636	42929940.00
2016/01/15	12.36	12.36	11.83	11.97	2543528	30699580.00
2016/01/18	11.97	12.18	11.83	12.00	1938505	23288712.00
2016/01/19	12.00	12.40	11.96	12.32	2084885	25450032.00
2016/01/20	12.30	12.36	12.11	12.22	1533726	18743756.00
2016/01/21	12.18	12.30	11.86	11.88	1892284	22904348.00
2016/01/22	11.97	12.10	11.73	12.00	1408949	16846050.00
2016/01/25	12.10	12.21	11.91	12.05	1206394	14585808.00
2016/01/26	11.92	12.20	10.92	10.98	2351899	27523362.00
2016/01/27	11.11	11.25	10.00	10.45	2416200	25212044.00
2016/01/28	10.32	10.49	9.86	10.02	1708345	17365958.00
2016/01/29	9.93	10.50	9.88	10.37	3456424	35316568.00
2016/02/01	10.21	11.41	10.21	10.79	3521906	37698432.00
2016/02/02	10.80	10.94	10.56	10.89	3098329	33352076.00
2016/02/03	10.74	10.80	10.50	10.72	1766479	18813642.00
2016/02/04	10.78	10.90	10.68	10.82	2162389	23357298.00
2016/02/05	10.95	10.95	10.49	10.53	1453130	15535780.00
2016/02/15	10.17	10.57	10.03	10.55	1644761	16924292.00
2016/02/16	10.68	10.97	10.50	10.89	2595838	27939724.00
2016/02/17	10.89	11.00	10.76	10.96	2399383	26090300.00
2016/02/18	11.06	11.08	10.85	10.87	2520341	27550522.00
2016/02/19	10.86	10.93	10.77	10.90	1379204	14948248.00
2016/02/22	10.97	11.13	10.94	11.10	2199639	24321022.00
2016/02/23	11.14	11.39	10.97	11.26	3880296	43499428.00
2016/02/24	11.14	11.24	10.93	11.22	1881279	20912282.00
2016/02/25	11.20	11.26	10.20	10.41	2986355	32332014.00
2016/02/26	10.55	10.67	10.33	10.53	1372675	14478933.00
2016/02/29	10.51	10.63	10.02	10.15	1558244	15904419.00
2016/03/01	10.20	10.37	10.06	10.31	2101432	21431368.00
2016/03/02	10.31	11.34	10.22	11.33	4863715	53515016.00
2016/03/03	11.22	11.38	11.08	11.16	2918095	32746120.00
2016/03/04	11.15	11.27	10.76	10.94	2309900	25426144.00
2016/03/07	11.01	11.54	11.01	11.39	2916574	33016230.00
2016/03/08	11.29	11.38	10.86	11.35	2525580	28014826.00
2016/03/09	11.24	11.24	10.90	10.96	1632164	18046888.00
2016/03/10	10.85	11.20	10.85	10.92	1211739	13352881.00
2016/03/11	10.80	11.16	10.80	11.14	1611813	17708960.00
2016/03/14	11.13	11.59	11.13	11.31	4856219	55313940.00
2016/03/15	11.26	11.42	11.00	11.14	2802444	31142656.00
2016/03/16	11.18	11.30	10.91	11.03	1716283	19019748.00
2016/03/17	11.06	11.28	10.98	11.25	2525284	28179574.00
2016/03/18	11.20	11.55	11.10	11.51	4253454	48561784.00
2016/03/21	11.53	11.87	11.51	11.66	5962941	69741928.00
2016/03/22	11.60	11.98	11.52	11.96	4467127	52807520.00
2016/03/23	11.96	12.07	11.73	11.84	2535240	30070718.00
2016/03/24	11.75	12.06	11.62	11.75	2718788	32224366.00
2016/03/25	11.70	11.98	11.70	11.94	2291100	27240646.00
2016/03/28	11.99	12.21	11.80	11.87	2870932	34478248.00
2016/03/29	11.88	12.14	11.71	11.89	3087986	36835776.00
2016/03/30	11.85	12.17	11.85	12.11	4221764	50865356.00
2016/03/31	12.15	12.35	12.08	12.31	3874268	47484016.00
2016/04/01	12.26	12.38	11.95	12.15	2894127	35176244.00
2016/04/05	12.20	12.41	12.06	12.34	3067182	37681984.00
