601702 华峰铝业 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2020/09/07	4.43	5.31	4.43	5.31	1419137	7513969.00
2020/09/08	5.84	5.84	5.84	5.84	401143	2342675.00
2020/09/09	6.42	6.42	6.42	6.42	625153	4013482.00
2020/09/10	7.06	7.06	7.06	7.06	993369	7013185.00
2020/09/11	7.77	7.77	6.70	7.77	157447611	1159717248.00
2020/09/14	7.35	7.49	6.99	7.22	128476091	923153920.00
2020/09/15	7.10	7.28	6.90	7.13	79613588	564960192.00
2020/09/16	7.28	7.84	7.25	7.84	71911032	548340224.00
2020/09/17	8.18	8.40	7.65	7.80	144422186	1158499200.00
2020/09/18	7.59	7.69	7.25	7.54	80689589	597573184.00
2020/09/21	7.50	7.79	7.36	7.79	63907660	483153216.00
2020/09/22	7.54	8.09	7.51	7.84	83449258	652191616.00
2020/09/23	7.84	8.62	7.84	8.11	125500942	1045980544.00
2020/09/24	7.81	7.82	7.30	7.31	100843950	751684672.00
2020/09/25	7.26	7.30	6.75	7.06	57161661	400316224.00
2020/09/28	6.95	6.98	6.52	6.58	42233893	283643936.00
2020/09/29	6.61	6.74	6.54	6.56	27084947	179255872.00
2020/09/30	6.59	6.61	6.30	6.34	30719983	196734704.00
2020/10/09	6.48	6.75	6.41	6.65	33711755	221840528.00
2020/10/12	6.88	6.99	6.68	6.86	44574055	305435968.00
2020/10/13	6.84	7.09	6.69	6.96	51062409	351049056.00
2020/10/14	6.83	7.02	6.74	6.82	35650767	244442928.00
2020/10/15	6.87	6.94	6.49	6.54	32934017	220715296.00
2020/10/16	6.52	6.59	6.42	6.46	25324085	164184240.00
2020/10/19	6.47	6.52	6.35	6.37	17796783	114271488.00
2020/10/20	6.37	6.60	6.31	6.59	24933407	161389776.00
2020/10/21	6.54	6.58	6.39	6.44	18627399	120175840.00
2020/10/22	6.48	6.69	6.42	6.61	27107128	177566464.00
2020/10/23	6.55	6.77	6.54	6.62	27153133	180558832.00
2020/10/26	6.54	6.54	6.38	6.44	17662788	113744400.00
2020/10/27	6.40	6.48	6.19	6.22	21100816	132937840.00
2020/10/28	6.22	6.39	6.12	6.28	16382055	102140816.00
2020/10/29	6.15	6.25	6.11	6.16	15014311	92589712.00
2020/10/30	6.16	6.18	5.80	5.82	26559718	158717328.00
2020/11/02	5.81	5.88	5.72	5.82	14667330	85138064.00
2020/11/03	5.87	6.14	5.82	6.08	24492354	147632352.00
2020/11/04	6.12	6.19	5.97	6.06	19484713	118391936.00
2020/11/05	6.09	6.15	6.06	6.10	14459478	88187968.00
2020/11/06	6.14	6.35	6.05	6.27	30101592	186053504.00
2020/11/09	6.26	6.90	6.23	6.90	34068296	227205024.00
2020/11/10	7.59	7.59	7.59	7.59	19878895	150880816.00
2020/11/11	7.97	8.35	7.78	8.35	92559434	745537216.00
2020/11/12	8.55	9.19	7.70	8.01	157919702	1328812160.00
2020/11/13	7.59	8.81	7.41	8.81	111629626	916846144.00
2020/11/16	9.10	9.69	8.73	9.69	63983058	593282432.00
2020/11/17	10.15	10.66	9.69	10.00	175070013	1793230976.00
2020/11/18	9.86	10.89	9.64	10.31	146962825	1513904000.00
2020/11/19	9.90	10.17	9.28	9.28	124049161	1178320512.00
2020/11/20	8.98	9.59	8.80	9.37	99151136	911302336.00
2020/11/23	9.32	9.80	8.90	9.35	99436571	931755776.00
2020/11/24	8.97	9.32	8.82	9.10	73327705	661945600.00
2020/11/25	9.14	9.22	8.54	8.55	65894324	585012928.00
2020/11/26	8.50	9.25	8.34	9.11	85901779	759118272.00
2020/11/27	8.96	9.11	8.65	8.86	63350319	560582592.00
2020/11/30	8.88	9.60	8.76	9.24	100895034	931058304.00
2020/12/01	9.06	9.45	8.92	9.22	66671322	611233408.00
2020/12/02	9.35	9.68	9.01	9.09	72419798	670389568.00
2020/12/03	8.78	8.80	8.19	8.20	79674535	667718848.00
2020/12/04	8.00	8.32	7.88	8.26	39839156	323684096.00
2020/12/07	8.10	8.23	8.03	8.13	26204735	212530480.00
2020/12/08	8.11	8.25	7.96	8.15	32101579	260258832.00
2020/12/09	8.10	8.34	8.07	8.13	34859341	286753504.00
2020/12/10	8.00	8.19	7.99	8.13	26798534	216928576.00
2020/12/11	8.28	8.37	7.60	7.72	40441280	320026112.00
2020/12/14	7.59	7.77	7.26	7.76	29043667	218952352.00
2020/12/15	7.69	7.82	7.58	7.73	18827177	144620976.00
2020/12/16	7.69	7.88	7.51	7.62	25403473	195312288.00
2020/12/17	7.60	8.38	7.45	8.38	62440615	508558720.00
2020/12/18	8.71	8.78	8.30	8.36	83413922	713553152.00
2020/12/21	8.24	8.52	8.19	8.43	49312441	411198752.00
2020/12/22	8.26	8.27	7.81	7.83	47233840	379860992.00
2020/12/23	7.83	8.18	7.76	7.93	34862777	277713856.00
2020/12/24	7.90	7.97	7.60	7.80	29640805	230657664.00
2020/12/25	7.76	8.47	7.53	8.23	50851080	413117824.00
2020/12/28	8.26	8.52	8.15	8.43	63372864	531854784.00
2020/12/29	8.31	8.34	7.80	7.80	45592761	366185312.00
2020/12/30	7.89	8.37	7.80	8.29	46609426	381187808.00
2020/12/31	8.22	8.60	8.17	8.34	45427689	381804064.00
2021/01/04	8.36	8.67	8.35	8.46	48413458	411203040.00
2021/01/05	8.42	8.61	8.13	8.46	55160619	461608192.00
2021/01/06	8.49	8.63	8.00	8.09	42589800	350238816.00
2021/01/07	7.97	8.40	7.91	8.01	36490300	295973984.00
2021/01/08	7.93	7.95	7.25	7.53	36712254	276462272.00
2021/01/11	7.43	7.51	7.05	7.08	28208932	203822896.00
2021/01/12	7.09	7.27	7.08	7.14	15834900	113280936.00
2021/01/13	7.18	7.21	6.90	6.91	23033256	161552464.00
2021/01/14	6.89	6.89	6.50	6.62	21060300	139754064.00
2021/01/15	6.62	6.84	6.61	6.81	16352404	110248344.00
2021/01/18	6.83	7.03	6.83	6.94	14506819	100745688.00
2021/01/19	6.96	6.99	6.84	6.91	12198368	84227224.00
2021/01/20	6.93	7.17	6.85	7.13	21936547	154826816.00
2021/01/21	7.02	7.49	7.02	7.31	29130738	211825568.00
2021/01/22	7.14	7.27	7.01	7.03	19941754	141359920.00
2021/01/25	6.99	7.07	6.85	6.87	15695994	109188592.00
2021/01/26	6.95	7.00	6.76	6.80	12379260	85058728.00
2021/01/27	6.74	6.84	6.65	6.72	10046100	67372408.00
2021/01/28	6.60	6.83	6.59	6.66	10045400	67509056.00
2021/01/29	6.68	6.76	6.30	6.40	16219617	105453288.00
2021/02/01	6.41	6.68	6.36	6.62	13542400	88176160.00
2021/02/02	6.60	6.67	6.53	6.58	8081100	53229672.00
2021/02/03	6.59	6.94	6.51	6.73	18735500	126999152.00
2021/02/04	6.65	6.74	6.46	6.64	14257766	93819080.00
2021/02/05	6.68	7.30	6.68	7.30	23894381	170847520.00
2021/02/08	7.30	7.31	6.87	7.16	37138037	264392832.00
2021/02/09	7.12	7.50	7.06	7.32	34455985	250006432.00
2021/02/10	7.23	7.24	7.02	7.12	22602199	160699472.00
2021/02/18	7.41	7.51	7.24	7.37	26266153	193419600.00
2021/02/19	7.33	7.74	7.26	7.67	35810808	271219808.00
2021/02/22	7.82	8.44	7.78	8.44	38835472	316481440.00
2021/02/23	8.45	8.85	8.10	8.43	69851785	593341696.00
2021/02/24	8.15	8.27	7.73	7.84	43697941	347914880.00
2021/02/25	8.09	8.29	7.75	7.90	35973998	289179744.00
2021/02/26	7.50	7.84	7.38	7.50	27043415	205376800.00
2021/03/01	7.59	7.66	7.46	7.65	20119515	152099056.00
2021/03/02	7.60	7.60	7.31	7.39	20675295	153330688.00
2021/03/03	7.50	7.93	7.47	7.74	29710708	229183040.00
2021/03/04	7.62	8.08	7.58	7.76	37200718	292723456.00
2021/03/05	7.57	7.71	7.36	7.53	24735683	186507792.00
2021/03/08	7.62	7.83	7.36	7.38	21286359	161751264.00
2021/03/09	7.38	7.45	6.81	7.05	21063900	149575952.00
2021/03/10	7.19	7.25	6.88	7.03	12980300	90872744.00
2021/03/11	7.24	7.73	7.24	7.73	34113037	260852336.00
2021/03/12	7.92	8.16	7.70	7.89	62644914	495348384.00
2021/03/15	7.76	8.05	7.76	7.93	39459607	311588384.00
2021/03/16	7.90	8.27	7.80	8.02	34492235	276288032.00
2021/03/17	7.83	8.00	7.66	7.99	24125517	189460288.00
