601921 浙版传媒 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2021/07/23	12.34	14.80	12.34	14.80	2337995	34515980.00
2021/07/26	16.28	16.28	15.11	16.28	54660882	881526144.00
2021/07/27	16.10	16.10	14.65	14.65	68508744	1034789248.00
2021/07/28	13.19	13.49	13.19	13.19	15334338	202653600.00
2021/07/29	11.95	13.88	11.95	13.45	71791205	900575680.00
2021/07/30	12.54	12.90	12.11	12.12	42441437	529790848.00
2021/08/02	11.95	11.96	11.20	11.48	39627035	452419232.00
2021/08/03	11.36	11.95	11.28	11.58	31246702	360734208.00
2021/08/04	11.42	11.57	11.29	11.34	25253236	287372896.00
2021/08/05	11.30	11.32	10.85	10.86	29801506	329480480.00
2021/08/06	10.80	10.81	10.50	10.54	23704554	251017408.00
2021/08/09	10.52	10.73	10.35	10.63	14296536	151777216.00
2021/08/10	10.67	10.76	10.55	10.61	14807279	157499360.00
2021/08/11	10.59	10.65	10.46	10.54	16339497	172024928.00
2021/08/12	10.54	10.69	10.50	10.58	16275500	172290960.00
2021/08/13	10.57	10.59	10.42	10.43	14500932	152233216.00
2021/08/16	10.41	10.87	10.31	10.79	27932997	297943008.00
2021/08/17	10.71	10.87	10.63	10.79	19792064	212480176.00
2021/08/18	10.79	11.19	10.72	11.13	27380449	302049536.00
2021/08/19	11.16	11.18	10.75	10.75	20276909	222212720.00
2021/08/20	10.72	10.72	10.37	10.42	16347580	170763728.00
2021/08/23	10.35	10.50	10.33	10.42	10114106	105438088.00
2021/08/24	10.41	10.43	10.33	10.37	10376688	107525752.00
2021/08/25	10.36	10.55	10.33	10.45	10344742	108300744.00
2021/08/26	10.45	10.45	10.23	10.23	14523001	149804448.00
2021/08/27	10.19	10.19	10.02	10.04	11588358	116659496.00
2021/08/30	10.02	10.03	9.66	9.67	16003235	156548864.00
2021/08/31	9.61	9.80	9.51	9.70	9460601	91259512.00
2021/09/01	9.70	9.77	9.62	9.76	8226764	79849784.00
2021/09/02	9.79	9.95	9.73	9.84	8711102	85788232.00
2021/09/03	9.81	9.87	9.73	9.76	7542205	73841376.00
2021/09/06	9.76	9.83	9.73	9.82	6447480	63144412.00
2021/09/07	9.80	9.88	9.80	9.84	6267165	61657620.00
2021/09/08	9.83	10.49	9.80	10.28	21485058	218150608.00
