601995 中金公司 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2020/11/02	34.54	41.44	34.54	37.70	128229918	4932696576.00
2020/11/03	38.41	41.47	38.41	41.47	88929090	3591100416.00
2020/11/04	41.55	45.38	40.66	44.30	107506308	4640883200.00
2020/11/05	44.37	48.18	43.02	47.20	103743458	4663809536.00
2020/11/06	48.15	51.92	47.38	51.92	81665756	4084182272.00
2020/11/09	54.00	57.11	51.36	57.11	60169196	3253930496.00
2020/11/10	59.00	62.82	58.50	60.11	94085665	5699569152.00
2020/11/11	58.80	61.19	55.16	59.60	95439044	5587111424.00
2020/11/12	58.17	58.17	54.88	56.22	66992174	3764698624.00
2020/11/13	55.01	59.50	54.54	57.20	67153813	3858627584.00
2020/11/16	56.80	60.60	55.71	60.38	73701491	4300081664.00
2020/11/17	59.33	61.57	58.38	58.93	65070350	3876629760.00
2020/11/18	58.58	61.50	58.58	60.00	62028050	3733895424.00
2020/11/19	58.80	59.00	55.55	57.13	63103803	3612339712.00
2020/11/20	56.55	59.31	55.68	58.36	48822059	2801798912.00
2020/11/23	58.30	64.20	57.70	62.00	85773115	5285942784.00
2020/11/24	61.18	63.08	60.80	62.75	60919948	3779559168.00
2020/11/25	63.10	63.78	60.18	60.18	46383279	2852453120.00
2020/11/26	59.56	62.79	59.18	62.20	49269304	3014637568.00
2020/11/27	61.49	62.96	59.50	62.95	54134012	3333701376.00
2020/11/30	63.88	69.25	62.96	65.19	98332620	6562022912.00
2020/12/01	63.90	71.40	63.30	68.02	77050640	5106028032.00
2020/12/02	67.01	71.00	66.51	68.00	65180946	4448606208.00
2020/12/03	67.00	67.97	65.65	65.98	42472076	2828490496.00
2020/12/04	64.86	65.20	62.86	63.70	38765332	2480211200.00
2020/12/07	63.12	64.50	63.12	63.45	24212722	1544590464.00
2020/12/08	62.90	64.50	62.90	63.75	23395373	1492972160.00
2020/12/09	63.76	64.16	59.56	60.65	37908543	2358165760.00
2020/12/10	59.67	61.38	59.13	60.20	28469702	1720870016.00
2020/12/11	60.55	60.70	59.76	60.49	21504646	1294879232.00
2020/12/14	60.03	60.29	58.13	59.45	25727832	1522460928.00
2020/12/15	59.00	62.28	58.50	61.50	32106226	1935275136.00
2020/12/16	61.20	61.39	59.75	60.01	24620809	1490455296.00
