603056 德邦股份 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2018/01/16	6.97	6.97	6.97	6.97	44511	310242.00
2018/01/17	7.67	7.67	7.67	7.67	15427	118325.00
2018/01/18	8.44	8.44	8.44	8.44	8373	70668.00
2018/01/19	9.28	9.28	9.28	9.28	43200	400896.00
2018/01/22	10.21	10.21	10.21	10.21	50200	512542.00
2018/01/23	11.23	11.23	11.23	11.23	76808	862554.00
2018/01/24	12.35	12.35	12.35	12.35	114790	1417657.00
2018/01/25	13.59	13.59	13.59	13.59	80427	1093003.00
2018/01/26	14.95	14.95	14.95	14.95	619856	9266847.00
2018/01/29	16.45	16.45	16.45	16.45	744345	12244475.00
2018/01/30	18.10	18.10	18.10	18.10	363322	6576128.00
2018/01/31	19.91	19.91	19.91	19.91	405154	8066616.00
2018/02/01	21.90	21.90	21.90	21.90	8352201	182913200.00
2018/02/02	23.41	24.09	23.12	24.09	36878750	876055424.00
2018/02/05	24.00	26.38	23.01	24.42	66801516	1651757184.00
2018/02/06	22.58	23.18	21.98	21.98	32898593	734487552.00
2018/02/07	22.01	22.27	19.80	20.43	36841707	768832768.00
2018/02/08	19.92	21.50	19.80	21.10	26155471	539056512.00
2018/02/09	19.90	22.00	19.53	20.24	28151520	582611776.00
2018/02/12	21.35	21.98	20.50	21.04	24742442	521985312.00
2018/02/13	20.50	20.83	19.12	19.37	25599089	509838368.00
2018/02/14	19.13	19.55	18.70	18.88	13013949	248297856.00
2018/02/22	19.09	19.47	19.02	19.19	10006413	192576672.00
2018/02/23	19.04	19.58	19.00	19.56	10398579	199857312.00
2018/02/26	20.50	21.52	20.30	21.52	24440912	521304160.00
2018/02/27	22.22	23.49	22.13	22.81	40755960	923447232.00
2018/02/28	21.80	21.89	21.00	21.41	22328086	479055360.00
2018/03/01	20.89	23.55	20.89	23.55	28561100	640348992.00
2018/03/02	23.67	23.86	22.22	22.33	26465155	605906688.00
2018/03/05	22.38	23.10	21.60	22.61	18422577	414258368.00
2018/03/06	22.49	23.25	22.11	22.59	18963086	431676896.00
2018/03/07	22.69	24.00	22.66	22.82	19218547	446012224.00
2018/03/08	22.33	23.59	22.20	23.34	21196369	489824832.00
2018/03/09	23.15	25.20	22.89	24.33	30087233	721186240.00
2018/03/12	24.00	25.61	23.83	25.25	27829173	691125120.00
2018/03/13	25.08	25.80	24.40	25.31	24942458	623783808.00
2018/03/14	24.95	25.18	23.76	23.92	17694479	433744512.00
2018/03/15	23.10	23.30	22.22	22.70	18289391	414815456.00
2018/03/16	22.78	23.24	22.67	22.71	8711284	200006800.00
2018/03/19	22.87	23.15	22.35	23.04	8595087	196281936.00
2018/03/20	22.75	22.89	22.21	22.64	8699012	196414672.00
2018/03/21	22.78	23.76	22.74	23.17	15014824	350032128.00
2018/03/22	22.90	23.23	22.31	22.59	9822606	223091472.00
2018/03/23	21.36	21.58	20.33	20.36	16905293	353325888.00
2018/03/26	20.05	21.00	19.01	20.95	10790696	217421696.00
2018/03/27	21.45	21.92	21.00	21.40	9155068	196692464.00
2018/03/28	21.00	21.75	20.78	21.27	6898195	147782752.00
2018/03/29	21.90	22.08	21.34	21.47	6588652	142350592.00
2018/03/30	21.62	21.78	21.25	21.55	6267122	134627408.00
2018/04/02	21.65	22.70	21.36	22.51	13246941	291647072.00
2018/04/03	22.03	23.67	21.90	23.27	17230718	396805408.00
2018/04/04	23.00	23.90	22.54	22.79	11729308	272986112.00
2018/04/09	22.37	24.45	22.28	24.30	18617892	441926336.00
2018/04/10	24.13	24.45	23.27	23.97	13047650	309290176.00
2018/04/11	23.85	26.37	23.82	26.37	25527625	655638848.00
2018/04/12	27.51	29.01	26.98	29.01	23715558	674864448.00
2018/04/13	30.60	31.48	26.30	26.98	35873980	1025212416.00
2018/04/16	25.75	27.74	25.75	26.08	21339097	568603584.00
2018/04/17	26.00	27.94	25.70	26.96	19108272	515386336.00
2018/04/18	26.94	27.15	24.30	26.51	16231371	426302688.00
2018/04/19	26.21	28.65	26.00	27.96	14827409	408836160.00
2018/04/20	27.57	29.30	27.32	27.88	13065639	370706592.00
2018/04/23	27.59	29.10	26.55	27.26	10506846	293082880.00
2018/04/24	27.28	28.13	26.50	27.90	10003262	272887840.00
2018/04/25	27.70	29.00	27.30	28.59	11855067	334594656.00
2018/04/26	28.85	28.94	26.90	27.25	11329538	313070304.00
2018/04/27	27.48	27.68	26.26	27.24	6705436	181345296.00
2018/05/02	27.21	27.50	26.50	26.64	5237408	140923056.00
2018/05/03	26.50	27.12	26.25	26.86	4969253	132551744.00
2018/05/04	26.86	26.95	25.55	25.60	7442606	194015888.00
2018/05/07	25.65	26.49	25.65	26.13	5456609	142352688.00
2018/05/08	26.40	28.00	26.23	27.67	10503206	286867360.00
2018/05/09	28.02	28.06	26.85	27.43	6749378	184244720.00
2018/05/10	27.48	27.70	26.88	27.19	5132783	139135088.00
