603059 倍加洁 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2018/03/02	34.66	34.66	34.66	34.66	52543	1821140.00
2018/03/05	38.13	38.13	38.13	38.13	112800	4301064.00
2018/03/06	41.94	41.94	41.94	41.94	657424	27572364.00
2018/03/07	46.13	46.13	46.13	46.13	717548	33100488.00
2018/03/08	48.00	50.74	47.49	50.74	9586210	476689792.00
2018/03/09	53.00	55.00	52.01	52.30	13727041	734873216.00
2018/03/12	50.52	54.74	50.52	52.25	9232457	486775808.00
2018/03/13	51.03	51.79	48.50	49.73	7121172	355762720.00
2018/03/14	49.25	52.58	49.25	51.59	7653312	389334272.00
2018/03/15	49.00	49.30	46.43	48.18	6463356	307602912.00
2018/03/16	48.48	49.30	47.71	48.25	4106402	199170272.00
2018/03/19	48.00	50.58	46.80	49.51	4591111	224062176.00
2018/03/20	48.30	49.16	47.00	48.49	4059596	194852672.00
2018/03/21	48.80	51.40	48.57	49.00	5596375	278236320.00
2018/03/22	49.25	53.90	48.01	53.90	8511591	438079680.00
2018/03/23	51.08	59.00	51.01	53.69	10852876	586354688.00
2018/03/26	51.08	56.87	48.32	55.38	8339847	436592736.00
2018/03/27	54.89	60.00	54.18	57.26	9627090	550071104.00
2018/03/28	54.47	56.48	52.11	52.50	6258069	340223456.00
2018/03/29	52.00	54.29	51.03	53.17	4123861	217681008.00
2018/03/30	53.10	53.79	52.05	52.71	4091776	216716896.00
2018/04/02	52.72	52.73	50.20	51.19	3983916	205337232.00
2018/04/03	49.15	51.78	49.15	51.59	3362989	170291296.00
2018/04/04	52.20	53.80	51.50	53.74	4287273	225848128.00
2018/04/09	52.92	55.70	52.41	55.29	4586194	249858992.00
2018/04/10	54.50	55.15	50.31	54.72	4640296	247562224.00
2018/04/11	54.11	56.95	53.75	54.94	4322992	239723088.00
2018/04/12	53.95	56.80	53.40	53.46	3820412	209124928.00
2018/04/13	53.10	57.59	52.52	55.42	4514456	246541104.00
2018/04/16	55.60	56.50	53.22	54.85	3444176	189771968.00
2018/04/17	55.11	55.30	49.48	50.23	3332272	175003440.00
2018/04/18	50.23	50.97	47.00	49.24	2335064	114133344.00
2018/04/19	49.50	49.80	47.30	47.70	2035315	99200920.00
2018/04/20	47.00	47.79	43.63	44.41	2537996	115886376.00
2018/04/23	44.80	45.57	44.28	45.23	1383081	62165636.00
2018/04/24	45.35	46.90	44.60	46.71	1744835	80494704.00
2018/04/25	46.00	47.18	46.00	46.46	1439343	66913700.00
2018/04/26	46.01	46.94	44.42	44.70	1447759	66432748.00
2018/04/27	44.83	45.30	42.04	43.00	1633873	70847112.00
2018/05/02	43.20	43.50	41.01	41.77	1279100	54107928.00
2018/05/03	42.00	43.30	41.41	43.16	1605576	68366616.00
2018/05/04	42.84	43.16	42.03	42.19	1111837	47242156.00
2018/05/07	42.20	43.64	42.20	43.46	1317470	56782648.00
