603065 宿迁联盛 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2023/03/21	15.42	18.50	15.42	18.50	2195507	40525180.00
2023/03/22	20.35	20.35	20.35	20.35	406793	8278238.00
2023/03/23	22.39	22.39	21.28	22.39	28953051	637045952.00
2023/03/24	21.00	21.32	20.15	20.29	19168129	392720576.00
2023/03/27	18.60	19.10	18.26	18.26	14340246	266025120.00
2023/03/28	17.90	18.20	17.52	17.65	9677204	171376160.00
2023/03/29	17.68	17.69	17.07	17.13	8110169	140329472.00
2023/03/30	17.11	17.12	16.60	16.76	6472069	108493552.00
2023/03/31	16.66	17.12	16.66	16.88	6172201	104707928.00
2023/04/03	16.72	17.10	16.71	17.03	4827592	81870048.00
2023/04/04	17.03	17.50	16.80	17.36	8311830	143733264.00
2023/04/06	17.20	17.35	16.81	16.85	6141471	104520024.00
2023/04/07	16.68	17.28	16.65	17.10	4735024	80514672.00
2023/04/10	17.00	17.05	16.41	16.43	5611229	93791560.00
2023/04/11	16.50	16.50	15.97	16.09	4280098	68985888.00
2023/04/12	16.14	16.29	16.04	16.25	2736580	44268224.00
2023/04/13	16.26	16.28	15.95	16.01	3371409	54118348.00
2023/04/14	15.94	16.12	15.91	16.01	2430452	38914808.00
2023/04/17	16.08	16.33	16.00	16.33	3232516	52385964.00
2023/04/18	16.24	16.29	16.02	16.08	2550628	41074936.00
2023/04/19	16.05	16.06	15.65	15.66	3589920	56512992.00
2023/04/20	15.45	15.53	15.16	15.20	3169341	48456672.00
2023/04/21	15.20	15.29	14.59	14.61	3552132	52732176.00
2023/04/24	14.66	14.80	14.41	14.65	2267988	33090940.00
2023/04/25	14.75	14.75	14.15	14.37	2807800	40498220.00
2023/04/26	14.37	14.49	14.23	14.45	1553838	22408904.00
2023/04/27	14.46	14.54	14.20	14.25	2152195	30897356.00
2023/04/28	14.31	14.85	14.30	14.72	3122979	45545548.00
2023/05/05	14.69	14.69	14.69	14.69	0	0.00
数据来源:通达信
