603135 中重科技 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2023/04/10	25.93	33.71	23.67	28.48	55605548	1572135168.00
2023/04/11	25.65	25.79	23.86	23.89	30530932	748791168.00
2023/04/12	23.50	23.50	22.01	22.49	21565130	486238816.00
2023/04/13	22.51	22.99	21.82	22.17	17740006	396187488.00
2023/04/14	21.90	22.00	20.75	20.79	18023964	383513376.00
2023/04/17	20.61	20.95	20.07	20.59	14586582	297760448.00
2023/04/18	20.33	20.53	20.06	20.07	10221551	206867632.00
2023/04/19	20.19	20.34	20.05	20.11	8302661	167458560.00
2023/04/20	20.11	20.15	19.15	19.20	12060834	234533696.00
2023/04/21	19.15	19.26	18.33	18.33	10086409	189471408.00
2023/04/24	18.50	18.67	18.27	18.39	5718727	105355920.00
2023/04/25	18.50	18.50	17.91	18.05	6131208	110988320.00
2023/04/26	18.10	18.75	18.07	18.51	7178499	132709280.00
2023/04/27	18.39	18.53	18.05	18.06	6169339	112548952.00
2023/04/28	18.05	18.38	18.02	18.36	4716058	86142096.00
2023/05/05	18.46	18.46	18.46	18.46	0	0.00
数据来源:通达信
