603162 海通发展 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2023/03/29	38.99	38.99	32.08	32.85	11624989	401557728.00
2023/03/30	30.50	34.14	30.50	31.90	9128646	289816032.00
2023/03/31	31.01	31.78	30.71	30.82	5995528	185899776.00
2023/04/03	30.83	31.10	30.30	30.60	4116955	126229128.00
2023/04/04	30.60	31.17	30.50	30.92	3956218	122021120.00
2023/04/06	30.88	30.88	30.15	30.27	3714059	112701280.00
2023/04/07	30.27	30.44	30.00	30.38	2337170	70791024.00
2023/04/10	30.63	30.64	30.03	30.08	2986134	90328648.00
2023/04/11	30.05	30.05	29.04	29.18	4014332	117928744.00
2023/04/12	29.00	29.33	28.98	29.09	2406708	70045152.00
2023/04/13	29.48	29.98	29.36	29.65	3215919	95385440.00
2023/04/14	29.47	29.47	29.05	29.25	1867709	54649744.00
2023/04/17	29.21	29.44	29.06	29.42	1375647	40315476.00
2023/04/18	29.10	29.18	29.00	29.05	1630038	47385248.00
2023/04/19	28.90	29.08	28.51	28.52	2031126	58297888.00
2023/04/20	28.82	28.88	28.50	28.53	1255700	35925840.00
2023/04/21	28.40	28.61	27.50	27.58	2291647	63956304.00
2023/04/24	27.58	27.68	26.81	26.92	1584978	42842208.00
2023/04/25	27.00	27.08	25.70	25.96	1701843	44813984.00
2023/04/26	25.96	26.34	25.70	26.20	1067279	27826770.00
2023/04/27	26.27	26.27	25.88	25.89	900255	23379128.00
2023/04/28	26.01	26.26	25.85	26.22	878171	22935292.00
2023/05/05	26.90	26.90	26.90	26.90	0	0.00
数据来源:通达信
