603280 南方路机 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2022/11/08	28.50	34.20	28.50	34.20	13657028	455704768.00
2022/11/09	33.99	33.99	30.83	31.09	12731312	411206112.00
2022/11/10	29.70	30.26	28.84	29.00	9391008	276170784.00
2022/11/11	29.33	31.30	28.50	30.23	9868785	292558752.00
2022/11/14	29.70	29.78	28.80	29.15	5856004	170895104.00
2022/11/15	28.99	29.44	28.68	29.28	4481424	130963792.00
2022/11/16	29.26	29.40	28.86	29.11	4441769	129115736.00
2022/11/17	29.01	29.07	28.65	28.95	3236645	93323688.00
2022/11/18	28.95	29.28	28.71	28.72	3332037	96410192.00
2022/11/21	28.45	28.49	27.50	27.69	3980132	110430672.00
2022/11/22	27.55	29.10	27.51	28.30	4526738	128831440.00
2022/11/23	28.03	29.20	27.37	29.08	6147663	174364752.00
2022/11/24	28.59	31.99	28.57	29.94	11876205	366207232.00
2022/11/25	29.86	30.60	28.92	29.55	7134795	212019904.00
2022/11/28	29.10	29.11	28.20	28.64	4346605	124417736.00
2022/11/29	28.88	30.60	28.39	29.26	7443443	219488432.00
2022/11/30	28.75	29.45	28.75	28.87	4516403	131018680.00
2022/12/01	29.26	30.40	28.86	29.42	6291453	185647664.00
2022/12/02	29.51	30.23	29.18	29.79	5192661	154421520.00
2022/12/05	29.85	31.70	29.59	29.79	9026725	274486368.00
2022/12/06	29.48	29.48	28.01	28.69	7055845	203216544.00
2022/12/07	28.31	28.42	28.02	28.20	3995283	112737136.00
2022/12/08	28.25	28.39	27.90	28.37	2652655	74876912.00
2022/12/09	28.32	28.48	28.01	28.04	2312822	65065380.00
2022/12/12	27.80	27.95	27.52	27.57	2449349	67689064.00
2022/12/13	27.57	27.80	27.04	27.06	2749712	75097192.00
2022/12/14	26.95	27.14	26.80	26.82	2104506	56575624.00
2022/12/15	26.76	27.07	26.55	27.07	2038027	54529712.00
2022/12/16	26.89	27.31	26.67	26.98	2051904	55425976.00
2022/12/19	27.08	27.10	25.68	25.68	2481314	64903088.00
2022/12/20	25.59	25.60	24.90	24.99	1843642	46291944.00
2022/12/21	24.88	25.24	24.12	24.20	1823629	44802744.00
2022/12/22	24.39	24.48	23.59	23.70	1635845	39197804.00
2022/12/23	23.61	23.84	23.42	23.69	1177857	27859012.00
2022/12/26	23.80	24.06	23.70	24.01	1116030	26720974.00
2022/12/27	24.02	24.53	23.94	24.37	1754165	42569104.00
2022/12/28	24.23	24.90	23.85	24.65	2267472	55374892.00
2022/12/29	24.35	24.69	23.88	23.90	1566205	37973652.00
2022/12/30	23.85	25.20	23.76	24.50	2395327	58363884.00
2023/01/03	24.25	25.05	24.24	25.04	2575897	63593188.00
2023/01/04	24.90	26.55	24.88	25.26	3368256	85911944.00
2023/01/05	25.11	25.24	24.50	24.80	2314282	57333792.00
2023/01/06	24.84	24.84	24.42	24.42	1487642	36615184.00
2023/01/09	24.40	24.63	24.40	24.51	1195193	29277726.00
2023/01/10	24.57	24.63	24.37	24.43	999419	24489664.00
2023/01/11	24.59	24.67	24.04	24.04	1208873	29428634.00
2023/01/12	23.95	24.18	23.80	24.01	946072	22721606.00
2023/01/13	23.99	24.32	23.99	24.17	883897	21341108.00
2023/01/16	24.02	24.39	24.02	24.28	907931	22035346.00
2023/01/17	24.20	24.45	24.20	24.26	876979	21324428.00
2023/01/18	24.26	24.40	24.20	24.22	705663	17114140.00
2023/01/19	24.28	24.33	24.21	24.27	850235	20641534.00
2023/01/20	24.28	24.65	24.28	24.65	1119244	27453524.00
2023/01/30	25.00	25.10	24.69	24.71	1447568	35932872.00
2023/01/31	24.71	24.95	24.62	24.95	1199113	29789514.00
2023/02/01	25.03	25.19	24.85	25.17	1569663	39301432.00
2023/02/02	25.22	25.23	24.96	25.04	1232595	30917260.00
2023/02/03	25.04	25.11	24.71	24.90	1185624	29493868.00
2023/02/06	24.90	25.09	24.86	24.92	814600	20333768.00
2023/02/07	24.86	25.10	24.86	25.08	1064352	26630624.00
2023/02/08	25.07	25.15	24.95	24.98	868000	21747180.00
2023/02/09	24.90	25.34	24.85	25.19	1358459	34106664.00
2023/02/10	25.20	25.36	25.09	25.24	1239554	31261500.00
2023/02/13	25.32	26.95	25.25	26.24	5933241	155189552.00
2023/02/14	26.11	26.15	25.58	25.81	3466621	89445144.00
2023/02/15	25.85	25.95	25.66	25.69	1688213	43496372.00
2023/02/16	25.64	25.88	24.80	25.00	2526754	64276872.00
2023/02/17	24.90	25.40	24.85	25.14	1422440	35788960.00
2023/02/20	25.22	26.30	25.14	25.92	3051410	78861072.00
2023/02/21	25.82	25.95	25.55	25.83	1974780	50780444.00
2023/02/22	25.70	25.99	25.62	25.87	1414893	36512944.00
2023/02/23	26.00	26.04	25.68	25.73	1231005	31763644.00
2023/02/24	25.86	26.18	25.52	26.08	1986655	51442076.00
2023/02/27	25.92	26.05	25.61	25.70	1449866	37399020.00
2023/02/28	25.66	25.80	25.39	25.60	1079070	27568176.00
2023/03/01	25.67	26.18	25.60	25.98	1869227	48513744.00
2023/03/02	25.96	26.94	25.81	26.34	3748584	98861000.00
2023/03/03	26.20	26.68	25.88	25.95	2438173	63781352.00
2023/03/06	25.99	25.99	25.49	25.55	1595521	40915576.00
2023/03/07	25.55	25.74	24.96	24.97	1746148	44113944.00
2023/03/08	25.00	25.22	24.95	25.12	912120	22888388.00
2023/03/09	25.03	25.28	24.89	25.16	857720	21542668.00
2023/03/10	25.11	25.11	24.61	24.62	1223180	30337284.00
2023/03/13	25.02	26.88	25.02	25.72	3417967	88635480.00
2023/03/14	25.66	26.38	25.61	25.94	4147370	107981808.00
2023/03/15	25.81	26.99	25.60	26.62	4749085	125502040.00
2023/03/16	26.63	27.87	26.03	26.19	6184991	166300256.00
2023/03/17	26.08	28.81	26.03	28.81	7532618	210937856.00
2023/03/20	31.00	31.20	28.97	29.20	14450077	432125728.00
2023/03/21	28.20	28.54	27.25	27.57	9513877	264379488.00
2023/03/22	27.77	28.33	26.94	27.28	7646709	209474224.00
2023/03/23	26.89	27.57	26.88	27.42	5975406	163040448.00
2023/03/24	27.18	27.39	26.41	26.51	5303659	141261728.00
2023/03/27	26.36	26.45	25.72	25.72	4016040	104315496.00
2023/03/28	25.99	26.00	25.68	25.70	2650710	68360544.00
2023/03/29	25.70	25.70	25.26	25.29	2448175	62242008.00
2023/03/30	25.13	25.48	25.13	25.40	1816026	46034896.00
2023/03/31	25.40	25.66	25.22	25.42	1573789	40001792.00
2023/04/03	25.44	25.47	25.20	25.32	1907037	48206144.00
2023/04/04	25.24	25.79	25.24	25.71	2780764	71170896.00
2023/04/06	25.65	25.67	25.27	25.33	2180326	55465520.00
2023/04/07	25.19	25.37	25.11	25.17	1501467	37863692.00
2023/04/10	25.20	25.58	25.19	25.30	1738273	44135056.00
2023/04/11	25.39	25.39	24.69	24.74	1852488	45900900.00
2023/04/12	24.74	24.82	24.41	24.50	1480810	36434252.00
2023/04/13	24.35	24.71	24.35	24.57	1058289	25994504.00
2023/04/14	24.55	25.47	24.54	25.18	2225791	56167672.00
2023/04/17	25.02	25.80	24.98	25.31	1875567	47517056.00
2023/04/18	25.21	25.39	24.68	24.75	1454689	36220480.00
2023/04/19	24.61	25.08	24.40	24.80	1472467	36368616.00
2023/04/20	24.62	24.80	24.42	24.42	1096773	26874668.00
2023/04/21	24.38	24.54	23.60	23.63	1791205	42864352.00
2023/04/24	23.72	23.72	23.25	23.33	896495	20965086.00
2023/04/25	23.35	23.49	22.40	22.62	1167684	26663656.00
2023/04/26	22.70	22.95	22.58	22.78	644926	14698382.00
2023/04/27	22.77	23.12	22.77	23.04	663196	15249338.00
2023/04/28	23.00	23.66	23.00	23.50	1027199	23980328.00
2023/05/05	23.38	23.38	23.38	23.38	0	0.00
数据来源:通达信
