603324 盛剑环境 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2021/04/07	23.84	28.61	23.84	28.61	215648	6163965.50
2021/04/08	31.47	31.47	31.47	31.47	68770	2164192.00
2021/04/09	34.62	34.62	34.62	34.62	89165	3086892.25
2021/04/12	38.08	38.08	38.08	38.08	252140	9601491.00
2021/04/13	41.89	41.89	41.89	41.89	194971	8167335.00
2021/04/14	46.08	46.08	46.08	46.08	2641882	121737920.00
2021/04/15	47.00	50.69	46.10	50.69	16794428	817978432.00
2021/04/16	47.00	48.18	45.62	45.62	4401970	204303792.00
2021/04/19	41.06	49.50	41.06	43.68	15830940	683956864.00
2021/04/20	41.54	45.58	41.01	42.89	11404071	490000928.00
2021/04/21	41.93	44.08	41.08	42.21	9198243	391727072.00
2021/04/22	41.50	46.43	41.50	46.43	8999883	401783328.00
2021/04/23	49.00	51.07	44.23	44.70	18494324	899158336.00
2021/04/26	40.23	41.89	40.23	40.23	11561302	467737536.00
2021/04/27	39.50	40.00	36.21	36.36	9240718	342713984.00
2021/04/28	36.30	37.10	35.59	36.47	4459188	163017024.00
2021/04/29	35.98	36.96	34.56	34.77	5815140	206925984.00
2021/04/30	34.94	35.19	32.75	32.75	5313944	177636016.00
2021/05/06	32.50	33.24	32.18	32.75	3400711	111250104.00
2021/05/07	32.59	35.48	32.45	34.47	6064374	205947136.00
2021/05/10	33.81	33.99	32.30	33.19	3843335	127632736.00
2021/05/11	32.73	34.48	32.70	33.42	3610120	121569224.00
2021/05/12	33.09	34.04	32.75	33.29	3153692	104975608.00
2021/05/13	33.38	33.51	32.73	33.21	2976456	98235808.00
2021/05/14	33.50	34.46	33.33	33.58	4552905	154749488.00
2021/05/17	33.59	33.90	31.66	31.73	4871246	156810272.00
2021/05/18	31.56	31.97	31.12	31.85	2804788	88752416.00
2021/05/19	32.10	32.68	31.90	32.10	2823892	91168424.00
2021/05/20	31.71	32.70	31.39	31.84	2997838	96263208.00
2021/05/21	31.58	32.28	31.30	31.59	2670816	84764648.00
2021/05/24	32.00	32.00	31.35	31.50	1752494	55467896.00
2021/05/25	31.50	31.93	31.27	31.51	1892782	59631600.00
2021/05/26	31.44	31.89	31.25	31.69	2079371	65663912.00
2021/05/27	31.88	34.55	31.80	33.07	5785099	192461168.00
2021/05/28	32.83	33.25	32.15	32.39	3474608	112887248.00
2021/05/31	32.29	33.80	32.19	33.54	3752561	123907136.00
2021/06/01	33.48	34.00	33.15	33.63	3166618	106290912.00
2021/06/02	33.42	36.99	33.21	35.70	7189161	253200256.00
2021/06/03	35.02	35.87	34.09	34.82	4389382	153037712.00
2021/06/04	34.73	34.77	33.28	33.32	3397245	114575704.00
2021/06/07	34.00	36.11	33.56	34.36	3942385	137635824.00
2021/06/08	34.12	34.95	33.02	33.39	3230503	108603672.00
2021/06/09	33.14	33.83	32.68	32.71	2309460	76519344.00
2021/06/10	32.50	33.17	32.20	32.93	1950898	63646044.00
2021/06/11	32.79	32.98	32.02	32.02	2069194	66918148.00
2021/06/15	32.26	32.26	30.55	30.55	2245924	69960304.00
2021/06/16	30.38	31.27	30.20	30.62	1392431	42708704.00
2021/06/17	30.50	32.15	30.01	31.24	2375394	73723176.00
2021/06/18	31.20	31.25	30.65	30.81	1672693	51626816.00
2021/06/21	30.82	33.10	30.79	32.88	4417848	142598880.00
2021/06/22	32.89	34.70	32.68	33.10	3745275	124751192.00
2021/06/23	34.98	36.00	33.33	33.54	4931068	168980416.00
2021/06/24	33.06	33.88	32.21	32.22	3557676	117252704.00
2021/06/25	32.26	32.71	31.60	31.95	2390382	76428424.00
2021/06/28	31.72	33.59	31.71	33.43	3427656	112845408.00
2021/06/29	33.00	35.77	33.00	34.30	6000381	207503024.00
2021/06/30	35.59	37.57	34.00	36.38	7252996	257684320.00
2021/07/01	36.35	36.56	35.04	35.22	4546744	162414848.00
2021/07/02	35.03	35.90	34.31	35.39	2652503	92945376.00
2021/07/05	36.00	38.93	36.00	38.93	2646136	101524256.00
2021/07/06	42.60	42.82	40.60	42.82	3693993	156754784.00
2021/07/07	47.10	47.10	47.10	47.10	509335	23989678.00
2021/07/08	51.60	51.81	49.01	51.81	10175172	523421248.00
2021/07/09	48.08	56.99	46.80	55.60	17612836	958582400.00
2021/07/12	56.90	56.90	50.04	52.64	13956442	729246336.00
2021/07/13	53.00	55.39	51.82	52.86	9145498	487722816.00
2021/07/14	54.00	55.30	52.50	53.29	6188945	334432032.00
2021/07/15	51.83	52.67	48.30	48.50	6149545	307706400.00
2021/07/16	48.99	51.31	48.85	49.45	4763029	237209840.00
2021/07/19	49.42	54.40	49.15	54.40	4458810	238810896.00
2021/07/20	54.81	56.87	52.25	55.53	7503469	413570560.00
2021/07/21	56.08	57.69	54.64	57.20	5559813	313799680.00
2021/07/22	60.64	60.64	52.90	53.51	5563888	306952864.00
2021/07/23	54.17	54.57	50.43	51.47	3640137	188446000.00
2021/07/26	50.51	52.50	49.39	51.67	3363941	171211664.00
2021/07/27	52.00	56.57	50.80	53.99	5228166	280991808.00
2021/07/28	54.93	58.77	51.50	58.02	6141675	347390432.00
2021/07/29	58.25	63.33	56.42	63.02	5634046	339710208.00
2021/07/30	61.13	69.32	61.08	69.32	4989710	328004320.00
2021/08/02	69.33	75.98	66.96	74.40	5314604	379175872.00
2021/08/03	72.91	73.00	68.19	69.01	2406418	169053920.00
2021/08/04	71.20	74.38	68.00	72.79	3111743	224611984.00
2021/08/05	74.20	78.05	71.90	77.37	3401873	256950960.00
2021/08/06	76.24	80.08	75.00	76.50	2579192	199249440.00
2021/08/09	77.50	83.50	76.55	82.80	2819780	227978864.00
2021/08/10	83.95	84.00	76.20	79.96	1735945	138527760.00
2021/08/11	78.05	80.99	75.05	80.08	1726492	135194240.00
2021/08/12	79.16	80.74	77.01	77.63	1614925	126912808.00
2021/08/13	77.29	79.45	72.00	72.75	2192621	164474416.00
2021/08/16	71.19	79.50	71.19	78.15	3024880	233897632.00
2021/08/17	78.16	78.79	74.49	74.97	1906301	145451920.00
2021/08/18	74.83	75.79	72.30	75.35	1063525	79080504.00
2021/08/19	76.92	81.98	71.10	80.37	1936294	148109856.00
2021/08/20	79.93	80.01	72.33	73.98	2153834	161090320.00
2021/08/23	73.99	73.99	67.60	72.00	1792829	125594912.00
2021/08/24	70.45	71.88	68.50	70.20	1099932	77125904.00
2021/08/25	67.15	71.49	63.88	69.49	2471032	167707024.00
