603345 安井食品 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/02/22	16.01	16.01	16.01	16.01	27700	443477.00
2017/02/23	17.61	17.61	17.61	17.61	3200	56352.00
2017/02/24	19.37	19.37	19.37	19.37	5383	104269.00
2017/02/27	21.31	21.31	21.31	21.31	19700	419807.00
2017/02/28	23.44	23.44	23.44	23.44	37110	869858.00
2017/03/01	25.78	25.78	25.78	25.78	61800	1593204.00
2017/03/02	28.36	28.36	28.36	28.36	38266	1085224.00
2017/03/03	31.20	31.20	31.20	31.20	167546	5227435.00
2017/03/06	34.32	34.32	34.32	34.32	191687	6578698.00
2017/03/07	37.75	37.75	37.75	37.75	124895	4714786.00
2017/03/08	41.53	41.53	41.53	41.53	255110	10594718.00
2017/03/09	45.68	45.68	43.70	45.68	34310044	1543236736.00
2017/03/10	43.00	44.50	42.50	42.98	20948086	913368064.00
2017/03/13	42.98	44.84	42.36	44.22	19263928	845513344.00
2017/03/14	43.50	44.33	43.00	43.67	13779226	599693888.00
2017/03/15	43.18	43.20	41.80	42.21	14103390	596395136.00
2017/03/16	42.35	45.48	42.12	44.90	20005075	873380480.00
2017/03/17	44.33	45.75	42.88	43.06	17839265	788188992.00
2017/03/20	42.59	44.15	42.23	43.90	10514330	455029024.00
2017/03/21	43.88	44.82	43.11	44.57	13422334	592078784.00
2017/05/19	40.11	40.11	40.11	40.11	81600	3272976.00
2017/05/22	36.10	36.10	36.10	36.10	77000	2779700.00
2017/05/23	32.49	32.49	32.49	32.49	149400	4854006.00
2017/05/24	29.24	30.79	29.24	29.66	17805308	528148832.00
2017/05/25	29.00	29.75	27.28	28.06	13071702	370640896.00
2017/05/26	28.07	29.10	27.82	28.49	9730415	276382432.00
2017/05/31	29.35	30.70	27.99	28.14	10214727	299013280.00
2017/06/01	27.31	27.69	25.33	25.33	10225090	270577120.00
2017/06/02	25.49	26.78	25.47	26.40	7916568	207405280.00
2017/06/05	26.62	26.86	26.10	26.43	6326692	168061184.00
2017/06/06	26.11	26.39	25.69	26.38	4648468	121173688.00
2017/06/07	26.25	27.52	26.22	27.28	7921501	214880752.00
2017/06/08	27.06	28.50	26.93	27.81	8906932	246509824.00
2017/06/09	27.18	27.48	26.61	27.03	4801538	129378928.00
2017/06/12	26.49	26.57	25.44	25.47	5325787	138068800.00
2017/06/13	25.50	26.48	25.50	26.24	4172704	109007848.00
2017/06/14	26.23	26.29	25.66	25.92	3812529	98999128.00
2017/06/15	25.96	27.66	25.95	27.06	7521569	202558480.00
2017/06/16	27.02	27.75	26.76	26.89	5288438	143394048.00
2017/06/19	26.73	27.24	26.62	26.98	3010185	81058416.00
2017/06/20	27.19	27.37	26.85	27.06	4133863	112069680.00
2017/06/21	27.08	27.16	26.20	26.68	4376496	116672312.00
2017/06/22	26.69	26.96	25.62	25.78	4433232	116991904.00
2017/06/23	25.59	26.08	25.07	25.74	4007062	102429960.00
2017/06/26	25.70	25.98	25.41	25.96	2519892	64929520.00
2017/06/27	25.98	26.13	25.70	25.86	2439472	63199240.00
2017/06/28	25.50	25.78	25.18	25.26	2547014	64719712.00
2017/06/29	25.22	25.65	25.22	25.37	1794247	45630632.00
2017/06/30	25.17	25.82	25.15	25.60	2629769	67254160.00
2017/07/03	25.60	25.98	25.51	25.97	2215985	57170368.00
2017/07/04	25.94	26.15	25.72	25.81	1911952	49452004.00
2017/07/05	25.85	26.57	25.80	26.55	4843353	127342648.00
2017/07/06	26.51	26.82	26.10	26.52	4548853	120379040.00
2017/07/07	26.49	27.99	26.21	27.60	8732487	239491232.00
2017/07/10	27.33	27.92	26.81	27.07	6881825	187973888.00
2017/07/11	27.10	27.21	25.70	26.08	4682752	123978128.00
2017/07/12	25.91	26.25	25.25	26.21	3926603	100852584.00
2017/07/13	25.90	26.05	25.68	25.72	2221297	57347420.00
2017/07/14	25.71	26.00	25.50	25.62	2103969	54176188.00
2017/07/17	25.30	25.30	23.06	23.06	6174543	145513376.00
2017/07/18	22.58	23.00	22.00	22.85	3542789	80150312.00
2017/07/19	22.69	23.06	22.30	22.90	2732962	62036460.00
2017/07/20	22.76	23.32	22.70	22.71	2695105	61947584.00
2017/07/21	22.53	23.00	22.53	22.73	1870110	42555944.00
2017/07/24	22.62	23.15	22.40	22.98	2203297	50263440.00
2017/07/25	22.99	23.10	22.65	22.76	1680211	38364308.00
2017/07/26	22.76	22.87	22.30	22.46	1720321	38733204.00
2017/07/27	22.45	23.20	22.33	23.17	3391864	77629136.00
2017/07/28	23.10	23.14	22.74	22.78	1922917	44069688.00
2017/07/31	22.70	23.17	22.68	23.11	1994578	45921096.00
2017/08/01	23.15	23.19	22.73	22.99	1658504	38059632.00
2017/08/02	22.99	23.05	22.51	22.53	1808814	41114792.00
2017/08/03	22.50	23.10	22.45	22.69	1770811	40344516.00
2017/08/04	22.65	22.84	22.51	22.52	1417409	32146100.00
2017/08/07	22.51	22.87	22.50	22.70	1129308	25638658.00
2017/08/08	22.70	22.72	22.37	22.57	1667891	37604420.00
2017/08/09	22.48	23.25	22.48	23.23	3158563	72400760.00
2017/08/10	23.10	23.21	22.54	23.01	2863753	65614488.00
2017/08/11	22.70	23.30	22.70	22.82	3226093	74263224.00
2017/08/14	22.70	23.40	22.70	23.19	2568519	59532048.00
2017/08/15	23.17	24.77	23.11	24.00	5309288	127950248.00
2017/08/16	24.10	24.38	23.80	24.20	3673391	88647816.00
2017/08/17	24.09	24.24	23.81	24.08	2653298	63639852.00
2017/08/18	23.85	24.02	23.70	23.80	1893091	45088236.00
2017/08/21	23.74	24.21	23.73	24.04	1789383	42956720.00
2017/08/22	24.04	24.46	23.78	23.84	2261383	54441704.00
2017/08/23	23.85	24.22	23.70	23.98	2330241	55828092.00
2017/08/24	23.86	24.35	23.70	23.73	3127038	74947752.00
2017/08/25	23.75	24.24	23.63	24.06	3279725	78668512.00
2017/08/28	24.10	25.50	24.06	25.15	6289374	156135008.00
2017/08/29	25.00	26.81	24.90	25.89	9936296	257319872.00
2017/08/30	25.93	26.32	25.91	26.01	6773761	176620800.00
2017/08/31	25.90	26.75	25.80	26.35	5561673	146135584.00
2017/09/01	26.30	26.34	25.72	26.07	4342360	112796288.00
2017/09/04	26.07	26.07	25.40	25.48	3653627	93643216.00
2017/09/05	25.39	25.88	25.31	25.71	2347845	60274232.00
2017/09/06	25.60	25.60	25.11	25.26	3262323	82441088.00
2017/09/07	25.38	25.66	25.05	25.26	2707712	68716376.00
2017/09/08	25.22	25.37	24.88	25.07	2081064	52286912.00
2017/09/11	25.06	25.58	25.00	25.57	3078909	78127184.00
2017/09/12	25.47	25.73	25.10	25.23	3042083	77160320.00
2017/09/13	25.22	25.49	24.95	25.39	2537199	63950352.00
2017/09/14	25.39	25.47	25.14	25.23	2026781	51315984.00
2017/09/15	25.10	25.34	24.83	24.87	2024937	50669008.00
2017/09/18	24.70	24.90	24.60	24.86	1539951	38105016.00
