603377 东方时尚 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2016/02/05	19.68	23.62	19.68	23.62	131738	3103771.50
2016/02/15	25.98	25.98	25.98	25.98	84637	2198869.25
2016/02/16	28.58	28.58	28.58	28.58	28317	809299.88
2016/02/17	31.44	31.44	31.44	31.44	60638	1906458.75
2016/02/18	34.58	34.58	34.58	34.58	237905	8226755.00
2016/02/19	38.04	38.04	38.04	38.04	683330	25993874.00
2016/02/22	41.84	41.84	41.84	41.84	388890	16271158.00
2016/02/23	46.02	46.02	46.02	46.02	774113	35624680.00
2016/02/24	50.62	50.62	47.57	50.62	30745291	1523747072.00
2016/02/25	52.50	55.68	50.80	55.68	31687806	1705220608.00
2016/02/26	52.33	53.20	50.11	50.11	16573873	840518784.00
2016/02/29	45.10	45.10	45.10	45.10	1350800	60921080.00
2016/03/01	40.59	44.66	40.59	42.21	22084918	916116480.00
2016/03/02	42.50	45.98	40.33	44.28	18471528	800347648.00
2016/03/03	43.40	45.50	41.00	41.31	18224315	788756288.00
2016/03/04	39.09	40.00	37.23	37.58	13948818	540583616.00
2016/03/07	39.08	40.50	38.37	38.84	9511167	373701376.00
2016/03/08	37.50	38.48	36.06	38.28	9037531	337734976.00
2016/03/09	37.32	39.42	36.20	38.19	9770367	374523104.00
2016/03/10	38.19	39.50	37.51	38.10	8850683	342670912.00
2016/03/11	37.50	38.31	36.37	37.41	6537975	244228096.00
2016/03/14	37.93	41.15	37.93	41.15	6867565	274323648.00
2016/03/15	41.00	41.69	39.10	39.40	10301727	415245920.00
2016/03/16	40.07	41.09	38.50	38.59	7571441	300537664.00
2016/03/17	38.51	41.13	37.92	39.94	10393579	410171136.00
2016/03/18	39.82	43.62	39.80	42.19	12885007	538940928.00
2016/03/21	43.50	45.60	42.80	43.22	11998015	526361152.00
2016/03/22	42.40	42.69	41.50	41.61	8803633	370048576.00
2016/03/23	41.64	42.58	41.05	42.10	7668694	321467808.00
2016/03/24	41.21	41.92	40.50	40.90	8013734	328932448.00
2016/03/25	40.60	41.27	38.34	39.35	7553764	299670784.00
2016/03/28	39.48	40.40	38.45	38.86	5230245	206886736.00
2016/03/29	39.18	39.35	37.22	37.80	4688906	178165440.00
2016/03/30	38.08	39.48	38.08	39.45	6018739	233272064.00
2016/03/31	39.46	40.46	39.15	40.00	7211284	286569408.00
2016/04/01	39.52	39.70	38.30	38.93	4910200	191646896.00
2016/04/05	38.78	39.93	38.05	39.75	6150293	239848240.00
2016/04/06	39.50	39.50	38.70	38.99	4543553	177795392.00
2016/04/07	39.01	39.57	38.38	38.43	4739202	185156416.00
2016/04/08	37.89	37.99	37.10	37.92	4202688	157735968.00
2016/04/11	38.19	39.31	38.19	39.24	4748187	184727856.00
2016/04/12	39.44	41.22	39.18	40.22	9128359	368132576.00
2016/04/13	40.30	40.78	39.38	40.63	7539036	302824192.00
2016/04/14	40.77	44.44	40.50	43.50	12851178	541971136.00
2016/04/15	42.75	42.98	41.47	41.90	9454027	398868832.00
2016/04/18	41.10	41.40	39.57	39.84	5342865	215032848.00
2016/04/19	40.50	40.95	39.60	40.26	4337629	174377952.00
2016/04/20	40.30	40.61	36.80	37.35	7505701	286314752.00
2016/04/21	37.31	37.70	36.16	36.29	5051713	187026336.00
2016/04/22	36.09	37.31	36.08	37.29	3372339	123515920.00
2016/04/25	37.00	38.87	36.58	38.47	5918774	223306016.00
2016/04/26	38.00	38.66	37.75	38.31	3138265	119713632.00
2016/04/27	38.31	38.50	37.08	37.32	3082246	116402144.00
2016/04/28	37.34	37.61	36.01	36.91	3324819	121744392.00
2016/04/29	36.11	36.90	36.11	36.42	2508399	91287632.00
2016/05/03	36.88	37.50	36.31	37.49	3916872	144909600.00
2016/05/04	37.49	37.85	37.18	37.50	3354236	125527288.00
