603569 长久物流 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2016/08/10	18.52	22.22	18.52	22.22	15100	335152.00
2016/08/11	24.44	24.44	24.44	24.44	6300	153972.00
2016/08/12	26.88	26.88	26.88	26.88	13300	357504.00
2016/08/15	29.57	29.57	29.57	29.57	9985	295256.44
2016/08/16	32.53	32.53	32.53	32.53	23508	764715.25
2016/08/17	35.78	35.78	35.78	35.78	17300	618994.00
2016/08/18	39.36	39.36	39.36	39.36	26063	1025839.69
2016/08/19	43.30	43.30	43.30	43.30	81000	3507300.00
2016/08/22	47.63	47.63	47.63	47.63	171245	8156399.50
2016/08/23	52.39	52.39	52.39	52.39	128085	6710373.00
2016/08/24	57.63	57.63	57.63	57.63	122622	7066706.00
2016/08/25	63.39	63.39	60.00	63.39	21997494	1367695232.00
2016/08/26	61.00	62.50	57.66	58.33	14004408	845030464.00
2016/08/29	56.99	56.99	54.12	54.70	10262699	567209920.00
2016/08/30	54.74	55.74	53.36	53.82	7377657	402176768.00
2016/08/31	53.40	55.43	52.51	54.61	7738351	418295040.00
2016/09/01	54.11	55.80	53.20	53.84	7160284	390488480.00
2016/09/02	53.00	53.90	52.74	52.94	5309318	282364256.00
2016/09/05	52.98	53.43	51.52	51.56	5491230	287364352.00
2016/09/06	51.60	51.98	50.00	51.74	5219188	266354016.00
2016/09/07	51.55	51.70	50.10	50.14	4275919	217452656.00
2016/09/08	50.04	51.00	49.59	49.92	3553628	178564480.00
2016/09/09	50.01	50.16	47.80	47.83	5538044	270248544.00
2016/09/12	46.51	47.44	46.07	46.65	3786466	177351104.00
2016/09/13	47.38	47.72	46.40	47.39	3721912	175544720.00
2016/09/14	46.91	47.48	46.38	46.48	3079675	144440000.00
2016/09/19	46.60	47.19	46.60	46.99	2235600	104864784.00
2016/09/20	47.04	48.00	46.78	47.22	3394871	160984992.00
2016/09/21	47.25	49.46	46.80	48.57	6195734	300592544.00
2016/09/22	48.31	48.79	47.53	47.65	4438189	213144448.00
2016/09/23	47.58	47.99	45.48	45.51	4413121	205406096.00
2016/09/26	45.06	45.29	41.72	41.97	4733795	205661344.00
2016/09/27	41.61	43.30	41.61	42.99	2996523	126957576.00
2016/09/28	42.75	43.15	42.11	42.33	1810748	77225736.00
2016/09/29	42.22	42.88	42.05	42.40	1698055	72394840.00
2016/09/30	42.35	42.60	42.00	42.23	1704479	71993096.00
2016/10/10	42.50	44.01	42.35	43.87	2637715	114312312.00
2016/10/11	43.83	44.43	43.12	44.36	3286622	144285280.00
2016/10/12	43.94	44.86	43.75	44.08	2670816	118130064.00
2016/10/13	44.09	44.45	43.37	43.40	2234149	97778760.00
2016/10/14	43.05	43.20	42.65	42.98	1788916	76787640.00
2016/10/17	43.20	47.28	43.10	47.28	10512859	489065280.00
2016/10/18	47.90	51.00	47.29	49.91	15615999	770316544.00
2016/10/19	49.45	52.00	48.31	50.34	12893187	644511744.00
2016/10/20	49.55	49.69	48.60	48.90	7132721	350464128.00
2016/10/21	48.56	51.80	48.40	51.30	11286784	567439744.00
2016/10/24	51.37	52.47	50.26	51.31	9170031	471845536.00
2016/10/25	50.60	51.28	49.60	50.27	6304033	317127488.00
2016/10/26	49.80	51.37	49.70	49.99	4917235	248008960.00
2016/10/27	49.90	52.98	49.79	52.60	9122434	469087616.00
2016/10/28	52.40	52.40	50.50	50.76	7727039	396544480.00
2016/10/31	49.50	50.45	49.00	49.46	4057501	201539664.00
2016/11/01	49.73	51.32	49.73	51.24	5430237	274709888.00
2016/11/02	50.80	54.68	50.21	53.30	11373351	594527616.00
2016/11/03	52.80	58.63	52.52	58.63	16211073	907210112.00
2016/11/04	60.50	64.38	58.65	61.22	18931488	1166736000.00
2016/11/07	61.40	61.40	56.50	57.41	12822415	749021888.00
2016/11/08	57.80	60.25	56.01	59.60	11400953	663680576.00
2016/11/09	58.76	58.81	56.05	57.84	9550934	547577216.00
2016/11/10	57.82	61.45	57.02	60.42	13456518	801255616.00
2016/11/11	59.60	59.90	56.80	57.13	9718698	564336128.00
2016/11/14	56.15	56.18	53.70	53.96	7067859	385431104.00
2016/11/15	53.97	54.71	52.70	53.63	4505404	241347872.00
2016/11/16	53.75	54.19	52.88	53.00	3178444	169342176.00
2016/11/17	52.50	53.38	52.21	52.98	2851996	151289808.00
2016/11/18	53.40	54.27	52.73	53.00	3906223	209018704.00
2016/11/21	52.90	53.97	51.19	53.90	5515127	291514240.00
2016/11/22	53.80	55.35	53.40	55.05	6524442	355813856.00
2016/11/23	54.80	54.88	52.50	52.74	5004588	268400064.00
2016/11/24	52.70	53.20	50.65	50.78	3811594	197359888.00
2016/11/25	50.76	51.20	49.10	50.91	3030824	151724416.00
2016/11/28	51.10	51.16	49.28	49.47	2382913	119382400.00
2016/11/29	49.35	49.88	47.47	47.82	2694439	131247736.00
2016/11/30	47.80	48.47	47.61	48.05	1653119	79416488.00
2016/12/01	48.35	48.98	47.94	48.77	2258306	109589672.00
2016/12/02	48.80	48.99	47.42	47.45	2157952	103757312.00
2016/12/05	46.30	47.48	45.90	46.65	1461795	68519240.00
2016/12/06	46.92	48.98	46.92	48.69	3420282	165611744.00
2016/12/07	48.56	49.79	48.28	49.45	3536337	174553152.00
2016/12/08	49.00	49.30	48.10	48.19	2330493	113113304.00
2016/12/09	47.92	49.30	47.92	48.76	1893460	92113264.00
2016/12/12	49.01	49.14	43.88	43.88	3384992	155220624.00
2016/12/13	42.19	44.44	42.18	43.78	2272511	98942944.00
2016/12/14	43.78	44.13	42.50	42.56	1876861	81209472.00
2016/12/15	42.41	43.58	42.36	43.10	1729692	74559560.00
2016/12/16	42.83	43.75	42.78	43.72	1945394	84458560.00
2016/12/19	43.83	44.97	43.43	44.93	2052421	90251824.00
2016/12/20	44.50	45.88	44.20	44.74	2484452	112298928.00
2016/12/21	44.60	45.84	44.60	45.78	2210323	100309112.00
2016/12/22	45.98	46.26	45.20	46.09	2403950	109825136.00
2016/12/23	45.89	45.89	44.21	44.32	1959086	88207600.00
2016/12/26	44.10	45.20	43.00	45.04	1976161	87401064.00
2016/12/27	44.83	45.68	44.66	44.89	1296253	58486064.00
2016/12/28	44.91	45.26	43.61	43.74	1261916	55952624.00
2016/12/29	43.71	44.35	43.50	43.71	1060410	46554792.00
2016/12/30	43.75	44.32	43.55	43.80	878506	38507664.00
2017/01/03	44.10	44.49	43.85	44.29	1019630	45041776.00
2017/01/04	44.00	44.55	43.98	44.48	1304137	57760800.00
2017/01/05	44.40	45.10	44.10	44.15	1811091	80635448.00
2017/01/06	44.00	44.10	41.50	41.51	3437545	145410816.00
2017/01/09	40.68	41.33	40.58	40.76	1502318	61397176.00
2017/01/10	40.83	41.22	40.60	40.69	1067645	43643048.00
2017/01/11	40.69	40.70	38.70	38.76	2288437	89943656.00
2017/01/12	38.92	39.10	37.80	37.81	1293020	49810760.00
2017/01/13	37.80	38.18	35.39	35.65	2354228	85506968.00
2017/01/16	35.63	35.63	32.09	32.98	2504490	83907288.00
2017/01/17	32.55	34.40	32.20	34.09	2164829	72347952.00
2017/01/18	33.80	33.99	33.20	33.23	1077815	36163240.00
2017/01/19	33.03	34.26	32.70	33.68	1646205	55372112.00
2017/01/20	33.54	34.57	33.54	34.40	1533030	52542340.00
2017/01/23	34.54	34.98	34.31	34.52	1155393	40071360.00
2017/01/24	34.54	34.60	33.60	33.66	1040607	35297536.00
2017/01/25	33.57	34.25	33.43	34.06	831164	28244184.00
