603585 苏利股份 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2016/12/14	38.58	38.58	38.58	38.58	8330	321371.00
2016/12/15	42.44	42.44	42.44	42.44	6400	271616.00
2016/12/16	46.68	46.68	46.68	46.68	10141	473382.00
2016/12/19	51.35	51.35	51.35	51.35	9200	472420.00
2016/12/20	56.49	56.49	56.49	56.49	18822	1063255.00
2016/12/21	62.14	62.14	62.14	62.14	17760	1103606.00
2016/12/22	68.35	68.35	68.35	68.35	23550	1609643.00
2016/12/23	75.19	75.19	75.19	75.19	82371	6193475.00
2016/12/26	74.00	75.00	67.82	68.03	11805763	824899456.00
2016/12/27	69.00	71.30	68.30	69.92	9052409	633398144.00
2016/12/28	68.56	68.98	66.50	67.80	6229213	421761824.00
2016/12/29	67.30	69.77	67.06	68.18	4629014	318014176.00
2016/12/30	68.10	70.46	67.21	69.72	5032505	348441152.00
2017/01/03	69.81	70.89	69.26	70.69	5244977	367903360.00
2017/01/04	70.46	70.96	69.85	70.05	4450680	313172384.00
2017/01/05	69.82	69.86	66.85	66.92	4867774	332607808.00
2017/01/06	66.44	66.67	63.37	64.07	4130429	267980128.00
2017/01/09	63.60	65.11	63.02	64.59	2279612	146920960.00
2017/01/10	64.59	65.90	63.88	64.08	2004191	130193152.00
2017/01/11	64.05	64.10	62.30	62.38	2215079	139620160.00
2017/01/12	62.67	63.60	61.77	61.99	1723856	108003888.00
2017/01/13	62.04	62.10	59.62	59.81	2380815	144441968.00
2017/01/16	58.90	60.60	56.87	59.09	2987189	176451936.00
2017/01/17	58.70	62.60	57.76	61.68	3638976	219630848.00
2017/01/18	60.88	61.43	59.10	59.21	1938168	116979360.00
2017/01/19	58.00	60.55	57.01	58.44	1937193	113513696.00
2017/01/20	57.97	60.50	57.23	59.96	2235052	133509592.00
2017/01/23	59.95	62.15	59.82	61.38	2564698	157350208.00
2017/01/24	62.88	63.56	61.75	61.83	3400180	213137600.00
2017/01/25	61.26	65.95	60.88	64.82	3958396	252119136.00
2017/01/26	64.75	67.40	64.52	66.44	3119694	205476224.00
