603707 健友股份 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/07/19	10.38	10.38	10.38	10.38	31970	331849.00
2017/07/20	11.42	11.42	11.42	11.42	5100	58242.00
2017/07/21	12.56	12.56	12.56	12.56	8900	111784.00
2017/07/24	13.82	13.82	13.82	13.82	16800	232176.00
2017/07/25	15.20	15.20	15.20	15.20	121100	1840720.00
2017/07/26	16.72	16.72	16.72	16.72	195455	3268008.00
2017/07/27	18.39	18.39	18.39	18.39	263044	4837379.00
2017/07/28	19.48	19.98	18.91	18.96	34962340	673549952.00
2017/07/31	18.50	18.65	17.51	18.00	23663744	423699424.00
2017/08/01	17.70	17.85	17.05	17.21	17930171	310026656.00
2017/08/02	17.19	17.87	17.06	17.31	16081614	281394816.00
2017/08/03	17.08	17.50	16.61	17.06	11294559	192128256.00
2017/08/04	17.10	17.84	16.91	17.56	12459572	215581040.00
2017/08/07	17.44	18.60	17.33	17.70	14171363	255253200.00
2017/08/08	17.30	17.30	16.70	17.14	10483244	179013088.00
2017/08/09	17.13	17.13	16.51	16.69	7846257	131983400.00
2017/08/10	16.72	17.00	16.61	16.68	5354249	89897264.00
2017/08/11	16.50	16.64	16.20	16.28	4774157	78469224.00
2017/08/14	16.30	16.65	16.30	16.61	3689254	61085776.00
2017/08/15	16.78	16.94	16.56	16.90	4521675	76031920.00
2017/08/16	16.78	17.37	16.75	17.19	6175302	105700544.00
2017/08/17	17.01	17.85	17.00	17.75	10076806	177530592.00
2017/08/18	17.56	19.48	17.50	19.11	17648486	327601632.00
2017/08/21	18.99	21.02	18.68	21.02	19771901	396613152.00
2017/08/22	21.02	21.47	20.13	20.29	13009848	268517184.00
2017/08/23	20.25	21.15	19.91	20.48	9535685	195922624.00
2017/08/24	20.20	21.88	20.20	20.88	15607722	328082752.00
2017/08/25	20.83	22.58	20.42	22.30	13756083	297288096.00
2017/08/28	22.30	23.25	21.51	22.15	14970547	333758272.00
2017/08/29	22.00	22.98	21.61	21.81	13771112	306781472.00
2017/08/30	21.14	22.52	20.98	22.14	8571265	187238592.00
2017/08/31	22.45	23.06	22.20	22.59	12489297	283654784.00
2017/09/01	22.55	22.95	21.57	21.75	9423069	206616144.00
2017/09/04	21.60	21.97	21.05	21.79	4701142	101608096.00
2017/09/05	21.79	21.96	21.32	21.68	5400313	117023496.00
2017/09/06	21.48	21.86	21.36	21.55	5531638	119806080.00
2017/09/07	21.76	22.53	21.57	21.90	5077834	111938496.00
2017/09/08	21.70	22.09	21.50	21.82	3938322	85520176.00
2017/09/11	21.94	22.55	21.56	22.37	7838501	173601328.00
2017/09/12	22.17	22.37	21.68	22.05	5471216	120253368.00
2017/09/13	21.98	23.74	21.80	23.53	12737763	291920192.00
2017/09/14	23.80	25.88	23.53	25.46	21589878	541640128.00
2017/09/15	24.80	26.39	24.31	25.32	14231225	361372672.00
2017/09/18	24.72	26.18	24.40	25.21	8284976	210397616.00
2017/09/19	23.00	25.07	23.00	24.23	8631003	208544976.00
2017/09/20	24.01	24.80	24.01	24.37	4362517	106792912.00
2017/09/21	24.18	24.55	23.39	23.61	5189286	123242232.00
2017/09/22	23.59	23.99	22.93	23.15	4932823	115459272.00
2017/09/25	22.95	23.40	22.72	23.21	2928691	67741064.00
2017/09/26	23.20	23.46	22.96	23.31	3086807	71728680.00
2017/09/27	23.29	23.96	23.10	23.80	4132284	98235776.00
2017/09/28	23.63	24.47	23.63	23.99	3661891	88261936.00
2017/09/29	23.72	24.64	23.72	24.60	3645901	88945696.00
2017/10/09	25.16	25.50	24.05	24.73	4119130	101582608.00
2017/10/10	24.62	25.15	24.28	24.76	2772432	68321128.00
2017/10/11	24.66	25.15	24.58	24.74	3314061	82293144.00
2017/10/12	24.61	24.88	23.79	23.81	3669520	88142384.00
2017/10/13	23.94	24.40	23.44	24.04	1382977	33050324.00
2017/10/16	23.88	24.10	22.95	23.12	3178219	74680056.00
2017/10/17	23.03	23.30	22.82	23.03	1202002	27746036.00
2017/10/18	23.54	25.11	23.15	24.88	6755605	165037056.00
2017/10/19	24.71	24.75	23.90	24.24	4075835	98885664.00
2017/10/20	24.30	24.46	23.62	23.81	3292033	78719256.00
2017/10/23	23.65	24.30	23.60	23.98	1958068	46899112.00
2017/10/24	23.97	24.13	23.21	23.63	2679765	63340084.00
2017/10/25	23.61	24.46	23.60	24.38	3347732	80862736.00
2017/10/26	24.36	25.20	24.30	25.01	4644182	115818424.00
2017/10/27	24.95	25.17	23.88	24.60	5827917	141709696.00
2017/10/30	24.64	24.70	23.60	24.09	2415556	58081312.00
2017/10/31	24.10	24.93	23.85	24.71	2847036	69376336.00
2017/11/01	24.94	27.18	24.72	27.18	13029562	345624384.00
2017/11/02	27.18	27.94	26.66	27.12	11756187	319553344.00
2017/11/03	27.00	27.04	26.00	26.38	6671859	176003248.00
2017/11/06	26.44	26.99	26.13	26.67	6428379	170487264.00
2017/11/07	26.33	27.15	26.11	27.00	6162274	163825120.00
2017/11/08	26.90	27.35	26.50	26.53	7217427	194325152.00
2017/11/09	26.42	27.59	26.15	27.37	6687217	180446832.00
2017/11/10	27.39	28.33	26.70	26.80	8831378	243819568.00
2017/11/13	27.20	27.99	26.50	27.92	7304354	199817968.00
2017/11/14	27.92	28.14	27.06	27.41	6047146	167087152.00
2017/11/15	27.13	27.98	26.50	27.58	5333458	145459072.00
2017/11/16	27.55	27.74	26.90	27.18	2944143	80640224.00
