603867 新化股份 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2019/06/27	23.46	23.46	23.46	23.46	37382	876982.00
2019/06/28	25.81	25.81	25.81	25.81	32790	846310.00
2019/07/01	28.39	28.39	28.39	28.39	57812	1641283.00
2019/07/02	31.23	31.23	31.23	31.23	111483	3481614.00
2019/07/03	34.35	34.35	34.35	34.35	258696	8886208.00
2019/07/04	37.75	37.75	34.80	35.00	21174665	757023232.00
2019/07/05	34.50	36.38	33.50	35.72	16422614	567712640.00
2019/07/08	36.79	38.88	36.15	37.10	21483574	803236992.00
2019/07/09	35.80	37.07	34.56	37.07	14918142	531090752.00
2019/07/10	36.35	37.95	35.60	35.91	15011662	554280704.00
2019/07/11	35.70	39.50	35.31	37.08	17847946	667063616.00
2019/07/12	36.40	40.79	36.07	40.79	18664248	727343296.00
2019/07/15	38.00	41.49	37.00	39.73	20394117	791932928.00
2019/07/16	38.73	41.88	38.73	39.79	20523314	820653504.00
2019/07/17	38.66	38.76	36.00	36.00	17760467	660662784.00
2019/07/18	34.61	35.30	33.68	33.81	13345373	459827040.00
2019/07/19	33.50	34.06	32.51	32.62	10750008	357828224.00
2019/07/22	32.44	32.88	30.04	30.23	9629011	296872128.00
2019/07/23	30.28	30.78	29.93	30.68	6890229	210069072.00
2019/07/24	30.60	31.98	30.43	31.50	8924256	279757664.00
2019/07/25	31.35	31.50	30.42	30.58	7763819	239584752.00
2019/07/26	30.21	31.08	30.08	30.61	5450594	167216240.00
2019/07/29	30.67	30.75	29.92	30.18	5402892	163004640.00
2019/07/30	30.18	30.64	30.06	30.17	5207597	157968416.00
2019/07/31	29.58	29.59	28.85	28.98	6822802	198648896.00
2019/08/01	28.74	29.37	28.60	29.37	4619044	134466768.00
2019/08/02	28.80	30.15	28.58	29.94	7512545	221182784.00
2019/08/05	30.65	30.75	29.80	29.99	7058778	213567104.00
2019/08/06	28.95	31.44	28.51	31.05	10525275	319517120.00
2019/08/07	30.66	31.00	29.82	29.84	6459664	197098928.00
2019/08/08	29.70	29.87	28.88	29.03	5281557	154451424.00
2019/08/09	29.03	29.45	27.58	27.60	5969760	169728240.00
2019/08/12	27.49	27.99	27.22	27.98	3322330	91874656.00
2019/08/13	27.65	28.88	27.55	28.40	4791157	135788768.00
2019/08/14	28.67	28.98	27.95	27.96	4308605	122508120.00
2019/08/15	27.00	27.60	26.71	27.53	3608993	98163784.00
2019/08/16	27.41	27.82	27.30	27.33	3520883	97103824.00
2019/08/19	27.45	28.10	27.17	28.00	4208703	116536560.00
2019/08/20	27.85	28.79	27.80	28.50	5122136	144860128.00
2019/08/21	28.34	29.80	28.25	28.97	7444764	217497120.00
2019/08/22	28.67	28.95	28.00	28.29	4836762	136896336.00
2019/08/23	27.88	27.98	27.30	27.40	4185385	115499360.00
2019/08/26	26.79	27.58	26.61	27.31	2696575	72990240.00
2019/08/27	27.31	28.07	27.31	27.70	3384834	93858288.00
2019/08/28	27.58	28.33	27.55	28.00	3867663	108174016.00
2019/08/29	28.19	28.19	27.43	27.44	3313350	91768560.00
2019/08/30	27.55	28.67	27.33	28.52	7328697	206339184.00
2019/09/02	28.50	29.17	28.28	28.97	6521741	187285392.00
2019/09/03	28.68	29.00	28.41	28.83	5145956	147512960.00
2019/09/04	28.67	29.45	28.51	29.12	5330955	154836528.00
2019/09/05	29.15	29.38	28.71	28.85	6005432	174346208.00
2019/09/06	28.80	29.37	28.63	29.25	5778434	167728176.00
2019/09/09	29.31	30.00	29.18	29.81	6641415	197153664.00
2019/09/10	29.64	29.67	29.08	29.48	5063218	148699168.00
2019/09/11	29.42	30.20	29.31	29.56	5484744	163411584.00
2019/09/12	29.30	29.67	28.91	29.16	3888874	113214200.00
2019/09/16	29.31	29.44	28.93	29.32	3827406	111735624.00
2019/09/17	29.17	31.26	29.04	30.67	10860888	328066560.00
2019/09/18	30.13	31.96	30.07	31.65	10806692	338092928.00
2019/09/19	31.52	31.60	30.55	31.42	6303411	196178592.00
2019/09/20	31.24	32.35	30.80	30.91	5976110	187824736.00
2019/09/23	30.63	30.87	29.57	29.80	4602890	137754624.00
2019/09/24	29.69	30.08	29.66	29.85	3051239	91097264.00
2019/09/25	29.60	29.60	28.72	28.85	3593543	104452256.00
2019/09/26	28.86	29.20	27.90	28.18	3169813	90074640.00
2019/09/27	27.90	28.37	27.88	28.15	2007756	56511580.00
2019/09/30	28.20	28.69	27.61	28.25	2493301	70200096.00
2019/10/08	28.25	28.60	28.02	28.54	2323186	65909156.00
2019/10/09	28.24	28.58	28.06	28.47	1778878	50403784.00
2019/10/10	28.54	28.60	28.21	28.46	1990322	56603312.00
2019/10/11	28.41	28.45	27.68	27.72	2881692	80671608.00
2019/10/14	27.85	28.33	27.73	28.20	2403745	67400928.00
