603877 太平鸟 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/01/09	25.56	30.67	25.56	30.67	43043	1309776.00
2017/01/10	33.74	33.74	33.74	33.74	13385	451610.00
2017/01/11	37.11	37.11	37.11	37.11	89273	3312921.00
2017/01/12	40.82	40.82	37.19	38.17	25995878	1011433536.00
2017/01/13	36.10	41.99	34.80	39.58	29018729	1120879872.00
2017/01/16	37.51	41.62	37.12	40.86	27133596	1084988160.00
2017/01/17	40.00	44.80	38.83	41.62	26034260	1074176384.00
2017/01/18	40.51	40.98	37.46	37.46	20360684	798315776.00
2017/01/19	36.02	37.50	35.36	35.64	14702134	530783840.00
2017/01/20	35.30	36.56	35.06	35.73	10598082	381475520.00
2017/01/23	35.80	36.48	35.14	35.47	8775271	313293632.00
2017/01/24	35.39	35.44	33.71	33.81	10917334	373912416.00
2017/01/25	33.59	34.18	33.25	33.78	6655533	224921920.00
2017/01/26	33.82	34.08	33.33	33.47	5476242	184070016.00
2017/02/03	33.54	33.97	33.36	33.70	4580168	154297888.00
2017/02/06	33.90	35.50	33.84	35.28	10104519	351599104.00
2017/02/07	34.82	35.00	34.07	34.48	8190207	282528864.00
2017/02/08	34.38	35.28	34.16	34.94	7891384	274637728.00
2017/02/09	34.80	35.28	34.62	34.89	7001530	244785088.00
2017/02/10	34.82	34.93	33.86	33.89	7431986	254817328.00
2017/02/13	33.72	34.96	33.71	34.56	7287092	251560720.00
2017/02/14	34.58	35.67	34.41	35.38	10590473	372895456.00
2017/02/15	35.11	37.98	35.00	36.32	16881435	616391040.00
2017/02/16	35.91	37.65	35.23	37.07	12516278	454385120.00
2017/02/17	36.81	38.80	36.40	37.25	14471159	544323776.00
2017/02/20	37.00	37.06	35.13	36.03	8806676	316481664.00
2017/02/21	35.94	36.50	35.18	36.48	7436101	269032576.00
2017/02/22	36.55	36.56	35.60	35.93	6587525	237055904.00
2017/02/23	36.12	39.52	35.88	39.52	17000744	649451648.00
2017/02/24	41.49	42.71	39.00	39.04	24423193	996195840.00
2017/02/27	38.00	42.00	37.98	40.64	21069321	855218944.00
2017/02/28	39.50	40.55	39.10	40.21	13136042	522927648.00
2017/03/01	40.00	41.48	39.20	39.35	11503152	460952544.00
2017/03/02	38.90	41.85	38.87	41.18	17492863	712968832.00
2017/03/03	40.80	41.43	39.63	40.52	10563176	426679488.00
2017/03/06	40.25	41.19	39.69	41.08	9775117	396190368.00
2017/03/07	40.84	42.20	40.80	41.20	12530202	519626624.00
2017/03/08	40.93	41.17	40.38	40.84	7614131	309644320.00
2017/03/09	40.91	40.99	38.88	39.10	10258311	404676416.00
2017/03/10	38.81	39.75	38.80	39.40	5999947	236391440.00
2017/03/13	39.03	39.95	38.06	39.19	7038736	275959808.00
2017/03/14	39.21	43.11	39.21	43.11	10693314	448699136.00
2017/03/15	43.85	43.98	41.60	42.73	21428839	914606976.00
2017/03/16	42.67	43.96	42.24	43.15	18133531	782257408.00
2017/03/17	42.98	43.79	41.21	41.32	13283520	564470976.00
2017/03/20	40.91	42.40	40.50	42.21	8704924	362623136.00
2017/03/21	42.00	42.35	41.48	42.28	7539805	316414368.00
2017/03/22	41.84	43.20	41.57	42.83	10632209	453611520.00
2017/03/23	42.61	42.87	39.86	41.52	10346603	432513568.00
2017/03/24	41.23	42.20	41.02	41.68	6112661	255270288.00
2017/03/27	41.75	42.29	41.28	42.00	5524855	230942016.00
2017/03/28	41.80	41.95	39.93	39.98	7076702	288577536.00
2017/03/29	39.58	39.94	36.89	37.02	9052229	345190560.00
2017/03/30	36.50	37.69	35.53	36.70	7931453	289265632.00
2017/03/31	36.61	37.36	36.20	36.61	4641798	170490480.00
2017/04/05	36.30	37.30	36.18	37.19	4317210	159090640.00
2017/04/06	37.20	37.75	36.81	37.00	4476540	166847952.00
2017/04/07	36.89	37.23	36.00	36.04	4660292	169820400.00
2017/04/10	36.02	36.02	34.18	34.20	6107618	211973344.00
2017/04/11	34.14	35.10	34.00	35.03	4436946	153176080.00
2017/04/12	34.55	34.88	33.91	33.93	4027165	138156144.00
2017/04/13	33.90	34.51	33.88	34.08	2531647	86527496.00
2017/04/14	33.92	34.14	33.33	33.38	3067449	102949104.00
2017/04/17	32.68	32.68	30.71	31.98	3610368	115345600.00
2017/04/18	31.99	32.50	31.73	31.84	2239447	72052016.00
2017/04/19	31.93	32.66	31.58	32.58	3657075	117968528.00
2017/04/20	32.41	32.74	31.59	32.20	2951643	95058568.00
2017/04/21	32.00	32.39	31.67	31.81	2084804	66780876.00
2017/04/24	31.88	32.00	30.56	30.73	2464004	76290792.00
2017/04/25	30.92	31.40	30.72	30.83	2182924	67702528.00
2017/04/26	30.78	31.49	30.70	31.14	2651899	82678640.00
2017/04/27	31.00	32.04	30.18	32.00	4889119	153188176.00
2017/04/28	32.02	32.19	31.63	31.94	2701906	86301040.00
2017/05/02	31.94	32.28	31.78	31.90	2067846	66095884.00
2017/05/03	31.90	32.26	29.40	32.21	3131633	99838568.00
2017/05/04	32.00	32.20	31.40	31.45	2680053	85019200.00
2017/05/05	31.30	31.45	30.33	30.37	2264600	70041336.00
2017/05/08	30.39	30.39	28.92	28.99	2536726	75265136.00
2017/05/09	28.97	29.61	28.82	29.43	2132561	62465080.00
