603880 ST南卫 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/08/07	14.06	16.88	14.06	16.88	7400	124630.00
2017/08/08	18.57	18.57	18.57	18.57	7400	137418.00
2017/08/09	20.43	20.43	20.43	20.43	16664	340446.00
2017/08/10	22.47	22.47	22.47	22.47	58203	1307821.00
2017/08/11	24.72	24.72	23.50	24.72	11637415	281058752.00
2017/08/14	23.66	24.98	23.15	24.76	11382580	271408448.00
2017/08/15	25.00	26.88	24.50	26.66	13684107	349972000.00
2017/08/16	26.60	28.75	25.58	26.68	13692881	368728032.00
2017/08/17	25.79	27.52	24.73	26.04	11025037	288670368.00
2017/08/18	25.80	27.97	25.31	27.37	10014052	265491072.00
2017/08/21	26.94	29.98	26.80	29.52	11192758	317259168.00
2017/08/22	28.91	30.45	28.09	28.65	10563521	307250848.00
2017/08/23	28.38	30.48	27.60	29.78	10964972	318836320.00
2017/08/24	29.01	31.35	28.08	28.12	13378160	394348384.00
2017/08/25	27.48	30.30	27.18	29.47	10354073	299566752.00
2017/08/28	29.76	32.42	29.45	32.42	12062686	375129568.00
2017/08/29	32.80	35.55	31.00	31.90	14913561	493697952.00
2017/08/30	30.60	32.20	30.00	30.70	9030941	278299264.00
2017/08/31	30.64	32.74	30.64	32.65	8250811	261904208.00
2017/09/01	32.75	33.82	31.31	31.70	7919390	255185824.00
2017/09/04	30.97	30.97	29.00	29.13	7021793	210048544.00
2017/09/05	29.40	29.85	29.02	29.66	3621410	106864200.00
2017/09/06	29.30	29.44	28.10	28.97	4024401	115754480.00
2017/09/07	28.98	29.48	28.70	28.81	3314241	96553128.00
2017/09/08	28.68	28.94	28.00	28.27	3051770	86698256.00
2017/09/11	28.29	29.60	28.05	29.39	4146424	120670752.00
2017/09/12	29.40	29.48	28.56	28.78	3081166	89148344.00
2017/09/13	28.71	29.14	28.66	28.94	1946091	56259324.00
2017/09/14	29.00	31.78	28.96	30.93	8412287	254048256.00
2017/09/15	30.35	30.47	29.20	29.30	4837956	144179872.00
2017/09/18	28.98	28.98	27.00	27.92	3196253	89186144.00
2017/09/19	27.86	28.44	27.85	28.00	1878735	52732972.00
2017/09/20	27.91	28.35	27.80	28.33	1923103	54140408.00
2017/09/21	28.42	29.25	28.22	28.33	2915422	83845360.00
2017/09/22	28.20	28.79	27.36	28.41	2344213	65762828.00
2017/09/25	28.07	29.00	28.07	28.24	2138903	61199176.00
2017/09/26	28.13	28.46	26.20	27.01	2781386	75770920.00
2017/09/27	27.00	27.28	26.62	27.04	1304484	35218192.00
2017/09/28	27.24	27.44	26.38	26.67	1418851	38400856.00
2017/09/29	26.80	27.06	26.64	26.77	1066642	28590292.00
2017/10/09	27.23	27.39	26.92	27.19	1160431	31532488.00
2017/10/10	27.12	29.91	27.06	29.91	6705214	195370288.00
