603928 兴业股份 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2016/12/12	12.14	14.57	12.14	14.57	23015	335086.00
2016/12/13	16.03	16.03	16.03	16.03	15500	248465.00
2016/12/14	17.63	17.63	17.63	17.63	10400	183352.00
2016/12/15	19.39	19.39	19.39	19.39	7500	145425.00
2016/12/16	21.33	21.33	21.33	21.33	35566	758623.00
2016/12/19	23.46	23.46	23.46	23.46	37400	877404.00
2016/12/20	25.81	25.81	25.81	25.81	43177	1114398.00
2016/12/21	28.39	28.39	28.39	28.39	39096	1109935.00
2016/12/22	31.23	31.23	31.23	31.23	105503	3294859.00
2016/12/23	34.35	34.35	33.00	34.33	30047372	1021419264.00
2016/12/26	32.01	32.58	30.90	30.90	20024328	626043136.00
2016/12/27	30.60	32.24	29.83	30.53	16486467	511579168.00
2016/12/28	29.82	29.82	28.22	28.44	14196617	410101312.00
2016/12/29	28.10	28.93	27.93	28.03	8124105	230614144.00
2016/12/30	28.01	28.35	27.72	27.85	6310771	176787440.00
2017/01/03	28.00	29.48	27.81	28.93	10859574	310810496.00
2017/01/04	28.70	29.08	28.41	28.54	8418673	241443968.00
2017/01/05	28.58	28.58	26.90	27.12	10841296	299318400.00
2017/01/06	26.91	27.14	25.69	25.70	8487848	222566016.00
2017/01/09	25.40	25.85	25.11	25.47	4318101	109848008.00
2017/01/10	25.43	25.95	24.91	24.98	6513575	165306064.00
2017/01/11	24.86	25.21	24.45	24.58	5046030	124965160.00
2017/01/12	24.57	24.95	24.01	24.20	3959608	96711480.00
2017/01/13	24.26	24.33	22.87	22.97	5815341	136707968.00
2017/01/16	22.86	23.60	21.70	22.90	7171734	163761824.00
2017/01/17	22.60	24.36	22.15	23.86	7686751	179291344.00
2017/01/18	23.50	23.68	23.11	23.18	4628281	108226640.00
2017/01/19	22.89	23.79	22.55	23.22	4664157	108666896.00
2017/01/20	23.02	24.06	22.90	23.88	5492137	130266616.00
