603991 至正股份 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2017/03/08	12.73	15.28	12.73	15.28	2300	34889.00
2017/03/09	16.81	16.81	16.81	16.81	2000	33620.00
2017/03/10	18.49	18.49	18.49	18.49	4100	75809.00
2017/03/13	20.34	20.34	20.34	20.34	7700	156618.00
2017/03/14	22.37	22.37	22.37	22.37	8600	192382.00
2017/03/15	24.61	24.61	24.61	24.61	4500	110745.00
2017/03/16	27.07	27.07	27.07	27.07	6700	181369.00
2017/03/17	29.78	29.78	29.78	29.78	14300	425854.00
2017/03/20	32.76	32.76	32.76	32.76	23900	782964.00
2017/03/21	36.04	36.04	36.04	36.04	10900	392836.00
2017/03/22	39.64	39.64	39.64	39.64	45004	1783959.00
2017/03/23	43.60	43.60	43.60	43.60	69100	3012760.00
2017/03/24	47.96	47.96	47.96	47.96	55900	2680964.00
2017/03/27	52.76	52.76	52.76	52.76	71500	3772340.00
2017/03/28	58.04	58.04	58.04	58.04	130806	7591980.00
2017/03/29	63.84	63.84	63.84	63.84	476504	30420016.00
2017/03/30	60.66	68.88	57.46	58.53	10836987	647062080.00
2017/03/31	56.04	58.04	52.68	52.68	6972402	383670720.00
2017/04/05	51.81	54.59	51.81	54.19	4157626	223233280.00
2017/04/06	53.88	56.98	53.22	55.04	4107234	227768432.00
2017/04/07	55.29	56.60	54.20	54.72	3274352	181792656.00
2017/04/10	54.60	54.60	49.25	49.25	4350385	222365728.00
2017/04/11	49.07	50.27	47.54	49.90	3117393	152920096.00
2017/04/12	49.30	49.69	47.71	48.11	2260632	110055800.00
2017/04/13	48.20	49.27	48.03	48.55	1462998	71346112.00
2017/04/14	48.07	48.97	47.62	47.98	1505418	72785792.00
2017/04/17	45.58	45.70	43.18	43.18	2519836	111115248.00
2017/04/18	42.80	43.80	41.90	41.97	1723349	74062544.00
2017/04/19	41.99	43.99	41.32	43.76	2004419	85427656.00
2017/04/20	43.38	43.99	42.22	42.93	1605198	69281560.00
2017/04/21	42.81	43.31	42.03	42.71	999398	42783948.00
2017/04/24	42.70	42.97	41.22	42.29	1239198	52225988.00
2017/04/25	42.43	43.20	42.36	42.54	1123300	48079732.00
2017/04/26	42.13	43.39	41.76	42.75	1268430	54296384.00
2017/04/27	42.52	44.68	41.25	44.45	2213814	95944496.00
2017/04/28	44.09	44.49	43.73	44.13	1323891	58482144.00
2017/05/02	44.12	44.20	42.85	42.97	1330608	57792340.00
2017/05/03	42.88	43.61	42.50	43.49	1464300	63172120.00
2017/05/04	43.46	43.46	42.00	42.62	1039400	44516552.00
2017/05/05	42.40	43.37	42.03	42.22	1114700	47406744.00
2017/05/08	42.03	42.37	40.90	41.19	916200	38213800.00
2017/05/09	40.62	41.44	40.16	41.19	1399525	57080796.00
2017/05/10	41.36	41.99	40.10	40.52	1358600	55994800.00
2017/05/11	40.80	40.80	38.22	40.50	1551238	61836872.00
2017/05/12	40.42	40.98	40.01	40.67	1335123	54255208.00
2017/05/15	40.89	40.89	40.40	40.60	669438	27229084.00
2017/05/16	40.39	41.68	39.62	41.49	1191797	48593712.00
2017/05/17	41.57	42.69	41.33	41.91	1234911	51986140.00
2017/05/18	41.42	43.46	41.20	42.99	1916859	82021576.00
2017/05/19	43.00	43.38	41.53	42.56	1308977	55475796.00
2017/05/22	42.46	42.46	38.50	38.81	1658611	67114448.00
