605069 正和生态 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2021/08/16	18.16	21.79	18.16	21.79	372278	8067989.00
2021/08/17	23.97	23.97	23.97	23.97	167551	4016197.50
2021/08/18	26.37	26.37	26.37	26.37	191769	5056948.50
2021/08/19	29.01	29.01	28.17	29.01	14178999	410576128.00
2021/08/20	27.79	27.79	26.11	26.11	3261000	87093824.00
2021/08/23	23.50	23.50	23.50	23.50	1218700	28639450.00
2021/08/24	21.66	24.59	21.66	22.95	18478680	415689280.00
2021/08/25	22.00	22.18	21.66	21.79	11061842	242314096.00
2021/08/26	21.81	21.92	20.83	21.08	9326536	197494688.00
2021/08/27	21.00	21.53	20.70	21.30	6590589	139527040.00
2021/08/30	21.00	21.28	20.77	20.85	5240224	109934648.00
2021/08/31	21.25	22.40	21.20	21.40	9083574	197381136.00
2021/09/01	20.80	21.09	20.35	20.68	6539394	134888144.00
2021/09/02	20.70	20.80	20.38	20.60	3934215	80790272.00
2021/09/03	20.80	21.49	20.66	20.86	5647480	118691376.00
2021/09/06	20.79	22.50	20.60	22.05	8820848	191466736.00
2021/09/07	21.71	22.10	21.45	21.61	5993326	129797592.00
2021/09/08	21.60	21.69	21.30	21.66	4136897	88727112.00
2021/09/09	21.65	22.44	21.46	21.96	6899345	151438896.00
2021/09/10	21.72	21.74	21.01	21.05	5582861	119069024.00
2021/09/13	21.45	21.97	21.21	21.35	4131866	88877832.00
2021/09/14	21.05	21.11	20.30	20.47	5417409	111651504.00
2021/09/15	20.33	20.65	20.20	20.60	2309108	47281992.00
2021/09/16	20.52	20.57	19.82	19.84	3840200	77247080.00
2021/09/17	19.86	20.04	19.26	19.43	2364588	46298780.00
2021/09/22	19.13	19.73	19.13	19.69	1803824	35095656.00
2021/09/23	19.86	20.50	19.60	20.24	3975456	79838160.00
2021/09/24	20.00	20.06	19.31	19.38	3088149	60554952.00
2021/09/27	19.45	19.59	18.72	19.01	2333470	44458972.00
2021/09/28	19.16	19.46	18.80	19.22	1580135	30209774.00
2021/09/29	18.95	19.17	18.64	18.64	1548172	29138148.00
2021/09/30	19.30	19.30	18.76	18.90	1294400	24563486.00
2021/10/08	19.27	19.27	18.98	19.08	1072688	20459388.00
2021/10/11	19.25	20.86	18.80	20.28	4763464	94316032.00
2021/10/12	19.85	20.00	19.38	19.52	2860545	56147816.00
2021/10/13	19.46	19.69	19.20	19.59	1733584	33709088.00
2021/10/14	19.63	19.63	19.25	19.27	1523732	29476186.00
2021/10/15	19.36	19.67	19.29	19.38	1680520	32669528.00
2021/10/18	19.20	19.30	18.89	19.02	1431415	27190176.00
2021/10/19	18.89	19.12	18.88	18.96	1188312	22540050.00
2021/10/20	19.08	19.52	18.91	19.21	2503732	48377028.00
2021/10/21	19.36	19.36	18.82	18.92	1986598	37626280.00
2021/10/22	18.88	18.97	18.68	18.71	1182952	22201586.00
2021/10/25	18.71	19.06	18.70	19.03	1119370	21114984.00
2021/10/26	18.88	19.02	18.70	18.71	1267856	23858472.00
2021/10/27	18.62	18.71	17.87	18.11	2231267	40468860.00
2021/10/28	17.90	18.06	17.73	17.77	1129380	20128864.00
2021/10/29	17.87	17.89	17.39	17.74	1056360	18652126.00
2021/11/01	17.78	18.14	17.74	18.04	1252404	22581594.00
2021/11/02	17.95	18.02	17.46	17.50	1645944	29148566.00
2021/11/03	17.50	17.62	17.36	17.55	1003023	17511326.00
2021/11/04	17.55	17.71	17.43	17.63	916300	16134766.00
2021/11/05	17.63	17.98	17.54	17.87	1545311	27520028.00
2021/11/08	18.15	18.75	18.12	18.40	3566965	65981384.00
2021/11/09	18.00	18.40	17.91	18.25	2211728	40090668.00
2021/11/10	18.20	19.37	17.88	18.71	3695600	68477488.00
2021/11/11	19.01	19.38	18.73	18.73	3508633	66730076.00
2021/11/12	18.40	19.15	18.40	18.99	2473916	46452144.00
2021/11/15	18.99	19.21	18.91	19.12	2221559	42408128.00
2021/11/16	19.15	19.20	18.62	18.66	2002808	37697908.00
2021/11/17	18.50	18.84	18.50	18.78	1193226	22350912.00
2021/11/18	18.60	18.98	18.48	18.82	2004212	37556304.00
2021/11/19	18.82	18.88	18.53	18.78	1493003	27947172.00
2021/11/22	18.80	18.84	18.63	18.78	1133080	21228500.00
2021/11/23	18.68	18.83	18.68	18.73	1078160	20189890.00
2021/11/24	18.74	19.11	18.65	19.06	2343240	44424752.00
2021/11/25	19.08	19.10	18.82	18.90	1382280	26163840.00
2021/11/26	18.90	19.38	18.80	19.25	3286992	63188504.00
