605339 南侨食品 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2021/05/18	20.38	24.45	20.38	24.45	447257	10923631.00
2021/05/19	26.90	26.90	26.90	26.90	137352	3694768.75
2021/05/20	29.59	29.59	29.59	29.59	155051	4587959.00
2021/05/21	32.55	32.55	32.55	32.55	669277	21784966.00
2021/05/24	35.81	35.81	35.81	35.81	939078	33628384.00
2021/05/25	39.39	39.39	39.39	39.39	722864	28473612.00
2021/05/26	43.33	43.33	43.33	43.33	504608	21864664.00
2021/05/27	47.66	47.66	47.66	47.66	564724	26914746.00
2021/05/28	52.43	52.43	52.43	52.43	815756	42770088.00
2021/05/31	57.67	57.67	57.67	57.67	1465600	84521152.00
2021/06/01	63.44	63.44	63.44	63.44	537566	34103188.00
2021/06/02	69.78	69.78	69.78	69.78	593638	41424060.00
2021/06/03	76.76	76.76	62.80	62.80	18758788	1337662720.00
2021/06/04	58.94	63.22	57.52	59.95	32148084	1923259904.00
2021/06/07	57.06	59.47	55.61	57.23	21004244	1202300160.00
2021/06/08	57.03	58.88	56.49	58.00	16334059	943078784.00
2021/06/09	57.00	57.37	53.49	53.55	17448575	956376000.00
2021/06/10	52.85	54.55	51.88	52.55	12452467	658195072.00
2021/06/11	53.34	53.44	49.70	49.97	12752579	649146496.00
2021/06/15	49.60	49.85	47.10	47.65	9999269	480341248.00
2021/06/16	48.00	50.50	47.60	49.36	10481782	515143104.00
2021/06/17	48.00	50.88	47.47	50.50	9827220	482011616.00
2021/06/18	50.53	51.78	48.49	48.49	8963402	445964128.00
2021/06/21	47.26	49.86	46.20	48.60	8234207	395336672.00
2021/06/22	48.38	51.17	48.11	50.05	9845144	491081120.00
2021/06/23	49.66	50.27	47.81	48.03	7611404	369794592.00
2021/06/24	47.59	48.74	45.51	45.68	7791594	366192096.00
2021/06/25	45.29	45.92	44.36	44.72	6014004	269614624.00
2021/06/28	44.72	45.69	44.34	44.68	4714895	211835808.00
2021/06/29	44.75	45.44	44.10	44.99	4386372	196783744.00
2021/06/30	44.81	44.88	42.70	43.18	7239712	314707968.00
2021/07/01	43.28	44.73	42.93	43.81	6410877	281845504.00
2021/07/02	43.29	43.58	40.95	40.98	7073876	295903904.00
2021/07/05	40.80	41.80	40.80	41.10	3430869	141216704.00
2021/07/06	41.00	42.80	40.24	41.83	5967027	247571872.00
2021/07/07	41.41	43.10	41.33	41.86	6075066	257465856.00
2021/07/08	41.41	42.83	41.41	42.29	4665549	196324160.00
2021/07/09	41.99	43.18	41.53	41.85	5625872	239092256.00
2021/07/12	41.50	42.29	40.68	41.70	4324224	179905648.00
2021/07/13	41.97	42.42	40.34	40.64	5490013	224960000.00
