688020 方邦股份 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2019/07/22	106.00	136.49	74.74	101.10	14063045	1321166464.00
2019/07/23	85.00	94.88	83.18	89.52	5683223	512440384.00
2019/07/24	90.42	97.38	90.00	96.42	5534103	520724608.00
2019/07/25	99.75	110.90	98.71	101.41	7381559	762099968.00
2019/07/26	100.00	107.31	98.01	99.67	4966991	507928416.00
2019/07/29	102.55	107.99	100.22	107.21	5929415	624227392.00
2019/07/30	108.00	112.85	105.01	111.35	6723054	735391104.00
2019/07/31	114.02	117.95	107.01	112.96	6414145	723180992.00
2019/08/01	109.90	118.88	109.00	118.45	6881988	787851712.00
2019/08/02	116.00	133.00	115.46	126.95	8881871	1121077248.00
2019/08/05	128.05	141.95	123.27	139.20	7634660	1034490048.00
2019/08/06	135.00	140.66	118.18	120.79	8961931	1199312896.00
2019/08/07	124.36	125.60	115.01	123.00	5786351	696275776.00
2019/08/08	122.46	123.06	114.05	114.21	4301423	509460128.00
2019/08/09	115.45	117.33	111.36	112.23	3905104	444568736.00
2019/08/12	113.00	121.28	111.49	118.70	5593545	660740800.00
2019/08/13	119.00	120.98	114.06	119.91	4666808	548437568.00
2019/08/14	121.61	122.80	118.53	118.90	3704380	445619456.00
2019/08/15	115.00	118.90	113.81	117.80	3228824	375553280.00
2019/08/16	118.50	123.80	117.02	119.30	4886297	588916416.00
2019/08/19	120.00	121.50	114.80	116.60	3354755	393072480.00
2019/08/20	117.30	122.80	117.02	117.31	4034359	484297024.00
2019/08/21	116.10	117.30	106.13	107.75	4463517	497135328.00
2019/08/22	107.00	108.99	104.00	104.79	2460175	260734720.00
2019/08/23	105.00	105.69	96.60	98.45	3772135	377855520.00
2019/08/26	98.98	100.79	97.78	99.79	1993606	198100560.00
2019/08/27	99.88	100.66	97.79	100.04	1949188	193511584.00
2019/08/28	99.24	100.60	96.66	96.77	1903376	186864816.00
2019/08/29	96.75	96.85	93.51	95.24	1996020	189833712.00
2019/08/30	95.24	98.69	94.98	96.75	2141189	207228576.00
