688031 星环科技-U 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2022/10/18	72.00	78.50	64.18	76.00	19375800	1341567616.00
2022/10/19	69.57	73.38	66.86	72.88	11644050	822686272.00
2022/10/20	72.50	77.00	67.74	68.00	8429611	613630656.00
2022/10/21	66.20	71.99	63.77	69.06	7291545	492889792.00
2022/10/24	69.00	75.68	68.50	71.51	7131819	517524544.00
2022/10/25	71.20	72.59	64.74	65.00	5454972	366176000.00
2022/10/26	65.01	75.98	64.68	71.10	6527312	458455616.00
2022/10/27	71.50	74.60	69.51	72.00	4195036	303565440.00
2022/10/28	72.02	73.46	67.13	68.80	2882743	200098720.00
2022/10/31	71.50	82.56	71.02	82.56	6420363	497640896.00
2022/11/01	83.00	83.39	76.81	79.00	5064154	401870304.00
2022/11/02	79.00	85.05	76.80	83.30	4549195	362518496.00
2022/11/03	81.99	82.90	75.67	79.38	3584479	283587744.00
2022/11/04	79.59	82.50	77.50	80.37	2346429	188817888.00
2022/11/07	80.39	83.52	76.33	76.72	3601681	284605248.00
2022/11/08	76.35	79.50	74.76	77.47	3401718	260786096.00
2022/11/09	77.40	80.95	75.80	77.99	3279077	257617232.00
2022/11/10	77.00	85.78	76.03	81.10	3822524	312257376.00
2022/11/11	83.12	84.90	78.13	79.40	2296617	186066128.00
2022/11/14	81.20	81.20	76.60	78.85	2003161	158168112.00
2022/11/15	80.00	88.28	78.56	84.16	3075116	259815808.00
2022/11/16	85.32	88.18	83.01	84.30	1880180	161568464.00
2022/11/17	84.22	94.95	84.22	94.95	2670251	238721248.00
2022/11/18	94.00	107.20	90.28	91.50	4567032	432608480.00
2022/11/21	90.66	94.00	89.03	92.97	2193535	201173024.00
2022/11/22	92.60	94.40	88.03	89.70	2068130	189934032.00
2022/11/23	88.98	96.65	87.50	95.20	2046268	186961440.00
2022/11/24	95.00	100.77	93.01	94.00	1934140	187158816.00
2022/11/25	93.91	95.53	87.08	90.07	1776421	161353168.00
2022/11/28	90.00	96.05	89.11	91.95	1892903	175892080.00
2022/11/29	91.87	100.00	91.87	98.15	2569815	247535600.00
2022/11/30	96.74	107.00	94.88	101.14	2543114	252399296.00
2022/12/01	101.54	109.95	99.40	106.92	1824372	189137216.00
2022/12/02	104.00	111.88	100.61	101.50	2111625	222056688.00
2022/12/05	102.00	103.69	97.28	102.48	2088927	209126416.00
