688041 海光信息 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2022/08/12	70.00	73.80	60.10	60.10	119133625	7864877568.00
2022/08/15	57.00	61.19	56.70	56.82	59475630	3509521408.00
2022/08/16	56.00	61.66	55.01	60.69	45226222	2650930688.00
2022/08/17	60.35	61.86	56.80	57.64	30965039	1814533120.00
2022/08/18	57.02	58.79	55.50	57.65	20379982	1172481792.00
2022/08/19	58.01	59.10	54.02	54.26	19856238	1121274112.00
2022/08/22	54.00	56.96	53.95	56.35	17120114	961875904.00
2022/08/23	55.93	60.83	55.80	59.87	21665593	1282497792.00
2022/08/24	59.30	60.96	57.23	58.75	12285793	719144896.00
2022/08/25	59.01	59.30	54.35	55.30	13214891	738634624.00
2022/08/26	54.81	55.94	50.00	50.20	21365287	1117262592.00
2022/08/29	49.04	51.27	48.69	49.09	11626638	577106112.00
2022/08/30	49.02	52.77	48.92	51.74	16427156	845275456.00
2022/08/31	52.00	53.76	50.00	50.18	12120606	626793728.00
2022/09/01	57.10	59.80	53.85	54.47	44421194	2548811264.00
2022/09/02	54.91	59.80	54.91	56.10	26976389	1543447808.00
2022/09/05	55.10	55.62	51.27	52.17	20327715	1082191616.00
2022/09/06	52.95	53.58	51.34	53.30	12381516	649731392.00
2022/09/07	53.60	57.29	53.30	54.87	14913190	826665152.00
2022/09/08	54.86	57.20	54.51	56.62	12792981	721847552.00
2022/09/09	57.01	57.48	54.92	55.80	6704055	375469792.00
2022/09/13	56.19	58.22	55.58	55.81	7799766	441953888.00
2022/09/14	55.00	59.49	54.33	59.21	14025063	807139008.00
2022/09/15	58.51	61.40	55.80	56.20	16768023	978247424.00
2022/09/16	55.89	65.20	55.67	62.60	27395163	1703335424.00
2022/09/19	62.60	68.03	62.08	62.87	21933351	1416638976.00
2022/09/20	63.50	64.88	61.01	62.71	11899013	747926784.00
2022/09/21	62.50	63.00	60.06	60.81	10193140	626149824.00
2022/09/22	60.58	65.59	60.40	63.34	11563234	732528768.00
2022/09/23	62.79	64.34	60.80	61.12	10718889	665991872.00
2022/09/26	60.31	62.36	59.33	60.30	9431701	571944896.00
2022/09/27	60.30	61.75	58.11	61.75	10398608	623078336.00
2022/09/28	60.80	61.05	57.37	58.19	10687492	629618816.00
2022/09/29	58.92	61.58	58.00	60.90	10062079	606463552.00
2022/09/30	60.78	61.98	58.81	58.82	7163333	430264416.00
2022/10/10	55.90	55.90	47.06	47.06	17192303	820001088.00
2022/10/11	45.97	46.45	37.73	38.00	42514760	1682176640.00
2022/10/12	37.19	39.03	36.22	38.55	34500124	1298749952.00
2022/10/13	37.80	40.64	37.45	38.80	27786701	1084160640.00
2022/10/14	39.20	39.46	37.49	38.92	26473453	1023812544.00
2022/10/17	38.11	41.20	38.03	40.58	31442274	1243877376.00
2022/10/18	40.15	40.49	39.35	39.76	17666665	703154624.00
2022/10/19	39.49	40.17	37.60	37.80	21493781	827730560.00
2022/10/20	37.40	41.86	37.20	39.70	38089292	1504568192.00
2022/10/21	39.00	39.00	37.80	38.35	20923505	802884416.00
2022/10/24	38.35	39.99	38.29	38.80	20343718	797056320.00
2022/10/25	38.59	39.76	37.76	38.89	16350062	636333824.00
2022/10/26	39.11	40.30	38.10	39.94	23138719	914894656.00
2022/10/27	40.45	40.50	38.68	39.40	25173627	992040064.00
2022/10/28	39.26	40.37	38.80	38.95	21378750	849788352.00
2022/10/31	39.18	46.29	39.11	44.68	40248329	1706268672.00
2022/11/01	44.00	46.15	43.89	45.07	23373920	1047777856.00
2022/11/02	45.09	46.20	44.21	44.58	18341068	829035584.00
2022/11/03	44.57	45.47	43.61	44.91	18195328	812521024.00
2022/11/04	44.11	44.87	43.10	44.34	19257466	846804672.00
2022/11/07	44.00	44.25	42.58	43.59	19138619	832188352.00
2022/11/08	43.58	48.13	43.58	47.03	31993667	1472975104.00
2022/11/09	47.00	50.37	46.97	49.39	25901582	1272265088.00
2022/11/10	48.70	49.30	46.09	46.25	19736091	933546944.00
2022/11/11	47.88	47.90	46.01	46.60	14390587	672521792.00
2022/11/14	46.68	46.80	44.54	45.60	11937612	540066240.00
2022/11/15	45.60	48.55	45.13	47.56	13827590	657139712.00
2022/11/16	47.95	47.95	45.56	45.77	11987054	557343168.00
2022/11/17	45.46	47.38	44.70	46.89	11383354	523903872.00
2022/11/18	46.51	47.38	45.42	45.75	9000789	417400512.00
2022/11/21	45.11	46.39	45.11	45.74	6045714	276224992.00
2022/11/22	45.68	46.98	45.00	45.53	9095430	419672224.00
2022/11/23	45.58	45.91	41.99	43.60	14601665	635739264.00
2022/11/24	43.56	44.67	43.42	43.98	7556608	333019776.00
2022/11/25	43.60	45.15	43.02	43.46	7923905	347969600.00
2022/11/28	42.70	43.59	41.66	41.91	9961786	420936704.00
2022/11/29	41.85	42.72	41.58	42.12	8446791	356285632.00
2022/11/30	42.18	42.30	41.06	41.44	8475504	352186880.00
2022/12/01	42.09	43.50	41.96	42.71	10637205	454048672.00
2022/12/02	42.40	44.50	42.31	43.25	9510821	413982112.00
2022/12/05	43.88	44.17	42.92	43.65	6706085	291481632.00
2022/12/06	43.15	46.50	43.15	45.07	13244351	595768896.00
2022/12/07	45.00	45.74	44.58	45.20	6987422	315216800.00
2022/12/08	45.00	46.15	44.60	45.28	7556530	343351328.00
2022/12/09	45.14	46.77	45.04	45.75	12336370	565127104.00
2022/12/12	45.36	47.35	44.95	46.21	8902193	411998528.00
2022/12/13	46.03	46.33	44.80	44.89	6796636	307762784.00
2022/12/14	46.42	46.65	44.60	44.61	6806794	309861984.00
2022/12/15	44.26	45.63	44.12	44.24	6114217	273874560.00
2022/12/16	44.26	44.26	42.85	43.11	6226726	269181056.00
2022/12/19	43.05	43.28	41.60	41.84	4817118	203037728.00
2022/12/20	41.96	42.42	41.43	41.83	3675107	153829840.00
2022/12/21	41.83	41.84	40.20	40.51	4578371	186957440.00
2022/12/22	40.80	40.96	39.70	39.76	3739417	150310928.00
2022/12/23	39.60	40.38	39.25	40.08	4174819	166147184.00
2022/12/26	40.08	41.56	40.06	41.20	4632977	189889440.00
2022/12/27	41.22	41.70	40.55	41.33	4279635	176270016.00
2022/12/28	41.30	41.30	40.32	40.48	2904206	118129880.00
2022/12/29	40.60	41.13	40.08	40.60	3400797	138240048.00
2022/12/30	40.84	41.18	40.08	40.12	3035871	122961864.00
2023/01/03	40.80	42.45	40.23	42.02	10156035	421831584.00
2023/01/04	42.15	42.88	41.00	41.05	7127159	297475712.00
2023/01/05	41.01	41.66	40.40	41.47	7097100	291855200.00
2023/01/06	41.29	43.43	41.01	42.37	10236740	435087456.00
2023/01/09	42.38	42.96	41.24	41.99	5645296	237664192.00
2023/01/10	42.33	43.28	42.03	42.21	4760041	202012944.00
2023/01/11	42.16	43.04	41.43	41.49	5411156	228692128.00
2023/01/12	41.53	41.59	40.63	40.71	5112671	209172784.00
2023/01/13	40.86	41.17	40.20	40.62	4229160	171605168.00
2023/01/16	40.40	41.88	40.30	41.61	6798306	281434528.00
2023/01/17	42.48	42.80	40.30	41.80	9272945	387756032.00
2023/01/18	41.90	42.50	41.13	41.99	7488689	312223392.00
2023/01/19	41.75	45.44	41.74	44.90	15061008	664804416.00
2023/01/20	44.64	45.40	44.41	44.98	7104606	318697184.00
2023/01/30	45.30	45.60	43.98	44.20	7953849	354714528.00
2023/01/31	44.10	44.47	42.63	43.01	8731889	377221696.00
2023/02/01	43.11	43.88	42.86	43.80	6521100	283660192.00
2023/02/02	44.22	46.80	44.11	45.78	15271859	696230592.00
2023/02/03	45.47	47.70	44.75	47.68	13827056	637991680.00
2023/02/06	47.77	50.02	46.38	49.10	22382702	1083392512.00
2023/02/07	48.40	51.51	48.19	49.66	16643405	827818560.00
2023/02/08	49.99	50.78	47.10	47.23	12611675	611252736.00
2023/02/09	46.99	55.30	46.46	53.51	25652346	1315383552.00
2023/02/10	53.00	53.50	50.44	50.59	19174837	994449216.00
2023/02/13	51.00	54.72	50.30	52.52	22827718	1199039616.00
2023/02/14	53.83	55.36	52.49	53.17	19995512	1074217984.00
2023/02/15	53.16	57.01	51.37	56.21	25229176	1370536064.00
2023/02/16	55.03	56.68	50.91	51.50	25265968	1353213440.00
2023/02/17	51.20	51.96	48.00	48.43	18698443	925281344.00
2023/02/20	48.51	52.48	48.03	51.90	19512588	982466688.00
2023/02/21	51.18	52.19	49.01	49.99	15347519	773253632.00
2023/02/22	49.50	50.97	49.01	50.17	10058181	502752896.00
2023/02/23	50.32	51.43	49.60	50.18	10337473	521682400.00
2023/02/24	51.00	55.18	51.00	52.03	26321697	1393592192.00
2023/02/27	52.03	52.69	49.60	50.48	17493609	891091840.00
2023/02/28	51.60	53.35	50.30	51.88	16999869	880179840.00
2023/03/01	51.40	54.40	51.40	53.50	19242737	1020834112.00
2023/03/02	52.98	54.35	52.51	53.03	14756757	787166656.00
2023/03/03	54.09	56.66	50.88	55.31	35490448	1920406016.00
2023/03/06	54.90	56.99	54.22	55.39	25829321	1436859904.00
2023/03/07	54.75	55.28	52.18	52.26	17592305	937887744.00
2023/03/08	52.31	53.79	52.25	53.16	11641059	616719744.00
2023/03/09	52.88	53.94	51.73	52.89	12756681	676259904.00
2023/03/10	52.50	53.82	52.35	52.35	12375061	657116032.00
2023/03/13	51.99	53.80	51.80	53.55	11540251	612110016.00
2023/03/14	52.97	56.00	52.83	55.00	18935935	1034213184.00
2023/03/15	55.41	55.78	53.50	53.63	12214280	666505088.00
2023/03/16	52.87	54.17	52.50	53.03	8866895	472129952.00
2023/03/17	53.90	59.58	53.72	57.50	28810286	1631353472.00
2023/03/20	57.78	62.40	56.92	60.42	26259928	1571529728.00
2023/03/21	60.11	63.38	58.99	61.60	22530673	1374975872.00
2023/03/22	61.18	66.90	60.00	65.93	26010186	1671458304.00
2023/03/23	64.60	70.44	63.80	66.20	30018975	1995807872.00
2023/03/24	66.87	68.18	63.80	66.25	25566062	1685270144.00
2023/03/27	65.20	67.50	60.60	63.26	35621836	2273438208.00
2023/03/28	64.15	66.55	62.50	64.90	29420458	1900111872.00
2023/03/29	64.03	77.88	64.00	74.50	57175949	4082687488.00
2023/03/30	75.16	81.50	74.13	76.50	53166112	4080936192.00
2023/03/31	75.00	77.77	71.80	77.17	40805292	3052062208.00
2023/04/03	77.40	87.27	76.30	84.80	43563012	3543190784.00
2023/04/04	82.20	90.90	80.80	85.88	36598984	3127354112.00
2023/04/06	83.38	87.58	80.99	81.23	33733505	2835303168.00
2023/04/07	82.07	83.47	79.70	81.65	24152646	1974814976.00
2023/04/10	80.50	81.63	73.62	74.80	36819589	2849644800.00
2023/04/11	75.61	77.02	71.95	76.00	28457504	2138543360.00
2023/04/12	75.39	84.50	73.78	82.69	39422530	3141038592.00
2023/04/13	81.00	83.95	75.18	76.22	30601158	2421505792.00
2023/04/14	78.12	78.45	73.10	77.04	25692358	1958140544.00
2023/04/17	76.50	81.50	75.20	80.13	23928710	1883998080.00
2023/04/18	79.00	84.50	76.15	82.60	30598442	2491393280.00
2023/04/19	82.00	99.00	82.00	90.55	47687417	4295783424.00
2023/04/20	93.80	98.50	91.48	97.30	38232090	3637961472.00
2023/04/21	95.15	95.15	88.18	91.39	30396102	2793013248.00
2023/04/24	91.39	91.74	84.57	89.27	26143439	2309277184.00
2023/04/25	89.00	102.00	86.71	98.75	38669637	3722020864.00
