688092 爱科科技 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2021/03/19	44.00	48.20	42.87	43.61	10264231	457816192.00
2021/03/22	46.66	46.88	40.51	41.31	7033565	300754304.00
2021/03/23	40.20	40.27	36.68	36.72	5293759	203406976.00
2021/03/24	37.98	39.25	36.40	37.04	3317765	125579112.00
2021/03/25	36.21	37.90	35.10	36.58	3207991	116342240.00
2021/03/26	36.00	36.75	35.33	35.70	1901813	68272824.00
2021/03/29	35.80	36.23	34.25	34.47	1737907	60845636.00
2021/03/30	34.39	34.78	33.80	34.41	1325186	45562824.00
2021/03/31	34.91	35.38	33.81	34.18	1271032	43912240.00
2021/04/01	33.93	34.20	33.20	33.90	1155186	38933316.00
2021/04/02	33.90	35.60	33.75	34.47	1401575	48650944.00
2021/04/06	34.43	34.76	34.21	34.42	824339	28367902.00
2021/04/07	34.45	35.19	34.25	34.88	1059558	36869600.00
2021/04/08	35.00	35.05	34.43	34.49	851420	29535422.00
2021/04/09	34.21	34.68	34.12	34.25	612249	21080684.00
2021/04/12	34.49	34.50	33.28	33.60	828572	28168826.00
2021/04/13	33.28	33.94	32.15	32.30	774217	25493280.00
2021/04/14	32.40	32.77	32.18	32.68	513616	16660398.00
2021/04/15	32.60	32.99	32.00	32.55	547635	17790434.00
2021/04/16	32.33	34.03	32.33	33.59	653529	21843306.00
2021/04/19	33.62	35.25	33.57	34.73	1013426	35038812.00
2021/04/20	35.17	35.80	34.02	34.30	1342079	47004516.00
2021/04/21	33.84	33.84	33.00	33.29	826255	27532394.00
2021/04/22	33.29	33.41	32.99	33.25	514414	17039066.00
2021/04/23	33.23	33.71	32.96	33.23	373050	12428397.00
2021/04/26	33.23	33.46	32.80	33.11	486467	16122475.00
2021/04/27	33.11	33.39	31.94	32.40	410736	13310313.00
2021/04/28	32.00	32.50	32.00	32.15	336027	10820539.00
2021/04/29	32.30	32.67	32.09	32.15	421184	13637048.00
2021/04/30	32.15	32.89	31.95	32.17	502205	16283527.00
2021/05/06	32.42	33.88	32.23	33.70	891360	29765916.00
2021/05/07	33.50	34.48	32.90	33.02	847425	28515674.00
2021/05/10	32.59	33.33	32.31	32.76	441629	14421155.00
2021/05/11	32.52	34.29	32.52	34.13	812556	27349318.00
2021/05/12	33.80	34.80	33.49	33.62	881188	30084134.00
2021/05/13	33.54	33.98	33.21	33.49	442234	14832274.00
2021/05/14	33.48	34.12	33.48	34.00	557918	18878876.00
2021/05/17	33.95	34.38	33.60	33.94	474453	16118762.00
2021/05/18	33.97	35.38	33.97	34.97	1203823	41989228.00
2021/05/19	34.90	35.49	34.38	34.45	770738	26781314.00
2021/05/20	34.39	34.77	33.86	34.00	528123	18027490.00
2021/05/21	34.00	34.14	33.49	33.50	528671	17873896.00
2021/05/24	33.57	34.01	33.41	33.71	292225	9883530.00
2021/05/25	34.45	35.99	34.31	35.79	1875989	66197620.00
2021/05/26	36.02	36.59	35.42	36.27	1743214	62590452.00
2021/05/27	35.90	36.46	35.82	35.91	1100285	39704556.00
2021/05/28	35.89	37.48	35.58	36.80	1836058	67530464.00
2021/05/31	37.77	39.00	36.68	38.89	1979276	75281912.00
2021/06/01	39.60	39.80	37.65	38.20	1679741	64453944.00
2021/06/02	38.13	39.00	37.86	38.01	1226535	47177068.00
2021/06/03	37.72	40.90	37.11	39.18	2150344	83646632.00
2021/06/04	38.61	40.29	38.00	38.40	1401071	55000364.00
2021/06/07	38.61	40.00	38.41	39.00	798664	31492552.00
2021/06/08	38.77	39.98	37.13	37.80	1101712	41945676.00
2021/06/09	37.55	38.08	36.50	36.88	698296	25828972.00
2021/06/10	36.81	37.86	36.51	37.50	724889	27177600.00
2021/06/11	37.76	37.87	35.64	36.05	918582	33491536.00
2021/06/15	35.82	36.35	34.50	35.22	595071	20948618.00
2021/06/16	35.19	35.53	33.80	34.02	634674	21847790.00
2021/06/17	34.05	34.69	33.62	34.55	479420	16357796.00
2021/06/18	34.44	35.31	34.20	34.66	529741	18433286.00
2021/06/21	34.66	35.52	34.57	35.40	396230	13909975.00
2021/06/22	35.67	35.67	34.92	35.04	496196	17536976.00
2021/06/23	35.10	35.45	34.69	35.08	415186	14600967.00
2021/06/24	35.00	35.81	34.90	35.16	529552	18676642.00
2021/06/25	35.49	35.74	34.40	35.20	708700	24865888.00
2021/06/28	35.21	36.00	35.09	35.45	585117	20804454.00
2021/06/29	35.77	35.94	34.28	34.47	653600	22715914.00
2021/06/30	34.76	34.89	34.40	34.55	484272	16754171.00
2021/07/01	34.56	35.52	34.56	35.03	598977	21117664.00
2021/07/02	35.10	35.10	33.30	33.66	708441	23990260.00
2021/07/05	33.58	35.00	33.35	34.82	471315	16204228.00
2021/07/06	34.80	35.47	33.89	34.39	496808	17207562.00
2021/07/07	34.12	35.98	34.11	35.60	756556	26763246.00
2021/07/08	35.89	35.89	35.15	35.40	526304	18638868.00
2021/07/09	35.58	35.71	34.82	35.70	373847	13187200.00
2021/07/12	36.01	36.53	35.53	35.87	586828	21090842.00
2021/07/13	35.87	35.87	35.16	35.28	582783	20593814.00
2021/07/14	35.10	35.44	33.84	33.89	872426	29983560.00
2021/07/15	33.97	34.14	32.47	32.86	801390	26520274.00
2021/07/16	32.50	32.78	32.01	32.67	519905	16843412.00
2021/07/19	32.66	32.66	31.76	32.31	537084	17243064.00
2021/07/20	31.80	32.77	31.75	32.41	521179	16793400.00
2021/07/21	32.67	32.73	32.30	32.58	475953	15460039.00
2021/07/22	32.58	33.24	32.27	33.10	561456	18302530.00
2021/07/23	32.98	33.05	32.30	32.43	483749	15766724.00
2021/07/26	32.32	32.70	31.77	32.29	434793	13979671.00
2021/07/27	32.34	32.61	31.03	31.68	1101106	34984112.00
2021/07/28	31.68	31.68	30.15	30.19	663376	20320996.00
2021/07/29	30.19	30.96	30.19	30.73	425694	13059098.00
2021/07/30	30.50	32.76	30.50	32.15	856251	27297632.00
2021/08/02	32.00	33.57	31.70	33.26	809279	26646490.00
2021/08/03	33.00	33.90	32.80	33.32	582061	19537670.00
2021/08/04	33.31	36.65	33.20	34.99	1603291	56553300.00
2021/08/05	34.12	35.71	33.87	34.18	1121436	38567416.00
2021/08/06	34.18	34.67	33.82	34.36	500244	17111396.00
2021/08/09	34.71	41.23	34.50	39.80	4134269	161614576.00
2021/08/10	38.19	45.58	38.19	42.61	4864712	204244144.00
2021/08/11	43.44	46.98	42.01	43.58	3088584	135305088.00
2021/08/12	44.55	47.56	43.07	47.56	2592465	117398024.00
2021/08/13	45.62	52.45	45.62	48.67	2710938	133307360.00
2021/08/16	48.50	48.50	43.60	44.05	2702173	122210368.00
2021/08/17	43.89	45.19	42.42	43.36	1917436	83732336.00
2021/08/18	43.03	46.78	43.03	44.50	1343216	60411008.00
2021/08/19	43.98	45.13	43.00	44.87	1306629	57462780.00
2021/08/20	44.50	44.50	41.05	42.59	1868301	78628016.00
2021/08/23	43.08	47.58	42.83	46.40	1711949	78399080.00
2021/08/24	46.40	46.96	44.14	44.17	1644597	73885872.00
2021/08/25	44.16	48.53	44.00	48.28	1903044	88448632.00
2021/08/26	50.00	50.00	41.91	43.52	2479583	109225008.00
2021/08/27	44.38	44.38	40.81	41.40	1415116	58964952.00
2021/08/30	43.96	43.96	41.11	41.50	902054	37928332.00
2021/08/31	41.20	42.78	39.17	42.39	1820234	74662152.00
2021/09/01	42.30	42.30	38.10	38.77	2112311	82626200.00
2021/09/02	38.77	39.11	37.51	38.35	2177682	83295664.00
2021/09/03	38.80	39.01	37.47	38.23	1482967	56600680.00
2021/09/06	39.00	39.64	38.07	39.18	1076055	42056572.00
2021/09/07	39.02	39.79	38.52	38.66	684595	26659464.00
2021/09/08	38.61	38.61	37.11	37.49	1535954	57707824.00
2021/09/09	37.83	40.49	37.83	39.08	1939894	76356824.00
2021/09/10	38.68	38.86	37.01	37.73	1046357	39530236.00
2021/09/13	37.73	41.20	37.55	40.85	1777313	70501840.00
2021/09/14	40.70	40.70	39.10	39.31	1151452	45744740.00
2021/09/15	39.11	40.14	38.70	39.16	709807	27857396.00
2021/09/16	39.20	39.22	37.71	38.00	667246	25532704.00
2021/09/17	37.77	38.13	36.90	37.34	556563	20818916.00
2021/09/22	37.25	37.25	35.18	35.55	755277	27028472.00
2021/09/23	35.60	36.39	35.37	35.94	553060	19833604.00
2021/09/24	35.74	35.77	34.18	34.30	571667	19900226.00
2021/09/27	34.08	34.92	32.60	32.88	543495	18133404.00
2021/09/28	32.90	33.35	32.50	32.97	274635	9062213.00
2021/09/29	32.51	33.10	31.70	31.70	457333	14772190.00
2021/09/30	32.00	32.77	31.70	32.75	277248	8960427.00
2021/10/08	33.40	33.50	32.85	32.90	229942	7616281.00
2021/10/11	33.00	33.77	32.76	33.31	200060	6626464.00
2021/10/12	33.20	33.32	31.92	32.33	258859	8399366.00
2021/10/13	32.33	32.95	31.95	32.87	223807	7279529.00
2021/10/14	32.87	33.69	32.33	33.46	333273	11049259.00
2021/10/15	33.62	33.97	32.80	33.75	302524	10099853.00
2021/10/18	34.47	34.47	33.36	33.64	296897	10065926.00
2021/10/19	33.97	34.00	33.39	33.60	217025	7320521.00
2021/10/20	33.41	33.92	33.41	33.44	182545	6138854.00
2021/10/21	33.44	33.74	32.20	32.37	329425	10789253.00
2021/10/22	32.96	33.15	32.36	32.60	200053	6555902.00
2021/10/25	33.03	34.25	32.21	33.55	406888	13701126.00
2021/10/26	33.70	34.58	33.54	34.46	401346	13708787.00
2021/10/27	34.68	34.68	33.20	33.29	366461	12302220.00
2021/10/28	33.34	33.35	31.74	31.74	379943	12277864.00
2021/10/29	32.21	33.12	32.02	32.88	298536	9775056.00
2021/11/01	34.33	37.38	33.42	36.60	1291392	46340896.00
2021/11/02	36.97	38.56	36.22	37.94	1395070	52444656.00
2021/11/03	38.40	38.56	37.11	37.93	820905	30985400.00
2021/11/04	37.55	38.15	36.69	38.02	643991	24123610.00
2021/11/05	38.08	38.38	37.40	38.04	488791	18522780.00
2021/11/08	38.04	39.45	36.73	39.03	601031	23075748.00
2021/11/09	39.03	39.63	38.69	39.03	458249	17897352.00
2021/11/10	38.70	41.24	38.51	40.56	772176	30899404.00
2021/11/11	41.50	41.50	39.48	39.66	955818	38157620.00
2021/11/12	39.52	42.85	39.52	41.74	1229663	51389088.00
2021/11/15	41.75	42.70	41.01	42.36	659447	27717740.00
2021/11/16	42.36	42.38	41.00	41.30	482165	20006874.00
2021/11/17	41.72	42.99	41.38	42.40	639614	27241862.00
2021/11/18	42.79	43.46	41.56	42.20	597678	25317184.00
2021/11/19	42.29	43.00	41.10	41.70	734034	30693176.00
2021/11/22	42.33	43.72	41.20	41.30	1144812	47996672.00
2021/11/23	41.82	43.30	41.50	42.24	1343907	57237560.00
2021/11/24	42.28	44.80	42.27	43.99	1439108	63127040.00
2021/11/25	43.99	43.99	42.59	42.98	593338	25616284.00
2021/11/26	43.48	43.99	42.69	43.36	700853	30390474.00
2021/11/29	42.30	43.85	42.08	42.45	838903	35809016.00
2021/11/30	43.66	43.66	42.00	42.30	858464	36564168.00
2021/12/01	42.56	42.91	41.85	42.65	682205	28886638.00
2021/12/02	43.04	43.98	42.04	42.16	1071206	46037888.00
2021/12/03	42.16	42.16	40.50	40.56	852539	35000016.00
2021/12/06	40.44	40.65	38.50	38.61	697326	27363636.00
2021/12/07	38.26	39.00	37.50	37.62	538317	20479604.00
2021/12/08	38.50	38.75	37.51	38.29	395749	15137292.00
2021/12/09	38.02	38.70	37.63	37.80	423571	16143881.00
2021/12/10	37.69	38.78	37.60	38.49	555113	21180036.00
2021/12/13	38.14	39.13	37.60	38.45	588063	22446916.00
2021/12/14	38.30	38.99	37.77	38.43	562004	21549098.00
2021/12/15	38.26	39.48	38.15	38.46	477833	18579892.00
2021/12/16	38.76	38.76	37.98	38.41	516212	19769888.00
2021/12/17	38.21	38.83	37.34	37.47	546844	20679088.00
2021/12/20	37.38	38.10	37.09	37.29	405778	15234794.00
2021/12/21	37.70	37.85	36.01	36.41	718060	26332296.00
2021/12/22	36.36	37.15	36.27	36.68	329173	12079335.00
2021/12/23	36.69	36.99	35.80	35.83	458083	16554929.00
2021/12/24	35.85	36.15	34.68	34.72	604946	21275092.00
2021/12/27	34.58	36.26	34.58	35.66	615013	21931510.00
2021/12/28	35.98	37.05	35.66	36.87	707205	25867698.00
2021/12/29	36.79	37.29	36.01	36.21	422619	15426774.00
2021/12/30	36.74	37.80	36.34	37.21	833080	31068364.00
2021/12/31	36.88	38.57	36.71	37.84	1014021	38578316.00
2022/01/04	38.28	39.63	38.16	38.86	896905	35036736.00
2022/01/05	38.86	39.56	38.00	38.68	617883	23894486.00
2022/01/06	38.44	39.20	38.37	38.73	460573	17874592.00
2022/01/07	38.70	39.78	38.39	38.55	658013	25621948.00
2022/01/10	38.55	39.12	37.76	38.99	579133	22326438.00
2022/01/11	39.18	39.87	38.02	38.12	585362	22519648.00
2022/01/12	38.20	39.27	38.20	39.15	770334	29924456.00
2022/01/13	38.84	39.20	38.12	38.31	388823	14942727.00
2022/01/14	38.24	38.50	37.28	37.28	576082	21770954.00
