688147 微导纳米 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2022/12/23	29.90	31.00	26.88	27.45	25182599	713472000.00
2022/12/26	27.50	28.43	25.66	27.81	12604257	343456992.00
2022/12/27	27.70	29.00	26.59	27.76	9255904	254649184.00
2022/12/28	27.59	29.27	26.81	26.94	8756802	246377296.00
2022/12/29	26.25	27.39	26.00	26.42	5274823	140674416.00
2022/12/30	26.80	27.00	24.65	25.08	7561968	193897008.00
2023/01/03	25.12	27.71	25.12	27.45	7629415	204256832.00
2023/01/04	27.17	27.90	26.13	26.48	4874127	130393824.00
2023/01/05	26.71	28.26	26.50	28.00	5854435	160847648.00
2023/01/06	27.87	29.20	27.66	27.81	5774981	163988944.00
2023/01/09	28.23	29.40	27.86	28.03	5113941	145855120.00
2023/01/10	28.08	29.75	27.90	29.09	5269667	153252944.00
2023/01/11	28.98	29.76	28.50	28.99	3179941	91728352.00
2023/01/12	29.20	29.56	28.00	29.22	4029728	116910152.00
2023/01/13	29.26	29.58	28.80	29.34	2237893	65408512.00
2023/01/16	29.31	30.88	28.62	29.84	3591271	106842704.00
2023/01/17	30.05	30.80	29.18	29.48	3715606	110752640.00
2023/01/18	29.50	31.03	29.14	31.02	4134464	125611832.00
2023/01/19	32.50	33.25	30.62	32.50	5269304	168935856.00
2023/01/20	32.25	33.26	30.83	31.20	4049111	127245776.00
2023/01/30	31.67	32.04	30.50	31.01	3668545	114565992.00
2023/01/31	31.09	32.69	30.88	32.00	4400122	139908592.00
2023/02/01	32.20	32.75	31.10	31.75	3836335	122008600.00
2023/02/02	33.01	38.10	32.60	38.10	9221062	337332096.00
2023/02/03	37.00	39.98	36.49	38.82	12755038	489630752.00
2023/02/06	38.48	39.66	36.10	36.60	7395739	273775328.00
2023/02/07	36.83	41.30	36.83	40.49	10607706	409839936.00
2023/02/08	39.49	39.60	37.88	38.48	7085327	272979008.00
2023/02/09	37.87	38.17	36.88	37.60	6440283	240869456.00
2023/02/10	37.50	38.00	36.37	37.12	4690789	173971312.00
2023/02/13	36.98	38.17	36.33	37.35	4653933	173008896.00
2023/02/14	37.01	38.50	36.58	38.36	5301810	200167088.00
2023/02/15	38.18	38.34	36.72	37.72	4389641	164638496.00
2023/02/16	37.20	38.13	35.30	35.42	5159162	188598288.00
2023/02/17	35.48	36.38	35.10	35.20	3341971	119094720.00
2023/02/20	35.20	35.76	34.00	35.04	3337998	116212992.00
2023/02/21	35.04	35.33	34.00	34.38	3262733	112786336.00
2023/02/22	34.20	35.00	33.92	34.57	2075792	71614416.00
2023/02/23	34.50	35.75	34.50	34.74	3151386	110249664.00
2023/02/24	35.00	35.47	34.75	35.09	2402849	84436792.00
2023/02/27	34.81	35.55	33.40	33.60	4341069	149346928.00
2023/02/28	33.80	34.56	32.90	33.42	5071086	170254736.00
2023/03/01	33.43	33.88	33.03	33.45	2831585	94658480.00
2023/03/02	33.46	33.66	31.97	32.21	3769361	122802072.00
2023/03/03	32.48	33.35	32.04	32.26	2536961	82708624.00
2023/03/06	32.66	34.48	31.78	33.87	5115161	169835168.00
2023/03/07	33.69	33.70	32.30	32.35	3152967	104309176.00
2023/03/08	32.35	33.40	32.25	32.81	2022044	66213656.00
2023/03/09	32.81	34.36	32.49	33.60	4259419	143013600.00
2023/03/10	34.00	35.88	33.80	34.99	6623004	231506544.00
2023/03/13	34.38	35.10	33.42	34.15	4031444	137106912.00
2023/03/14	34.26	34.26	32.42	33.97	4053637	135490576.00
2023/03/15	34.54	35.97	33.80	34.13	4605030	161243232.00
2023/03/16	33.51	34.70	32.06	32.47	4084356	135485648.00
2023/03/17	32.00	32.71	31.10	31.81	4293536	136187776.00
2023/03/20	31.72	33.20	30.48	32.77	4612889	147772752.00
2023/03/21	32.52	33.25	32.04	33.11	2354334	77078560.00
2023/03/22	32.89	33.86	32.45	32.70	2661916	88041264.00
2023/03/23	32.99	33.60	32.50	33.38	2667445	88081192.00
2023/03/24	33.68	34.98	33.20	33.95	4477590	153069488.00
2023/03/27	33.58	35.27	33.33	35.07	4228167	146268800.00
2023/03/28	34.60	35.33	34.38	34.51	2808860	97668400.00
2023/03/29	34.34	36.78	34.34	35.62	5245067	187071328.00
2023/03/30	35.76	37.48	35.41	35.43	5569261	202670912.00
