688152 麒麟信安 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2022/10/28	200.01	248.00	188.00	215.20	8719640	1786221312.00
2022/10/31	216.00	248.80	215.99	227.80	5779159	1327596288.00
2022/11/01	228.20	230.00	205.21	218.00	4560613	974269568.00
2022/11/02	213.10	234.00	211.30	230.00	4219117	937127424.00
2022/11/03	225.00	228.00	215.00	224.60	3072460	682001536.00
2022/11/04	226.17	238.57	222.02	223.49	3698803	849390848.00
2022/11/07	220.49	234.82	215.20	231.79	3398031	765988928.00
2022/11/08	227.00	229.50	216.80	223.00	2748402	615793408.00
2022/11/09	224.30	225.89	209.00	209.00	2468753	528939648.00
2022/11/10	204.01	208.60	192.00	192.51	2827175	564385024.00
2022/11/11	197.80	199.74	186.90	186.90	2404585	468635296.00
2022/11/14	184.20	195.00	182.20	193.75	2140140	402654080.00
2022/11/15	191.00	200.65	189.50	194.59	2087817	409723520.00
2022/11/16	192.99	199.66	185.07	188.59	1980086	380535936.00
2022/11/17	190.05	204.89	186.02	204.50	2443830	480294016.00
2022/11/18	204.00	205.24	188.88	191.50	2260567	449395936.00
2022/11/21	187.60	201.99	186.50	201.35	1826347	357188992.00
2022/11/22	202.18	211.54	198.02	206.70	2335417	480999040.00
2022/11/23	202.40	209.63	196.00	200.70	1468363	297316512.00
2022/11/24	200.00	201.59	192.70	193.98	1398564	272940384.00
2022/11/25	193.98	197.90	189.00	191.90	874691	168859952.00
2022/11/28	186.00	195.86	185.12	195.81	1312240	249485408.00
2022/11/29	193.56	199.40	193.03	195.96	905352	177901168.00
2022/11/30	193.55	202.16	189.50	199.53	1059530	209020144.00
2022/12/01	199.53	209.94	196.72	207.88	1753126	359521728.00
2022/12/02	205.00	213.11	201.01	203.80	1207184	249225312.00
2022/12/05	203.75	214.80	202.00	214.30	1297651	272419264.00
2022/12/06	212.16	214.68	208.28	213.99	876748	184687584.00
2022/12/07	212.49	213.50	203.38	204.69	1268541	263228400.00
2022/12/08	204.70	209.10	202.88	204.12	599699	123484656.00
2022/12/09	204.12	209.98	202.60	205.80	705959	145638592.00
2022/12/12	204.00	208.00	200.45	206.20	641736	131115328.00
2022/12/13	204.12	205.98	195.00	195.00	754778	149736944.00
2022/12/14	198.27	201.49	195.00	195.79	543266	107680336.00
2022/12/15	197.39	198.70	192.86	194.31	395655	77448816.00
2022/12/16	192.80	193.67	188.00	188.80	523562	99354400.00
2022/12/19	185.80	192.45	185.52	188.00	417402	79244480.00
2022/12/20	188.97	193.80	186.65	188.60	418769	79312616.00
2022/12/21	188.12	189.79	178.64	179.00	573824	104592832.00
2022/12/22	179.00	180.42	169.36	171.30	672565	116981952.00
2022/12/23	170.00	173.33	167.50	170.52	327045	55829248.00
2022/12/26	169.00	175.00	169.00	174.77	310655	53899800.00
2022/12/27	175.00	180.85	172.13	179.00	514830	90848872.00
2022/12/28	175.01	180.46	175.01	177.09	241995	42946240.00
2022/12/29	176.00	179.60	170.07	173.85	536409	93714304.00
2022/12/30	173.90	177.20	170.80	170.90	378799	65683124.00
2023/01/03	171.30	205.00	170.72	198.66	1467829	275586208.00
2023/01/04	197.20	201.53	195.40	199.32	795098	157641952.00
2023/01/05	199.33	204.90	195.15	196.48	379544	74702408.00
2023/01/06	197.95	198.00	190.00	192.38	474503	91735288.00
2023/01/09	192.55	195.00	189.96	192.00	398359	76530416.00
2023/01/10	193.00	193.47	186.48	189.70	483158	91413944.00
2023/01/11	189.80	193.80	187.50	187.85	364949	69251968.00
2023/01/12	186.85	193.01	185.00	187.97	540921	101968752.00
2023/01/13	188.05	188.05	181.50	183.06	372739	68241496.00
2023/01/16	181.75	193.80	181.75	188.73	527316	100364168.00
2023/01/17	188.88	191.23	187.00	188.80	290572	54826344.00
2023/01/18	189.93	194.88	186.11	193.80	520065	99690080.00
2023/01/19	191.99	201.00	191.00	199.50	730023	143811520.00
2023/01/20	198.50	212.00	197.10	205.60	1072371	220368416.00
2023/01/30	205.59	208.88	200.00	202.00	645785	131394120.00
2023/01/31	200.22	201.86	195.01	199.82	596404	117752800.00
2023/02/01	199.82	200.81	197.18	200.46	474916	94492712.00
2023/02/02	200.46	204.76	199.30	201.25	561879	113299416.00
2023/02/03	201.00	208.96	199.70	207.60	707756	145214048.00
2023/02/06	208.00	214.24	203.00	204.76	805456	167294672.00
2023/02/07	203.58	204.69	199.20	200.99	560289	112540856.00
2023/02/08	201.41	202.69	197.00	197.43	344998	68550688.00
2023/02/09	197.05	207.57	195.00	207.39	578165	117488096.00
2023/02/10	205.14	207.00	200.20	201.00	345556	70229696.00
2023/02/13	202.00	210.80	200.18	210.10	693511	144033264.00
2023/02/14	210.18	215.99	206.00	207.00	425836	89393736.00
2023/02/15	205.60	226.00	205.05	223.20	1014421	220438976.00
2023/02/16	221.99	221.99	206.33	213.00	885029	191180096.00
2023/02/17	213.21	214.29	199.00	200.30	828050	169031168.00
2023/02/20	200.30	220.00	198.15	217.10	967090	202810240.00
2023/02/21	215.00	222.10	213.96	215.75	609792	132463824.00
2023/02/22	215.66	238.50	211.00	232.84	1197414	272777312.00
2023/02/23	233.00	241.29	227.80	228.18	1023194	239044496.00
2023/02/24	230.46	240.00	227.33	228.90	749514	174634592.00
2023/02/27	226.79	233.79	220.00	222.00	656587	148313920.00
2023/02/28	224.78	230.05	216.84	220.90	648248	144259168.00
