688176 亚虹医药-U 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2022/01/07	20.00	20.00	17.51	17.60	48909150	909546880.00
2022/01/10	17.90	18.48	17.38	18.07	22486016	403996928.00
2022/01/11	17.75	18.02	17.56	17.60	12103388	214555296.00
2022/01/12	17.66	17.75	17.38	17.61	10211370	179158352.00
2022/01/13	17.50	17.83	17.40	17.62	9028663	158652672.00
2022/01/14	17.54	18.04	17.40	17.85	12665739	225126976.00
2022/01/17	17.80	17.85	17.45	17.80	8078098	142277120.00
2022/01/18	17.62	17.87	17.48	17.81	8490363	150062848.00
2022/01/19	17.65	18.46	17.59	18.05	9973649	180280832.00
2022/01/20	17.90	18.07	17.55	17.55	6089618	107963440.00
2022/01/21	17.55	17.57	17.02	17.04	6045530	103882312.00
2022/01/24	16.95	16.98	16.46	16.52	4732884	78615872.00
2022/01/25	16.74	16.74	16.01	16.01	3523921	57252324.00
2022/01/26	16.15	16.20	15.90	15.94	2590126	41458728.00
2022/01/27	15.85	15.97	15.41	15.42	2828158	44246400.00
2022/01/28	15.40	15.67	15.30	15.43	1709716	26520124.00
2022/02/07	15.58	15.75	15.39	15.42	2247035	34892204.00
2022/02/08	15.44	15.56	15.38	15.47	3091936	47757536.00
2022/02/09	15.47	15.59	15.39	15.56	4204044	65050768.00
2022/02/10	15.53	15.60	15.46	15.47	2261279	35053608.00
2022/02/11	15.46	15.50	15.00	15.04	3511572	53438396.00
2022/02/14	15.17	15.33	15.08	15.16	1590208	24198456.00
2022/02/15	15.18	15.33	15.18	15.30	1287889	19656480.00
2022/02/16	15.35	15.46	15.29	15.37	1223694	18811208.00
2022/02/17	15.48	15.48	15.30	15.34	1253157	19231260.00
2022/02/18	15.28	15.31	15.13	15.25	1255057	19098422.00
2022/02/21	15.27	15.38	15.18	15.34	1509682	23072208.00
2022/02/22	15.32	15.32	15.10	15.17	1556422	23607310.00
2022/02/23	15.21	15.35	15.16	15.30	1548566	23671934.00
2022/02/24	15.22	15.72	15.16	15.34	4209906	64980980.00
2022/02/25	15.38	15.52	15.22	15.45	1960826	30231464.00
2022/02/28	15.52	15.52	15.18	15.27	1531881	23435236.00
2022/03/01	15.28	15.31	15.23	15.26	1034992	15793138.00
2022/03/02	15.27	15.29	15.20	15.27	1012957	15447072.00
2022/03/03	15.25	15.70	15.23	15.55	3208696	49760168.00
2022/03/04	15.50	16.23	15.50	15.73	5054170	80456928.00
2022/03/07	15.58	15.73	15.30	15.33	2461947	37935008.00
2022/03/08	15.33	15.38	14.63	14.68	2900201	43253940.00
2022/03/09	14.64	14.83	13.81	14.19	2671122	38109732.00
2022/03/10	14.39	14.49	14.30	14.31	1374675	19762628.00
2022/03/11	14.04	14.60	14.00	14.56	1497548	21416572.00
2022/03/14	14.54	14.73	14.29	14.29	1375091	19973358.00
2022/03/15	14.29	14.29	13.75	13.75	1930798	26968516.00
2022/03/16	13.80	14.00	13.38	13.87	1680321	23060664.00
2022/03/17	14.00	14.46	13.90	14.14	2485858	35363808.00
2022/03/18	14.14	14.35	14.11	14.27	1292288	18390832.00
2022/03/21	14.34	14.47	14.21	14.38	1521182	21839394.00
2022/03/22	14.36	14.44	14.24	14.25	1233722	17622746.00
2022/03/23	14.25	14.38	14.23	14.23	967849	13830819.00
2022/03/24	14.26	14.30	13.91	13.98	1396091	19613642.00
2022/03/25	13.98	14.08	13.85	13.85	1073863	14970052.00
2022/03/28	14.11	14.11	13.65	13.75	883535	12167348.00
2022/03/29	13.75	13.80	13.52	13.55	1058510	14463801.00
2022/03/30	13.59	13.74	13.55	13.68	846218	11567391.00
2022/03/31	13.65	13.92	13.65	13.74	1185310	16385027.00
2022/04/01	13.64	13.75	13.59	13.62	1109565	15127614.00
2022/04/06	13.64	13.78	13.62	13.71	851391	11656935.00
2022/04/07	13.65	13.75	13.45	13.45	1165963	15839057.00
2022/04/08	13.50	13.51	13.35	13.36	987169	13222269.00
2022/04/11	13.34	13.48	12.91	12.93	1135168	14898398.00
2022/04/12	12.93	13.09	12.62	12.98	1308303	16775821.00
2022/04/13	12.84	13.06	12.72	12.77	857528	11059851.00
2022/04/14	12.82	12.88	12.70	12.75	976962	12468234.00
2022/04/15	12.81	12.81	12.33	12.40	1378156	17260934.00
2022/04/18	12.40	12.96	12.22	12.86	1705593	21683700.00
2022/04/19	12.88	12.90	12.71	12.77	713587	9121043.00
2022/04/20	12.79	12.88	12.65	12.68	734374	9385661.00
2022/04/21	12.70	12.70	12.26	12.28	959140	11928384.00
2022/04/22	12.28	12.35	12.04	12.19	764696	9330879.00
2022/04/25	12.20	12.20	10.96	11.19	1519154	17587104.00
2022/04/26	11.16	11.33	10.71	10.76	1259004	13915192.00
2022/04/27	11.00	11.11	10.56	10.98	1735351	18777446.00
2022/04/28	10.89	11.08	10.62	10.77	981249	10647303.00
2022/04/29	10.81	11.30	10.77	11.21	1439808	16028673.00
2022/05/05	11.17	11.48	11.03	11.44	1089046	12362203.00
2022/05/06	11.29	11.60	11.13	11.40	849339	9686143.00
2022/05/09	11.41	11.55	11.34	11.52	744316	8558054.00
2022/05/10	11.48	11.68	11.35	11.63	931686	10805469.00
2022/05/11	11.63	11.97	11.58	11.77	1494559	17670700.00
2022/05/12	11.65	11.75	11.50	11.69	896092	10443620.00
2022/05/13	11.77	11.85	11.53	11.65	664212	7759997.00
2022/05/16	11.80	11.88	11.62	11.66	780769	9182159.00
2022/05/17	11.66	11.66	11.42	11.54	783017	9025876.00
2022/05/18	11.55	11.72	11.51	11.58	623850	7267742.00
2022/05/19	11.55	11.63	11.42	11.58	588528	6783602.00
2022/05/20	11.59	11.74	11.52	11.64	706276	8217150.00
2022/05/23	11.64	11.86	11.60	11.83	1045698	12267800.00
2022/05/24	11.84	11.88	11.32	11.32	1239802	14342300.00
2022/05/25	11.32	11.45	11.31	11.40	611366	6954015.00
2022/05/26	11.38	11.50	11.32	11.42	433393	4947884.00
2022/05/27	11.42	11.51	11.39	11.42	621485	7113171.00
2022/05/30	11.48	11.49	11.28	11.44	589418	6719739.00
2022/05/31	11.49	12.18	11.41	11.93	2452110	29055132.00
2022/06/01	12.07	12.73	11.92	12.19	3244683	39989004.00
2022/06/02	12.20	12.70	12.18	12.53	2941817	36747648.00
2022/06/06	12.55	13.06	12.55	12.84	3717930	47869556.00
2022/06/07	12.77	12.87	12.66	12.72	1811424	23078376.00
2022/06/08	12.79	13.25	12.66	12.91	3492347	45519464.00
2022/06/09	12.94	12.94	12.36	12.48	2131484	26816464.00
2022/06/10	12.47	12.65	12.40	12.59	842111	10599084.00
2022/06/13	12.64	12.64	12.42	12.63	897643	11243356.00
2022/06/14	12.40	12.54	12.20	12.50	1002015	12401837.00
2022/06/15	12.50	12.65	12.43	12.45	1268500	15922996.00
2022/06/16	12.65	12.65	12.46	12.52	900589	11320967.00
2022/06/17	12.42	12.52	12.29	12.52	1065209	13236859.00
2022/06/20	12.58	12.62	12.37	12.47	1756793	21933576.00
2022/06/21	12.50	12.55	12.30	12.39	987278	12274621.00
2022/06/22	12.39	12.48	12.31	12.35	644578	7984176.00
2022/06/23	12.31	12.49	12.31	12.41	1011948	12553556.00
2022/06/24	12.44	12.80	12.42	12.69	1853545	23407152.00
2022/06/27	12.68	12.94	12.68	12.76	1624758	20817896.00
2022/06/28	12.76	12.90	12.60	12.81	1398764	17841748.00
2022/06/29	12.80	12.86	12.59	12.61	1201225	15285413.00
2022/06/30	12.75	12.76	12.58	12.61	821965	10410995.00
2022/07/01	12.59	12.71	12.52	12.57	621551	7827274.00
2022/07/04	12.57	12.85	12.52	12.76	973058	12369299.00
2022/07/05	12.78	12.78	12.42	12.52	1157247	14550214.00
2022/07/06	12.45	12.62	12.37	12.37	1057391	13171612.00
2022/07/07	12.39	12.48	12.15	12.16	2660813	32583188.00
2022/07/08	12.18	12.50	12.18	12.26	1382388	17058752.00
2022/07/11	12.23	12.33	12.02	12.11	1435915	17471680.00
2022/07/12	12.17	12.17	11.98	12.07	1118951	13442058.00
2022/07/13	12.06	12.11	11.87	11.93	1291040	15416846.00
2022/07/14	11.90	12.04	11.80	11.94	841973	10052793.00
2022/07/15	11.92	11.99	11.81	11.81	657410	7803459.00
2022/07/18	11.88	11.98	11.79	11.95	830685	9894883.00
2022/07/19	11.96	12.08	11.96	12.07	950963	11451013.00
2022/07/20	12.10	12.29	11.99	12.21	1082116	13217087.00
2022/07/21	12.21	12.32	12.15	12.19	775719	9479581.00
2022/07/22	12.20	12.25	11.90	11.99	1062179	12815310.00
