688235 百济神州-U 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2021/12/15	176.96	176.96	155.02	160.98	31835375	5216220160.00
2021/12/16	157.56	163.80	156.20	161.00	15379175	2459506432.00
2021/12/17	164.00	164.95	160.30	162.00	7294762	1181259392.00
2021/12/20	161.58	162.60	155.52	155.67	7221636	1144634368.00
2021/12/21	157.98	158.76	155.89	157.06	3950798	620795520.00
2021/12/22	158.00	159.45	156.00	157.85	4048105	639428544.00
2021/12/23	157.01	157.80	153.61	153.97	4871340	756558976.00
2021/12/24	152.97	152.97	146.00	146.00	6639696	987465664.00
2021/12/27	146.00	147.87	145.50	146.46	2421230	354883136.00
2021/12/28	146.46	146.80	143.41	144.55	3420713	494785280.00
2021/12/29	145.10	147.00	144.10	144.10	2532024	368615104.00
2021/12/30	142.96	143.33	141.51	141.88	3097902	440401568.00
2021/12/31	144.00	146.57	144.00	144.51	3623952	526522240.00
2022/01/04	143.77	144.49	141.81	141.97	3379331	482890176.00
2022/01/05	139.90	139.90	136.00	136.20	4939543	678185280.00
2022/01/06	130.66	132.82	130.20	132.60	3179723	418983392.00
2022/01/07	132.99	135.50	132.99	133.00	2478768	331536640.00
2022/01/10	133.80	135.87	132.20	134.53	2165181	291865984.00
2022/01/11	136.00	137.18	134.88	135.12	1982722	269809632.00
2022/01/12	135.25	136.49	134.38	134.90	1685506	227850944.00
2022/01/13	135.79	136.90	134.56	134.61	2165498	294026752.00
2022/01/14	132.20	134.44	131.00	133.12	2568121	339730336.00
2022/01/17	132.00	134.95	131.80	134.31	1822494	243473728.00
2022/01/18	134.02	134.70	132.61	133.23	1596229	213102880.00
2022/01/19	133.23	133.60	131.90	132.48	1408646	186698496.00
2022/01/20	133.28	134.42	132.51	132.80	1347441	179796624.00
2022/01/21	135.08	135.45	133.08	133.08	1691626	226902736.00
2022/01/24	132.81	133.49	132.48	132.48	1187418	157887360.00
2022/01/25	132.00	132.20	127.79	128.08	2248017	291838688.00
2022/01/26	127.08	127.38	123.10	123.97	2196999	273823328.00
2022/01/27	123.10	123.10	118.00	118.01	2688604	323103744.00
2022/01/28	113.00	114.37	112.04	112.73	2709115	306373152.00
2022/02/07	118.20	118.94	116.79	116.95	2168415	254547584.00
2022/02/08	115.53	116.11	113.85	116.00	1267815	146063264.00
2022/02/09	115.00	116.78	114.70	116.47	1328744	153645168.00
2022/02/10	117.81	119.74	117.17	118.36	2040512	241729904.00
2022/02/11	117.30	117.97	114.70	114.73	1168926	135526096.00
2022/02/14	112.05	113.90	111.12	113.58	1276341	143794944.00
2022/02/15	114.57	120.20	114.57	117.83	2273566	267925504.00
