688267 中触媒 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2022/02/16	43.11	48.80	41.80	42.20	27417206	1222657024.00
2022/02/17	43.60	46.00	42.66	45.16	16938935	753787328.00
2022/02/18	44.60	44.88	41.50	42.54	9813816	422386144.00
2022/02/21	43.30	47.45	42.19	46.65	10875157	486903680.00
2022/02/22	46.48	48.59	44.30	45.51	6818364	317161600.00
2022/02/23	45.56	47.34	44.21	46.50	5953305	273015616.00
2022/02/24	45.51	48.26	44.52	46.90	5271475	244420192.00
2022/02/25	47.24	49.88	45.50	46.10	6017773	287505760.00
2022/02/28	45.00	50.10	44.26	50.10	5936857	284411712.00
2022/03/01	49.98	50.70	46.62	49.32	5009324	241603840.00
2022/03/02	48.25	49.20	47.42	47.82	2141270	103248720.00
2022/03/03	47.65	48.30	46.33	47.74	2648204	125119408.00
2022/03/04	48.10	48.20	46.16	46.64	2421149	113871416.00
2022/03/07	46.06	46.36	43.33	44.20	2737434	121253160.00
2022/03/08	43.00	44.67	42.63	43.42	1811556	79177264.00
2022/03/09	44.00	46.00	42.42	44.26	2168426	95980552.00
2022/03/10	45.80	45.80	43.72	44.26	1826477	81283416.00
2022/03/11	44.06	44.06	41.86	42.88	1649023	70165080.00
2022/03/14	42.47	42.62	41.08	41.52	1030200	43212404.00
2022/03/15	41.18	41.88	39.90	39.91	792474	32380300.00
2022/03/16	40.99	42.32	38.01	41.60	1974871	79350080.00
2022/03/17	40.52	42.65	40.50	40.65	1059923	43915892.00
2022/03/18	40.41	41.29	39.57	40.48	841114	33983024.00
2022/03/21	40.06	41.19	39.82	41.08	615860	25063156.00
2022/03/22	41.99	43.39	41.60	41.74	1033941	43659264.00
2022/03/23	41.83	42.88	40.81	42.54	883506	37057924.00
2022/03/24	41.62	42.33	40.88	41.30	491068	20373820.00
2022/03/25	40.50	41.48	40.35	41.33	489970	20040188.00
2022/03/28	40.55	41.58	39.80	40.30	193209	7783457.00
2022/03/29	40.57	40.57	38.30	39.20	772216	30113748.00
2022/03/30	39.50	39.68	38.00	38.30	818151	31534468.00
2022/03/31	38.30	38.30	35.01	36.97	3037001	110268072.00
2022/04/01	36.21	36.99	34.60	36.11	1411363	50730824.00
2022/04/06	36.00	37.93	35.35	36.03	1053077	38547524.00
2022/04/07	36.00	36.00	34.71	35.02	622120	21909164.00
2022/04/08	35.74	35.74	34.32	34.66	542961	18992574.00
2022/04/11	34.66	34.66	31.99	31.99	960911	31421160.00
2022/04/12	32.42	32.42	31.01	31.03	1675351	52754336.00
2022/04/13	31.05	31.75	30.00	30.21	951554	29138276.00
2022/04/14	30.37	30.64	29.54	29.82	1190154	35781640.00
2022/04/15	29.40	30.12	29.05	29.19	927782	27561184.00
2022/04/18	29.21	30.44	28.16	30.12	1637474	47968584.00
2022/04/19	29.84	30.56	29.80	29.97	427095	12824673.00
2022/04/20	29.61	30.16	29.30	29.71	482404	14340432.00
2022/04/21	29.55	29.71	28.20	28.32	686663	19759908.00
