688365 光云科技 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2020/04/29	28.99	44.44	28.89	38.03	25474667	853999744.00
2020/04/30	35.90	45.70	35.87	43.00	21034939	835474688.00
2020/05/06	41.80	58.88	39.50	52.23	21512239	959231232.00
2020/05/07	50.00	52.69	48.10	50.07	15952517	801359872.00
2020/05/08	50.00	52.37	46.70	46.82	14218098	696114176.00
2020/05/11	45.99	48.48	44.61	47.15	11221765	523916128.00
2020/05/12	45.83	46.00	41.00	43.02	12738525	550427136.00
2020/05/13	42.07	45.49	41.60	43.71	11267892	491871808.00
2020/05/14	42.25	48.79	42.11	48.13	15377611	702336576.00
2020/05/15	47.90	57.76	47.61	57.76	17680129	919620928.00
2020/05/18	55.00	64.65	53.55	54.65	18544016	1067134016.00
2020/05/19	55.00	59.65	54.65	57.67	14421199	822255360.00
2020/05/20	57.50	62.88	56.06	62.50	12989431	784412096.00
2020/05/21	61.50	62.98	56.16	56.80	11514873	684629760.00
2020/05/22	56.77	59.60	55.00	56.80	8467805	489451456.00
2020/05/25	56.68	56.70	49.51	50.93	8677314	458891616.00
2020/05/26	50.93	56.87	50.50	56.14	9205258	497148224.00
2020/05/27	56.30	58.88	54.56	56.19	9357405	530509440.00
2020/05/28	56.17	67.43	56.17	66.78	16777476	1033289984.00
2020/05/29	63.00	69.75	62.01	64.49	15066732	983099520.00
2020/06/01	66.50	74.28	65.82	71.97	12961108	899127488.00
2020/06/02	70.00	70.89	67.60	70.00	10148354	703762880.00
2020/06/03	70.19	78.86	70.19	73.67	11672433	876804992.00
2020/06/04	73.10	79.86	67.55	67.98	12979434	957351808.00
2020/06/05	67.01	70.49	65.00	67.00	8742692	588944576.00
2020/06/08	66.61	72.00	66.50	71.75	9296654	650707072.00
2020/06/09	72.99	73.89	68.50	71.92	7178684	507266752.00
2020/06/10	71.30	71.30	67.00	68.88	6170339	423515936.00
2020/06/11	68.80	71.95	67.00	69.62	7143456	497412384.00
2020/06/12	66.18	67.98	65.18	66.75	6178705	413068416.00
2020/06/15	65.48	65.98	61.20	61.25	6865034	433692448.00
2020/06/16	62.20	64.00	60.50	62.51	5281941	329514656.00
2020/06/17	62.88	63.00	57.00	59.67	6354169	377307264.00
2020/06/18	59.89	61.52	58.60	59.19	3976260	238651024.00
2020/06/19	58.50	59.53	56.48	57.40	5203537	299358368.00
2020/06/22	57.00	61.86	57.00	60.50	6436655	384455616.00
2020/06/23	61.06	61.98	58.70	59.03	5139415	309094016.00
2020/06/24	58.44	61.80	58.44	61.36	5748249	347408384.00
2020/06/29	60.66	60.66	57.99	58.60	4201340	247471504.00
2020/06/30	58.90	59.99	58.07	58.34	3966338	233497168.00
2020/07/01	58.64	58.87	54.81	55.66	5737882	323606112.00
2020/07/02	55.99	56.80	55.50	56.28	3610945	202418432.00
2020/07/03	56.23	56.30	52.61	54.86	5438321	294171712.00
2020/07/06	54.32	59.91	54.30	58.91	7368729	425600608.00
2020/07/07	58.74	69.87	58.36	67.18	10892936	703530432.00
2020/07/08	65.80	68.39	63.28	67.24	7602214	501229344.00
2020/07/09	70.00	72.50	66.78	67.32	7723813	534139296.00
2020/07/10	66.00	69.15	64.53	64.78	6190396	411934048.00
2020/07/13	63.59	66.21	61.83	65.53	6852825	440691808.00
2020/07/14	65.15	67.09	62.08	64.21	5973940	383599904.00
2020/07/15	64.40	64.99	55.95	56.18	6623032	396411776.00
2020/07/16	55.50	55.88	49.00	49.50	5508474	290796000.00
2020/07/17	50.48	52.68	49.72	50.55	3365344	172041072.00
2020/07/20	51.70	52.00	48.30	51.30	2853309	143043344.00
2020/07/21	53.11	56.98	53.11	54.03	4370174	240740912.00
2020/07/22	51.73	53.58	51.28	52.56	3336163	174362016.00
2020/07/23	51.90	51.90	49.00	50.64	2970506	150084640.00
2020/07/24	50.15	50.40	45.98	45.98	3221282	154454576.00
2020/07/27	46.99	47.76	44.05	45.50	2005605	91717904.00
2020/07/28	46.30	46.69	44.92	46.29	2174400	99765424.00
2020/07/29	46.33	49.24	45.82	48.89	3066347	146667152.00
2020/07/30	48.80	49.22	47.57	47.90	2147913	103391112.00
2020/07/31	47.71	49.65	47.70	48.71	2555171	124547080.00
2020/08/03	49.04	51.89	48.63	51.11	3377358	170989680.00
2020/08/04	50.90	51.90	49.13	49.40	2755702	139108928.00
2020/08/05	49.60	51.56	49.39	49.69	2098788	105056112.00
2020/08/06	50.09	50.29	47.01	48.29	2593269	124917104.00
2020/08/07	48.49	48.67	45.66	46.35	2375567	110966480.00
2020/08/10	46.75	47.45	45.57	47.01	1605462	74586744.00
2020/08/11	46.94	50.36	46.94	49.05	4235568	207787904.00
2020/08/12	48.88	52.30	48.00	52.30	5528010	283403936.00
2020/08/13	52.90	53.39	49.71	50.09	4362275	222222640.00
2020/08/14	49.54	50.30	46.86	48.11	3223194	154544960.00
2020/08/17	48.36	48.72	47.25	48.46	2032386	97667152.00
2020/08/18	48.00	50.51	48.00	49.01	2555173	126728736.00
2020/08/19	48.45	48.99	45.91	46.02	2597038	122372176.00
2020/08/20	45.78	46.96	45.04	45.41	1443030	66013304.00
2020/08/21	45.88	47.45	45.49	45.91	1156566	53256416.00
2020/08/24	46.43	46.43	43.60	44.20	1635649	72415824.00
2020/08/25	44.20	44.62	43.00	43.41	1344961	59033752.00
2020/08/26	43.55	43.81	40.96	41.31	2085045	88061968.00
2020/08/27	41.79	43.35	41.36	42.59	1496806	63565528.00
2020/08/28	42.65	42.77	41.25	42.77	1292452	54282844.00
2020/08/31	43.28	43.59	42.57	43.12	1032044	44607688.00
2020/09/01	43.00	43.90	42.66	43.51	1018220	44104248.00
2020/09/02	43.25	43.60	42.30	42.88	1122302	48071160.00
2020/09/03	43.01	44.37	42.65	43.49	1230768	53597372.00
2020/09/04	42.90	43.89	42.35	43.13	899288	38875264.00
2020/09/07	43.13	43.82	40.65	41.46	1628464	68707960.00
2020/09/08	41.46	42.24	40.21	41.56	1117329	46252336.00
2020/09/09	41.26	41.58	38.20	38.47	1966523	77463896.00
2020/09/10	39.39	39.51	36.74	37.19	1558664	59361396.00
2020/09/11	37.07	38.88	36.53	38.67	1077954	40889012.00
2020/09/14	38.90	40.47	38.90	39.82	1027073	40912416.00
2020/09/15	40.58	40.73	39.40	39.97	845124	33821940.00
2020/09/16	40.17	47.78	38.60	44.72	3232148	138762912.00
2020/09/17	43.20	46.20	42.80	44.56	3941732	176509408.00
2020/09/18	44.58	44.58	42.90	43.03	2407488	104747560.00
2020/09/21	43.03	43.71	42.01	43.04	1459880	62497640.00
2020/09/22	42.68	42.84	41.08	41.21	1549723	64792896.00
2020/09/23	41.48	41.97	41.02	41.55	1021232	42385800.00
2020/09/24	41.10	42.00	39.70	40.21	1149345	46427240.00
2020/09/25	40.74	41.41	40.07	40.52	834301	33947576.00
2020/09/28	40.35	40.83	38.61	38.61	991953	39041256.00
2020/09/29	39.20	40.18	38.80	39.42	1013642	40059024.00
2020/09/30	39.41	39.89	38.57	38.62	848318	33117016.00
2020/10/09	39.22	40.40	39.22	39.99	714823	28511752.00
2020/10/12	40.07	41.72	40.07	41.72	1372755	56633016.00
2020/10/13	41.38	44.58	41.38	42.86	2064814	88170592.00
2020/10/14	42.86	43.24	41.69	41.86	1227903	51837384.00
2020/10/15	41.86	43.32	41.38	41.80	1149057	48589432.00
2020/10/16	42.35	42.35	41.01	41.99	793846	33034294.00
2020/10/19	42.89	44.13	42.21	42.29	1152969	49519420.00
2020/10/20	42.11	43.40	41.01	43.20	1281350	54397632.00
2020/10/21	43.20	44.30	42.19	42.53	2296801	99885576.00
2020/10/22	44.08	46.39	43.21	44.42	3614182	162461632.00
2020/10/23	42.44	43.69	40.00	40.00	3297048	138051584.00
2020/10/26	40.10	40.22	38.29	38.50	1286586	49890412.00
2020/10/27	38.40	38.90	37.89	38.26	848861	32479736.00
2020/10/28	38.38	38.42	37.30	37.45	884123	33292804.00
2020/10/29	36.94	37.10	35.36	35.46	2131938	76305152.00
2020/10/30	35.60	36.67	35.31	35.79	1081829	38817356.00
2020/11/02	35.36	36.37	34.35	34.96	1114998	39270256.00
2020/11/03	35.40	36.79	35.01	36.40	1604857	58166600.00
2020/11/04	36.13	36.42	35.50	35.56	1190097	42671260.00
2020/11/05	36.63	36.95	35.56	36.07	1157579	41556472.00
2020/11/06	36.41	36.82	35.39	35.48	1148993	41432824.00
2020/11/09	35.98	37.47	35.67	37.30	1849315	68109424.00
2020/11/10	37.00	38.46	36.50	36.86	1501697	55956408.00
2020/11/11	36.86	36.86	35.61	35.72	1028580	37186920.00
2020/11/12	36.28	36.31	35.36	35.57	569714	20389956.00
2020/11/13	36.00	36.00	34.21	34.65	1039342	36137952.00
2020/11/16	35.59	36.55	35.45	36.28	1394760	50217304.00
2020/11/17	36.05	36.32	35.06	35.70	775738	27608244.00
2020/11/18	35.78	35.89	35.00	35.16	608085	21446608.00
2020/11/19	35.01	35.36	34.81	35.11	505826	17765682.00
2020/11/20	35.11	35.29	34.60	34.65	675076	23517404.00
2020/11/23	35.09	35.09	34.15	34.29	518823	17828644.00
2020/11/24	34.40	34.93	34.21	34.40	566505	19519416.00
2020/11/25	34.68	34.68	33.10	33.20	1158925	39025344.00
2020/11/26	33.49	33.49	32.21	32.59	938656	30715574.00
2020/11/27	32.72	32.72	31.82	32.07	611392	19688492.00
2020/11/30	32.17	32.39	31.91	32.10	685689	22060512.00
2020/12/01	32.30	34.02	32.12	33.89	1205925	40079080.00
2020/12/02	33.50	34.77	33.50	34.00	1128672	38745980.00
2020/12/03	33.88	34.50	33.52	33.54	779038	26448116.00
2020/12/04	33.31	33.79	33.31	33.43	388507	13022219.00
2020/12/07	33.55	33.65	32.88	32.97	467132	15503751.00
2020/12/08	33.02	33.19	32.22	32.45	476534	15577801.00
2020/12/09	32.75	33.29	31.92	32.15	965838	31277254.00
2020/12/10	32.15	32.15	31.00	31.17	893585	28087160.00
2020/12/11	31.39	31.40	29.94	30.30	1311161	39766868.00
2020/12/14	30.59	30.60	29.53	30.23	717084	21547298.00
2020/12/15	30.35	30.43	29.80	30.00	479128	14412842.00
2020/12/16	30.05	30.19	28.88	29.44	1095090	32206430.00
2020/12/17	29.16	30.72	28.81	30.29	1209488	35904608.00
2020/12/18	30.80	30.80	28.78	28.81	1042781	30760200.00
2020/12/21	28.76	29.78	28.50	29.41	1012824	29681762.00
2020/12/22	29.15	29.32	27.73	27.90	1288833	36461364.00
2020/12/23	27.87	28.80	27.29	28.10	1049719	29378240.00
2020/12/24	28.30	28.30	26.01	26.01	1794156	47795792.00
2020/12/25	26.07	26.26	25.47	25.70	863121	22358260.00
2020/12/28	25.88	26.30	24.81	25.52	849300	21759332.00
2020/12/29	25.37	26.98	25.01	26.28	938453	24608166.00
2020/12/30	25.78	26.42	25.63	25.89	588210	15267904.00
2020/12/31	25.89	26.47	25.74	26.16	582319	15240316.00
2021/01/04	26.57	27.47	26.02	27.07	994967	26637400.00
2021/01/05	27.07	28.07	26.68	27.60	1444853	39837588.00
2021/01/06	27.60	27.95	25.99	26.21	1255511	33560904.00
2021/01/07	26.02	26.42	24.10	24.50	1718999	42873668.00
2021/01/08	24.50	24.83	23.29	23.74	1261376	30153274.00
2021/01/11	23.82	24.99	23.82	23.90	1227883	29940288.00
2021/01/12	23.99	24.30	22.96	23.19	1127938	26337374.00
2021/01/13	23.20	23.25	21.83	22.77	1378918	30802998.00
2021/01/14	22.77	23.87	22.48	23.38	1314571	30737518.00
2021/01/15	23.34	24.71	23.30	24.05	1555925	37533968.00
2021/01/18	23.85	24.35	23.80	23.85	1304097	31266152.00
