688489 三未信安 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2022/12/02	127.51	132.00	117.56	119.50	13182309	1632805632.00
2022/12/05	122.00	125.50	115.09	123.20	7795167	946762880.00
2022/12/06	122.02	125.88	117.00	123.59	5423580	658037824.00
2022/12/07	123.20	130.88	120.00	120.00	4079648	514613856.00
2022/12/08	118.92	121.36	112.01	112.01	2869126	334097600.00
2022/12/09	110.99	116.20	110.02	113.07	2794263	317110144.00
2022/12/12	114.01	117.83	112.82	117.58	2144640	248734288.00
2022/12/13	117.70	117.70	111.18	112.88	1714752	194531440.00
2022/12/14	113.04	114.66	110.65	111.11	1009246	113424976.00
2022/12/15	110.08	113.60	106.58	112.64	1564147	173187376.00
2022/12/16	111.00	111.79	106.90	107.00	1141270	123983000.00
2022/12/19	105.10	109.89	101.90	102.98	866429	90948800.00
2022/12/20	107.75	107.85	99.67	101.00	1170688	120688752.00
2022/12/21	99.00	101.92	98.11	99.50	1129501	112994664.00
2022/12/22	100.09	102.76	99.09	99.80	740229	74525224.00
2022/12/23	98.96	105.20	98.91	103.37	777035	80100504.00
2022/12/26	102.50	105.81	101.55	102.90	877311	90514192.00
2022/12/27	102.50	104.11	98.60	100.11	999585	100631288.00
2022/12/28	99.00	99.48	93.51	93.76	1593755	152808016.00
2022/12/29	93.50	101.39	93.27	100.08	1648118	160989776.00
2022/12/30	100.00	105.50	99.00	101.33	1267123	128473896.00
2023/01/03	101.29	118.70	100.14	113.66	2384922	264598880.00
2023/01/04	115.58	119.86	113.30	117.77	1661241	193340016.00
2023/01/05	116.65	120.19	115.55	119.27	988507	116613448.00
2023/01/06	118.53	120.98	114.00	116.96	1113562	130096976.00
2023/01/09	116.22	120.00	115.00	119.54	1062150	125135584.00
2023/01/10	118.75	121.50	117.60	119.52	828470	99185760.00
2023/01/11	118.14	119.52	113.00	113.00	931053	107975168.00
2023/01/12	115.00	117.50	111.38	114.49	880641	100465616.00
2023/01/13	113.99	113.99	108.88	112.00	723484	80326120.00
2023/01/16	114.50	129.45	114.50	119.88	1801891	221566976.00
2023/01/17	120.51	122.84	118.21	120.48	823123	99079184.00
2023/01/18	121.00	129.88	118.61	127.08	1359107	171377424.00
2023/01/19	128.00	130.19	124.11	125.71	1291911	164137904.00
2023/01/20	127.00	127.41	119.68	119.93	1086470	132873752.00
2023/01/30	122.00	123.50	118.10	118.55	981981	118631512.00
2023/01/31	118.47	120.65	114.96	116.10	764859	89435328.00
2023/02/01	116.00	122.70	115.77	121.23	1234803	147469040.00
2023/02/02	120.49	124.60	119.30	121.58	777758	94834776.00
2023/02/03	120.12	128.99	120.12	127.32	1300053	163035888.00
2023/02/06	126.15	131.28	125.38	129.30	965581	123020136.00
2023/02/07	129.15	129.15	121.25	123.00	1004171	124430128.00
2023/02/08	123.00	125.06	121.26	123.14	465552	57347648.00
2023/02/09	123.15	132.50	120.89	130.48	1079201	137756000.00
2023/02/10	130.27	134.00	125.48	126.98	1065318	137425680.00
2023/02/13	125.59	126.06	121.50	122.91	1243285	153216896.00
2023/02/14	122.66	124.69	122.00	123.15	699628	86101936.00
2023/02/15	123.15	129.43	121.30	128.18	1060843	133445576.00
2023/02/16	127.25	127.43	118.90	120.79	1373260	169025696.00
2023/02/17	119.13	120.22	115.39	117.50	889911	105252544.00
2023/02/20	117.51	120.75	114.00	120.50	815522	95547192.00
2023/02/21	119.94	122.02	116.24	118.15	518685	61639256.00
2023/02/22	116.20	122.00	116.20	119.01	503027	59776232.00
2023/02/23	119.50	121.00	117.55	120.69	323879	38840824.00
2023/02/24	121.74	128.30	120.60	126.02	972370	122036400.00
2023/02/27	126.79	129.50	123.26	125.04	578158	72491744.00
2023/02/28	127.57	130.80	123.01	124.15	855197	107972408.00
2023/03/01	123.53	125.97	119.00	119.53	1083769	132422120.00
2023/03/02	118.80	119.88	115.80	119.00	715492	84231080.00
2023/03/03	117.98	120.17	116.40	117.00	568485	66892072.00
2023/03/06	117.55	120.50	115.35	119.35	790816	93193968.00
2023/03/07	118.27	120.80	116.10	117.14	558490	66141636.00
2023/03/08	117.87	121.61	117.30	121.06	482076	57827808.00
2023/03/09	119.56	125.50	118.35	122.98	578076	70535096.00
2023/03/10	121.59	128.18	120.00	124.75	806040	100405032.00
