688496 清越科技 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2022/12/28	8.50	11.05	8.40	9.97	57274646	545274432.00
2022/12/29	10.30	10.95	9.86	9.93	45644796	472378304.00
2022/12/30	9.51	9.78	8.99	9.08	33365726	310060448.00
2023/01/03	9.06	9.78	9.05	9.66	31014713	292057184.00
2023/01/04	9.83	9.83	9.44	9.51	16553424	159065776.00
2023/01/05	9.55	9.93	9.37	9.39	17024766	163989632.00
2023/01/06	9.42	9.57	9.18	9.38	12626996	118643272.00
2023/01/09	9.40	9.70	9.32	9.42	11345295	107906648.00
2023/01/10	9.51	10.11	9.36	9.73	18031796	176189248.00
2023/01/11	9.63	10.29	9.56	9.67	12982251	128233736.00
2023/01/12	9.84	11.60	9.77	11.60	27405952	294915712.00
2023/01/13	11.88	12.05	11.29	11.42	22976147	267899136.00
2023/01/16	11.14	11.60	10.99	11.14	15502067	174600736.00
2023/01/17	11.27	11.76	11.09	11.53	16439240	188257504.00
2023/01/18	11.34	12.19	11.03	11.80	16682357	193168528.00
2023/01/19	11.96	12.08	11.26	11.35	12969439	149748800.00
2023/01/20	11.56	11.59	11.08	11.18	8268866	93150744.00
2023/01/30	11.19	11.46	11.17	11.23	6894265	77653384.00
2023/01/31	11.39	11.77	11.03	11.29	10303888	117311520.00
2023/02/01	11.19	11.66	11.19	11.50	9302723	106129816.00
2023/02/02	11.39	12.44	11.31	12.09	13837208	165982384.00
2023/02/03	12.43	12.69	11.60	11.94	12976457	155976928.00
2023/02/06	11.89	12.25	11.68	11.75	8879188	105263896.00
2023/02/07	11.96	13.13	11.60	12.50	17698527	221181168.00
2023/02/08	12.40	12.75	11.72	11.82	13554778	162075248.00
2023/02/09	11.80	12.26	11.68	11.98	9245510	110473312.00
2023/02/10	12.15	12.68	12.06	12.34	12562381	155047616.00
2023/02/13	12.36	12.65	12.05	12.57	10277301	126977464.00
2023/02/14	12.60	12.60	11.81	11.94	10830716	130402528.00
2023/02/15	11.96	12.24	11.90	11.91	7668971	92274352.00
2023/02/16	11.80	12.01	11.08	11.23	12033721	138821264.00
2023/02/17	11.27	11.36	11.08	11.25	4883635	54835648.00
2023/02/20	11.12	11.35	11.06	11.30	5071091	56792708.00
2023/02/21	11.33	11.68	11.24	11.39	5400404	61833772.00
2023/02/22	11.35	11.35	11.03	11.20	3840191	42830584.00
2023/02/23	11.27	11.58	11.12	11.29	4812917	54434480.00
2023/02/24	11.36	11.85	11.36	11.68	8626063	100049360.00
2023/02/27	11.60	11.70	11.06	11.06	7725150	86992016.00
2023/02/28	11.06	11.35	10.92	11.11	4737794	52623544.00
2023/03/01	11.17	11.34	11.05	11.34	5761709	64364008.00
2023/03/02	11.29	11.45	11.12	11.12	3871127	43529752.00
2023/03/03	11.10	11.44	10.92	10.98	7360627	81662824.00
2023/03/06	11.00	11.27	10.95	11.06	5262402	58309968.00
2023/03/07	11.06	11.11	10.32	10.40	10393546	109662496.00
2023/03/08	10.33	10.62	10.33	10.55	4750742	50013344.00
2023/03/09	10.60	10.65	10.30	10.56	6188117	64799384.00
2023/03/10	10.47	10.66	10.28	10.37	5266030	55017236.00
2023/03/13	10.39	10.49	10.15	10.33	3901319	40134888.00
2023/03/14	10.34	10.34	10.00	10.15	3579127	36353068.00
2023/03/15	10.27	10.53	10.24	10.26	4866263	50462108.00
2023/03/16	10.20	10.54	10.11	10.13	4248617	43518776.00
2023/03/17	10.22	10.73	10.15	10.65	10821365	113728928.00
2023/03/20	10.83	11.48	10.76	11.28	13560097	152163392.00
2023/03/21	11.31	11.37	11.02	11.22	5854095	65218096.00
2023/03/22	11.25	11.45	11.10	11.38	4878190	55083928.00
2023/03/23	11.29	11.39	11.22	11.35	4079812	46078740.00
2023/03/24	11.35	12.30	11.35	11.79	11882829	141820560.00
2023/03/27	11.55	11.83	11.27	11.52	8530621	98220248.00
2023/03/28	11.43	11.57	11.10	11.11	3764919	42400092.00
2023/03/29	11.19	11.92	11.06	11.53	6985564	80453304.00
2023/03/30	11.76	12.85	11.65	12.42	14307534	174830912.00
2023/03/31	12.22	12.38	11.89	12.04	7726657	93183824.00
2023/04/03	11.94	13.49	11.94	13.45	13682368	174007072.00
2023/04/04	13.25	13.98	13.14	13.47	13202335	178263520.00
2023/04/06	13.20	13.94	13.20	13.56	9127718	123957536.00
2023/04/07	13.52	13.77	13.01	13.40	6969052	92976232.00
2023/04/10	13.65	14.09	13.15	13.34	7538764	102356880.00
2023/04/11	13.60	13.90	13.18	13.84	9539103	129726560.00
2023/04/12	13.78	14.09	13.45	13.63	8094553	110857840.00
2023/04/13	13.60	14.18	13.00	13.06	9208641	124289560.00
2023/04/14	13.05	13.30	12.65	13.01	7938506	102849248.00
2023/04/17	13.10	13.36	12.71	12.89	4495029	58314348.00
2023/04/18	12.75	12.94	12.40	12.66	3777223	47810368.00
2023/04/19	12.43	13.19	12.40	12.77	7126206	90623216.00
2023/04/20	12.69	12.85	12.50	12.78	3922299	49689996.00
2023/04/21	12.69	12.72	11.50	11.53	7100996	85086032.00
2023/04/24	11.64	11.82	11.15	11.23	5248468	59926644.00
2023/04/25	11.32	11.32	10.33	10.60	5347567	57215832.00
2023/04/26	10.69	11.00	10.64	10.71	4494488	48657184.00
2023/04/27	10.76	11.34	10.60	11.12	5113149	56761392.00
2023/04/28	11.36	11.88	11.17	11.68	5964069	69210592.00
2023/05/05	11.72	11.72	11.72	11.72	0	0.00
数据来源:通达信
