688501 青达环保 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2021/07/16	27.58	30.80	24.33	24.83	15537095	410308480.00
2021/07/19	23.59	23.59	20.15	20.29	10124448	215011664.00
2021/07/20	19.56	20.00	18.81	19.09	6137191	118283584.00
2021/07/21	19.21	19.67	18.91	18.98	4166145	79876672.00
2021/07/22	19.12	19.12	18.45	18.50	3714405	69098816.00
2021/07/23	18.52	18.58	18.01	18.05	2548420	46478008.00
2021/07/26	18.25	18.46	17.72	17.91	1889884	34216388.00
2021/07/27	18.07	18.35	17.50	17.81	2078538	37109060.00
2021/07/28	17.77	17.80	17.00	17.09	2387498	41116704.00
2021/07/29	17.11	17.66	17.09	17.34	2754605	47713204.00
2021/07/30	17.20	17.52	17.13	17.20	1919631	33205730.00
2021/08/02	17.23	17.79	17.07	17.52	1852851	32269060.00
2021/08/03	17.52	17.72	17.37	17.43	2204095	38559132.00
2021/08/04	17.50	17.99	17.38	17.62	1786184	31544430.00
2021/08/05	17.55	17.66	17.41	17.54	1420463	24929838.00
2021/08/06	17.73	17.77	17.30	17.35	1358802	23764278.00
2021/08/09	17.40	17.68	17.30	17.60	1180315	20680766.00
2021/08/10	17.70	18.10	17.58	17.89	1714250	30657060.00
2021/08/11	18.02	19.40	17.80	18.68	3898490	72742296.00
2021/08/12	18.72	18.92	18.40	18.60	1730536	32192924.00
2021/08/13	18.60	18.83	18.39	18.49	1824640	33825852.00
2021/08/16	18.41	18.81	18.41	18.53	1297693	24174466.00
2021/08/17	18.50	18.75	17.63	17.80	2284378	41642356.00
2021/08/18	17.79	18.16	17.78	17.96	1485425	26647524.00
2021/08/19	17.93	18.22	17.71	17.73	1079261	19306904.00
2021/08/20	17.71	17.80	17.28	17.49	1157788	20186934.00
2021/08/23	17.49	17.93	17.46	17.85	1191222	21183364.00
2021/08/24	17.95	18.29	17.79	17.91	1302399	23440922.00
2021/08/25	18.03	19.20	17.76	18.53	3226130	59876508.00
2021/08/26	18.33	18.59	17.96	18.08	1655020	30224038.00
2021/08/27	18.08	18.22	17.57	17.68	1339768	23798670.00
2021/08/30	17.98	17.98	17.38	17.60	1194560	21104426.00
2021/08/31	17.97	18.69	17.78	17.87	2982132	54262360.00
2021/09/01	17.88	18.12	17.48	17.78	1885304	33397090.00
2021/09/02	17.78	18.24	17.58	18.10	1701532	30568266.00
2021/09/03	18.16	18.63	18.16	18.45	2283453	42176776.00
2021/09/06	18.46	18.62	18.27	18.49	1573224	29005764.00
2021/09/07	18.52	18.61	18.36	18.48	1221178	22535750.00
2021/09/08	18.48	18.63	18.38	18.58	1134316	21038966.00
2021/09/09	18.58	18.63	18.24	18.32	899650	16502988.00
2021/09/10	18.37	18.55	18.19	18.30	814091	14921782.00
2021/09/13	18.28	18.53	18.27	18.39	797245	14661215.00
2021/09/14	18.40	18.41	18.02	18.06	756763	13764428.00
2021/09/15	18.08	18.17	17.96	18.04	568224	10271325.00
2021/09/16	18.04	18.19	17.75	17.82	598117	10730669.00
2021/09/17	17.82	17.98	17.50	17.75	696517	12305363.00
2021/09/22	17.59	17.64	17.30	17.48	739911	12910443.00
2021/09/23	17.59	18.28	17.51	18.11	1725086	30958250.00
2021/09/24	18.03	18.07	17.50	17.51	993503	17623968.00
2021/09/27	17.53	17.70	16.70	16.79	1209796	20571792.00
2021/09/28	16.79	16.96	16.71	16.84	435833	7322816.00
2021/09/29	16.72	16.85	16.18	16.21	635420	10479534.00
2021/09/30	16.23	16.48	16.23	16.39	482921	7912395.00
2021/10/08	16.41	16.80	16.41	16.69	510550	8517479.00
2021/10/11	16.69	16.83	16.58	16.70	474880	7936613.00
2021/10/12	16.76	16.83	16.25	16.49	559970	9261009.00
2021/10/13	16.49	16.64	16.33	16.64	424487	7008133.00
2021/10/14	16.61	16.74	16.44	16.62	361626	6011323.00
2021/10/15	16.60	16.60	16.45	16.48	277153	4573425.00
2021/10/18	16.50	16.63	16.34	16.56	220329	3642968.00
2021/10/19	16.69	16.69	16.49	16.49	279693	4628264.00
2021/10/20	16.49	16.53	16.23	16.26	424210	6932474.00
2021/10/21	16.49	16.60	16.02	16.03	604720	9824742.00
2021/10/22	15.90	16.18	15.75	15.82	476328	7555706.00
2021/10/25	16.00	16.00	15.74	15.83	465860	7387671.00
2021/10/26	15.69	15.98	15.69	15.76	337898	5344644.00
2021/10/27	15.75	15.79	15.13	15.30	721261	11113325.00
2021/10/28	15.40	15.40	14.77	14.85	606828	9082342.00
2021/10/29	14.90	15.03	14.71	15.01	263051	3923534.00
2021/11/01	14.99	15.14	14.86	15.13	333601	5013212.00
2021/11/02	15.15	15.26	14.82	14.95	421435	6330013.00
2021/11/03	14.95	15.11	14.72	14.96	398701	5943061.00
2021/11/04	15.05	15.27	15.00	15.19	295217	4480689.00
2021/11/05	15.30	15.45	15.24	15.37	315658	4851713.00
2021/11/08	15.46	15.88	15.46	15.63	850784	13398501.00
2021/11/09	15.73	15.92	15.44	15.68	581669	9134205.00
2021/11/10	15.62	15.75	15.50	15.73	367536	5747380.00
2021/11/11	15.73	16.09	15.73	15.93	468698	7487074.00
2021/11/12	15.93	16.17	15.79	16.14	422900	6776363.00
2021/11/15	16.14	16.57	16.12	16.40	877458	14406609.00
2021/11/16	16.50	16.50	16.10	16.10	597196	9721047.00
2021/11/17	16.05	16.39	16.04	16.36	408275	6654459.00
2021/11/18	16.36	16.49	16.08	16.17	410511	6696455.00
2021/11/19	16.15	16.43	16.15	16.39	426981	6978788.00
2021/11/22	16.42	16.43	16.25	16.34	377204	6161131.00
2021/11/23	16.41	16.62	16.29	16.57	705131	11599000.00
2021/11/24	16.49	16.80	16.49	16.77	705990	11807643.00
2021/11/25	16.79	16.96	16.67	16.76	577979	9728961.00
2021/11/26	16.85	17.01	16.69	16.79	499930	8423374.00
2021/11/29	16.45	16.69	16.27	16.58	813852	13381142.00
2021/11/30	16.43	17.08	16.43	16.96	1073938	18135412.00
2021/12/01	16.96	17.25	16.83	17.19	935410	15966778.00
2021/12/02	17.10	17.28	16.82	16.87	691891	11748192.00
2021/12/03	17.37	17.37	16.80	16.88	506758	8612556.00
2021/12/06	17.03	17.26	16.53	16.69	1462074	24781724.00
2021/12/07	16.84	16.87	16.33	16.58	482998	7980525.00
2021/12/08	16.53	16.68	16.46	16.56	256562	4247796.00
2021/12/09	16.56	16.64	16.41	16.55	527340	8712426.00
2021/12/10	16.53	16.59	16.42	16.50	369249	6091707.00
2021/12/13	16.59	16.59	16.38	16.41	578430	9512728.00
2021/12/14	16.50	16.95	16.37	16.71	968607	16202760.00
2021/12/15	16.63	17.21	16.63	16.93	961650	16360313.00
2021/12/16	17.00	17.19	16.93	17.06	561865	9573283.00
2021/12/17	17.05	18.98	16.90	18.04	4494766	81287600.00
2021/12/20	18.02	18.75	17.78	18.19	2990730	54952256.00
2021/12/21	18.18	18.18	17.45	17.99	1404968	24941824.00
2021/12/22	17.99	21.11	17.70	19.93	7087253	140211776.00
2021/12/23	19.65	20.28	19.40	19.91	2808171	55620548.00
2021/12/24	20.80	21.28	19.30	19.34	3442716	69059960.00
2021/12/27	20.38	23.21	20.36	23.21	6444824	145134416.00
2021/12/28	24.98	27.49	22.87	23.53	9903922	246484224.00
2021/12/29	22.99	24.33	21.51	22.14	7043120	160133968.00
2021/12/30	22.20	22.75	21.32	21.55	4347843	95263088.00
2021/12/31	21.51	22.19	21.08	21.92	3992717	86393576.00
2022/01/04	21.69	22.69	20.80	22.52	3691708	80657608.00
2022/01/05	22.99	24.87	22.30	24.61	5535856	131795568.00
2022/01/06	25.38	26.90	23.47	26.13	4997932	128156824.00
2022/01/07	26.50	27.18	24.51	26.30	3691348	95765168.00
2022/01/10	27.00	27.18	25.34	25.63	2416865	63705588.00
2022/01/11	25.63	26.80	24.43	25.02	2843644	72017392.00
2022/01/12	24.52	25.21	24.22	24.73	1258609	31174980.00
2022/01/13	24.38	24.70	23.00	23.89	2432388	57993488.00
2022/01/14	23.55	24.12	23.13	23.27	1439207	33668144.00
2022/01/17	23.26	23.26	22.43	23.04	1678215	38391032.00
2022/01/18	22.82	23.22	21.46	21.56	1842573	40770944.00
2022/01/19	21.56	23.74	21.20	23.44	2481795	57028272.00
2022/01/20	23.76	23.76	21.59	21.80	1607124	35732920.00
2022/01/21	21.50	22.65	21.22	21.30	874941	19111312.00
2022/01/24	22.50	22.50	20.57	20.78	1030075	21771976.00
2022/01/25	20.99	22.31	20.09	20.45	1516846	31961348.00
2022/01/26	20.00	21.95	20.00	21.36	1233851	26165920.00
2022/01/27	21.56	21.94	20.43	20.43	1333015	28188352.00
2022/01/28	20.46	22.95	20.46	22.50	1372999	29914656.00
2022/02/07	23.06	23.50	21.88	22.50	1031844	23129434.00
2022/02/08	22.56	22.70	20.92	21.27	1268729	27145880.00
2022/02/09	21.05	21.56	20.58	20.98	717371	15034215.00
2022/02/10	20.55	22.79	20.55	21.39	1496438	32259506.00
2022/02/11	21.39	21.68	19.17	19.80	2436640	48708968.00
2022/02/14	20.00	20.00	18.88	18.96	752162	14397521.00
2022/02/15	19.26	19.38	18.59	19.20	805898	15319651.00
2022/02/16	19.42	19.58	18.88	19.29	514899	9870010.00
2022/02/17	19.29	20.76	19.02	20.10	1768003	35485716.00
2022/02/18	19.99	20.00	19.27	19.52	668083	13022334.00
2022/02/21	19.49	19.53	18.93	19.39	614837	11810100.00
2022/02/22	19.10	19.24	18.78	18.88	672234	12723993.00
2022/02/23	18.06	19.30	18.06	19.11	623197	11874959.00
2022/02/24	19.11	19.78	18.25	18.70	1250183	23794400.00
2022/02/25	19.17	19.37	18.70	19.06	894623	17056536.00
2022/02/28	19.20	19.78	18.49	19.63	1006815	19481006.00
2022/03/01	19.21	21.28	19.21	20.55	1427536	29380984.00
2022/03/02	20.48	20.70	20.00	20.47	715572	14500334.00
2022/03/03	20.47	20.60	20.02	20.30	412187	8345962.00
2022/03/04	20.28	20.42	19.68	19.75	644606	12844336.00
2022/03/07	19.99	20.20	19.20	19.26	394133	7671452.00
2022/03/08	18.88	19.37	18.28	18.52	547613	10234856.00
2022/03/09	18.51	18.65	17.02	18.28	605453	10936643.00
2022/03/10	18.80	19.10	18.50	18.63	460169	8651081.00
2022/03/11	18.85	18.85	17.91	18.63	396188	7264833.00
2022/03/14	18.63	18.98	17.94	17.97	584568	10776076.00
2022/03/15	17.97	18.13	16.00	16.10	1201216	20490872.00
2022/03/16	16.30	17.88	15.96	17.15	1522984	25347738.00
2022/03/17	17.19	18.18	17.19	17.37	876083	15515465.00
2022/03/18	17.22	17.77	17.03	17.35	763119	13224959.00
