688608 恒玄科技 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2020/12/16	391.00	403.00	353.42	362.00	15814877	5941389312.00
2020/12/17	369.00	379.88	326.50	372.00	8617543	3030557184.00
2020/12/18	363.88	381.00	361.00	372.25	3469547	1286553088.00
2020/12/21	377.00	379.70	347.00	347.00	3478985	1252747008.00
2020/12/22	348.01	353.98	330.66	346.95	3444084	1183200000.00
2020/12/23	346.00	348.00	328.00	330.00	3239005	1086887168.00
2020/12/24	325.00	335.28	304.10	316.00	2917335	930482048.00
2020/12/25	313.20	319.97	306.11	308.50	1489683	464951840.00
2020/12/28	306.62	317.28	293.93	314.80	2321454	707642816.00
2020/12/29	310.00	342.68	309.09	338.00	2377437	787214784.00
2020/12/30	331.00	340.00	326.00	330.99	1079478	358073024.00
2020/12/31	332.00	341.98	325.00	331.00	1066991	353846336.00
2021/01/04	333.55	342.00	324.00	334.71	1899192	633172032.00
2021/01/05	334.00	358.00	324.00	352.00	2194056	742813056.00
2021/01/06	349.90	358.52	344.00	344.68	1387199	485915072.00
2021/01/07	344.00	344.95	304.44	320.03	2176964	693555008.00
2021/01/08	312.00	327.00	307.00	326.00	1235413	394265216.00
2021/01/11	326.00	333.50	311.01	326.00	977666	317357056.00
2021/01/12	323.40	325.00	311.53	311.66	1129590	355713312.00
2021/01/13	308.00	333.50	308.00	332.92	1109458	358437632.00
2021/01/14	331.00	353.45	324.00	342.00	1182312	402089440.00
2021/01/15	336.30	350.01	326.56	330.00	714282	240616944.00
2021/01/18	332.00	360.00	322.00	350.00	1215997	421049792.00
2021/01/19	356.00	403.88	355.00	382.98	2030031	783414848.00
2021/01/20	385.01	417.69	377.00	416.30	1407307	558351552.00
2021/01/21	414.00	414.00	394.99	400.09	1041229	418859680.00
2021/01/22	400.09	407.00	371.18	375.90	1372399	526118656.00
2021/01/25	377.00	388.26	361.45	374.00	926059	348865280.00
2021/01/26	382.00	385.99	340.18	341.50	1466223	520597344.00
2021/01/27	340.28	351.70	328.00	351.00	906532	307914528.00
2021/01/28	346.00	346.00	325.00	328.00	1084493	362619808.00
2021/01/29	328.22	346.00	326.34	333.00	680744	228897648.00
2021/02/01	328.10	335.00	325.51	329.20	783184	258731296.00
2021/02/02	331.20	344.99	327.00	335.51	726257	244259488.00
2021/02/03	335.00	335.00	316.01	319.00	1106027	357572544.00
2021/02/04	320.17	322.22	295.10	318.14	1230541	378662752.00
2021/02/05	318.95	324.50	306.00	308.01	499924	157255728.00
2021/02/08	308.01	318.80	306.00	310.45	380709	119048824.00
2021/02/09	309.00	314.44	300.47	307.01	578201	178487568.00
2021/02/10	305.95	335.85	300.77	335.00	977748	310893504.00
2021/02/18	335.00	338.00	318.26	320.48	632454	206486576.00
2021/02/19	320.50	328.20	316.38	319.00	556666	178391152.00
2021/02/22	323.00	323.00	310.10	310.97	719603	227318656.00
2021/02/23	307.02	312.88	297.00	306.15	833700	253105760.00
2021/02/24	306.07	315.31	302.01	305.06	592932	182416832.00
2021/02/25	304.20	307.50	298.03	299.06	428259	129172168.00
2021/02/26	295.00	295.99	276.50	288.90	915248	262340176.00
2021/03/01	289.99	302.86	286.01	298.90	472487	140202960.00
2021/03/02	299.00	307.50	298.28	299.80	423371	127916784.00
2021/03/03	299.80	307.10	293.00	303.00	369271	111769296.00
2021/03/04	300.00	308.66	295.20	295.26	378596	114034728.00
2021/03/05	294.77	304.99	292.00	303.83	340702	101724464.00
2021/03/08	304.00	307.50	273.00	273.01	649272	186353968.00
2021/03/09	272.98	279.88	256.00	260.85	692750	185857648.00
2021/03/10	267.45	279.00	258.13	277.89	628823	168631040.00
2021/03/11	280.45	284.98	271.00	274.99	444146	122946360.00
2021/03/12	279.39	279.39	265.27	267.79	388488	105952968.00
2021/03/15	267.79	277.00	258.28	262.01	301518	80851328.00
2021/03/16	262.01	267.96	256.03	261.40	291932	76110896.00
2021/03/17	257.55	262.00	250.60	256.38	539596	138358816.00
2021/03/18	259.00	259.99	233.02	235.70	1002371	242397216.00
2021/03/19	235.70	245.51	232.54	239.66	777376	187057360.00
2021/03/22	240.24	244.80	236.51	243.86	668833	161168224.00
2021/03/23	243.80	244.80	234.60	235.69	391942	93249056.00
2021/03/24	235.00	235.00	220.19	226.29	652563	147203536.00
2021/03/25	226.29	233.97	222.45	229.00	440484	101349528.00
2021/03/26	229.00	239.61	228.12	237.00	565462	133421184.00
2021/03/29	237.90	251.99	233.57	243.16	560658	137301440.00
2021/03/30	246.11	254.28	242.66	242.97	445365	110744552.00
2021/03/31	242.01	242.73	235.23	236.99	316625	75195928.00
2021/04/01	237.00	244.53	235.66	239.25	384632	91927128.00
2021/04/02	240.89	272.37	239.02	254.13	1107828	285283744.00
2021/04/06	255.91	259.99	250.52	256.72	450512	114987360.00
2021/04/07	255.70	256.72	248.20	253.79	360364	90936712.00
2021/04/08	252.00	261.00	250.31	254.30	333718	85300280.00
2021/04/09	254.30	263.00	252.89	259.91	511755	132659768.00
2021/04/12	259.00	269.88	248.27	250.74	744079	192368992.00
2021/04/13	247.00	255.55	243.80	246.29	495484	123399592.00
2021/04/14	246.00	259.80	245.00	258.50	512762	130517064.00
2021/04/15	255.50	277.97	253.11	276.80	977822	261781776.00
2021/04/16	272.88	276.87	267.89	270.72	573527	156038224.00
2021/04/19	268.76	271.70	264.20	264.32	829180	221109856.00
2021/04/20	265.00	272.42	263.06	264.18	705456	187744112.00
2021/04/21	264.16	267.77	262.30	265.69	456778	121163344.00
2021/04/22	269.69	284.00	263.22	279.60	1046764	288758880.00
2021/04/23	279.50	317.50	275.65	307.00	1371696	409420832.00
2021/04/26	304.63	308.63	288.19	292.41	1213203	361675936.00
2021/04/27	279.77	297.90	279.70	287.60	832050	240127312.00
2021/04/28	290.00	298.00	282.78	284.00	863913	248876208.00
2021/04/29	284.00	291.88	273.00	274.20	533517	150226768.00
2021/04/30	276.91	285.00	265.03	276.96	1072458	294056864.00
2021/05/06	278.63	292.00	275.02	290.00	709865	202504992.00
2021/05/07	291.00	292.00	255.00	263.00	1037110	281807968.00
2021/05/10	263.00	267.65	248.33	264.55	585051	151842992.00
2021/05/11	260.02	266.00	256.78	264.01	285752	75116264.00
