688670 金迪克 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2021/08/02	88.00	100.00	82.67	82.91	12352565	1099022464.00
2021/08/03	79.00	100.07	79.00	92.56	10661586	967791040.00
2021/08/04	94.30	111.19	90.50	107.53	8122857	814975680.00
2021/08/05	104.00	105.20	98.18	100.30	3746596	379253856.00
2021/08/06	101.00	102.30	87.00	90.10	3645195	335307616.00
2021/08/09	87.50	91.88	82.13	89.00	3387379	290695392.00
2021/08/10	88.50	94.28	87.01	89.42	2224679	202792240.00
2021/08/11	94.32	98.86	92.10	92.10	2397524	227994528.00
2021/08/12	90.30	94.43	86.82	89.16	2218368	198078208.00
2021/08/13	88.00	89.66	82.54	84.86	2544874	216681712.00
2021/08/16	84.97	88.40	83.02	86.53	1576931	136220560.00
2021/08/17	85.30	87.87	84.57	86.52	1213517	104652096.00
2021/08/18	86.52	86.52	81.63	82.31	1435246	119463624.00
2021/08/19	81.00	87.28	81.00	85.61	1412257	120054512.00
2021/08/20	84.68	91.88	84.68	90.00	2026858	181614560.00
2021/08/23	90.18	92.49	87.04	90.10	1119505	100965120.00
2021/08/24	91.50	91.50	88.10	89.50	798358	71134192.00
2021/08/25	89.98	97.00	86.38	95.20	1761074	165717520.00
2021/08/26	93.50	93.50	86.81	87.45	1747137	155827552.00
2021/08/27	88.85	93.50	87.00	88.40	1619102	146564832.00
2021/08/30	88.05	95.00	88.05	89.97	1078915	98570144.00
2021/08/31	91.00	91.00	85.00	86.00	1176285	101663064.00
2021/09/01	85.48	88.07	83.60	85.05	832595	70864096.00
2021/09/02	84.09	85.99	82.76	84.50	812544	68231088.00
2021/09/03	85.30	85.98	84.13	84.99	402855	34120728.00
2021/09/06	85.04	87.00	83.60	84.99	893234	75886184.00
2021/09/07	84.02	84.98	83.95	84.48	392095	33071792.00
2021/09/08	84.60	84.60	83.02	83.66	546811	45715464.00
2021/09/09	83.50	83.66	82.57	83.20	781176	64694528.00
2021/09/10	82.80	85.88	82.80	83.02	600377	50477348.00
2021/09/13	83.53	85.50	83.16	84.58	514904	43293680.00
2021/09/14	85.19	85.19	82.56	83.59	475340	39718808.00
2021/09/15	83.22	83.51	81.81	82.14	444097	36553260.00
2021/09/16	82.59	84.22	81.92	82.65	349496	28977786.00
2021/09/17	82.67	88.53	82.05	88.06	1125467	96902936.00
2021/09/22	87.60	93.33	86.82	90.01	680262	61457240.00
2021/09/23	90.01	90.76	85.92	86.75	720762	63015264.00
2021/09/24	86.75	88.56	85.76	86.70	533039	46189540.00
2021/09/27	87.88	92.00	87.01	90.82	1048672	94774352.00
2021/09/28	90.98	94.17	89.36	93.24	1028818	95853760.00
2021/09/29	91.60	95.59	91.02	93.05	718152	67168176.00
2021/09/30	94.44	99.33	93.11	97.23	943594	91585752.00
2021/10/08	97.90	97.98	94.01	96.64	676776	64831120.00
2021/10/11	98.29	98.39	95.17	98.00	451766	43869208.00
2021/10/12	98.80	99.54	94.00	94.68	849601	81599184.00
2021/10/13	94.89	97.98	93.90	97.13	698028	67206824.00
2021/10/14	98.00	104.87	96.30	103.56	1220944	123828848.00
2021/10/15	103.00	104.48	100.65	103.46	695132	71157568.00
2021/10/18	104.90	104.90	92.02	95.75	1900891	183992992.00
