688681 科汇股份 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2021/06/16	25.20	30.24	22.88	24.61	14560735	372188096.00
2021/06/17	20.99	22.60	19.59	19.59	9452098	192110160.00
2021/06/18	19.30	19.94	18.77	19.16	5342618	102490832.00
2021/06/21	19.14	19.50	18.85	19.48	4126684	79522816.00
2021/06/22	19.36	20.38	19.29	19.57	4861906	95916344.00
2021/06/23	19.45	19.70	19.14	19.25	3705031	71695552.00
2021/06/24	19.39	19.63	18.82	19.48	3105623	59849720.00
2021/06/25	19.28	19.45	18.98	19.10	1932224	37016216.00
2021/06/28	19.20	19.34	18.98	19.25	1583289	30380322.00
2021/06/29	19.25	19.25	18.52	18.66	2012501	38108016.00
2021/06/30	18.67	18.80	18.01	18.38	1557348	28835652.00
2021/07/01	18.43	18.47	18.13	18.19	2039853	37247472.00
2021/07/02	18.20	18.20	17.80	17.95	1451018	26079724.00
2021/07/05	18.10	18.60	18.03	18.48	1580106	28967354.00
2021/07/06	18.35	18.70	18.35	18.62	1177294	21823016.00
2021/07/07	18.58	19.12	18.51	19.06	2126399	40176584.00
2021/07/08	19.21	19.21	18.73	18.78	1468531	27814534.00
2021/07/09	18.80	19.45	18.80	19.25	1698513	32488336.00
2021/07/12	19.26	19.37	18.86	18.90	1674472	31892800.00
2021/07/13	18.98	19.04	18.57	18.66	1288974	24089058.00
2021/07/14	18.61	18.74	18.40	18.40	964845	17906030.00
2021/07/15	18.44	18.70	18.11	18.35	873729	16025144.00
2021/07/16	18.48	18.48	18.10	18.23	1002507	18296062.00
2021/07/19	18.23	18.64	18.19	18.26	780700	14333356.00
2021/07/20	18.12	18.35	17.95	18.06	823204	14874276.00
2021/07/21	18.18	18.40	18.01	18.37	859058	15713585.00
2021/07/22	18.45	18.45	17.90	18.05	1286058	23212554.00
2021/07/23	18.05	18.16	17.80	18.00	781713	14033439.00
2021/07/26	18.07	18.09	17.49	17.80	838081	14824777.00
2021/07/27	17.73	17.94	17.58	17.62	618081	10956481.00
