000011 深物业A 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2009/01/05	3.93	3.97	3.83	3.91	998900	3886304.50
2009/01/06	3.95	4.05	3.90	4.04	1034200	4135275.75
2009/01/07	4.00	4.12	4.00	4.07	901900	3661965.25
2009/01/08	4.02	4.16	3.94	4.08	1050600	4301621.00
2009/01/09	4.08	4.18	4.07	4.18	934200	3868559.75
2009/01/12	4.20	4.29	4.14	4.20	899800	3793233.25
2009/01/13	4.08	4.18	3.99	3.99	902600	3671632.00
2009/01/14	3.99	4.15	3.98	4.12	539600	2199016.75
2009/01/15	4.10	4.23	4.10	4.14	691600	2883123.00
2009/01/16	4.20	4.24	4.11	4.17	1313900	5470824.50
2009/01/19	4.15	4.23	4.10	4.17	874100	3643950.50
2009/01/20	4.17	4.20	4.12	4.18	483200	2014434.25
2009/01/21	4.16	4.38	4.13	4.32	1711700	7342811.00
2009/01/22	4.36	4.37	4.27	4.30	650100	2809633.00
2009/01/23	4.32	4.52	4.29	4.52	2368300	10624732.00
2009/02/02	4.59	4.59	4.33	4.48	1503400	6661197.50
2009/02/03	4.48	4.59	4.42	4.52	1968700	8881780.00
2009/02/04	4.51	4.69	4.51	4.65	1859800	8597608.00
2009/02/05	4.60	4.88	4.57	4.74	3076300	14813998.00
2009/02/06	4.74	4.94	4.72	4.89	1827400	8853553.00
2009/02/09	4.96	5.08	4.82	5.00	2297200	11327715.00
2009/02/10	5.00	5.12	4.86	5.00	2843300	14225221.00
2009/02/11	4.90	5.16	4.89	4.96	3845800	19183690.00
2009/02/12	4.95	5.01	4.79	4.96	2960500	14532494.00
2009/02/13	4.97	5.21	4.92	5.13	3992500	20264548.00
2009/02/16	5.16	5.35	5.05	5.27	3735800	19326362.00
2009/02/17	5.22	5.27	5.01	5.01	3157100	16088715.00
2009/02/18	4.92	5.01	4.76	4.76	2175300	10559592.00
2009/02/19	4.79	4.87	4.71	4.79	1616200	7718549.50
2009/02/20	4.80	4.99	4.73	4.90	1527400	7415847.50
2009/02/23	4.90	5.10	4.88	5.08	2359900	11839137.00
2009/02/24	5.00	5.11	4.83	4.83	3323900	16397912.00
2009/02/25	4.85	4.89	4.59	4.82	2820900	13343108.00
2009/02/26	4.80	4.88	4.58	4.58	2322300	10999655.00
2009/02/27	4.39	4.49	4.35	4.43	2990900	13098746.00
2009/03/02	4.43	4.60	4.35	4.53	1510200	6795090.00
2009/03/03	4.40	4.65	4.33	4.59	1467400	6660602.00
2009/03/04	4.59	4.82	4.59	4.82	963600	4635246.00
2009/03/05	5.06	5.06	5.00	5.06	5533300	27984392.00
2009/03/06	5.06	5.31	4.92	5.31	4891400	25727782.00
2009/03/09	5.40	5.45	5.04	5.17	4395100	23050150.00
2009/03/10	5.15	5.43	5.08	5.43	2885300	15413609.00
2009/03/11	5.70	5.70	5.59	5.70	1544200	8784408.00
2009/03/13	5.68	5.80	5.42	5.42	5067600	28035844.00
2009/03/16	5.40	5.48	5.26	5.45	1895400	10192010.00
2009/03/17	5.45	5.72	5.36	5.72	1367900	7714930.50
2009/03/18	5.89	6.01	5.67	5.73	4388100	25644120.00
