000046 *ST泛海 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2009/01/05	5.93	6.05	5.87	6.04	7927900	47377336.00
2009/01/06	6.03	6.32	5.98	6.25	12162200	75159456.00
2009/01/07	6.30	6.40	6.21	6.23	7281000	45905372.00
2009/01/08	6.10	6.23	5.95	6.20	6497300	39733860.00
2009/01/09	6.22	6.36	6.11	6.27	6639800	41434568.00
2009/01/12	6.21	6.36	6.15	6.25	6983700	43606060.00
2009/01/13	6.18	6.26	6.08	6.10	5937800	36623132.00
2009/01/14	6.10	6.29	5.92	6.29	9738300	59623948.00
2009/01/15	6.20	6.73	6.10	6.61	16230000	104664856.00
2009/01/16	6.67	6.85	6.50	6.55	10796200	72530928.00
2009/01/19	6.63	6.94	6.61	6.71	9646900	65299216.00
2009/01/20	6.64	6.70	6.35	6.62	5041800	32834972.00
2009/01/21	6.46	6.74	6.40	6.57	5058500	33244466.00
2009/01/22	6.66	6.77	6.45	6.69	5902000	39176876.00
2009/01/23	6.62	6.83	6.56	6.68	5746700	38503680.00
2009/02/02	6.74	6.83	6.65	6.80	3911300	26506766.00
2009/02/03	6.89	7.13	6.60	7.00	11045700	75367656.00
2009/02/04	7.00	7.23	6.88	7.18	12432200	87928584.00
2009/02/05	7.14	7.45	6.95	7.05	12677600	91979024.00
2009/02/06	7.08	7.76	7.01	7.76	18906600	142246944.00
2009/02/09	7.88	8.52	7.84	8.17	23935200	194342464.00
2009/02/10	8.15	8.60	8.00	8.59	17458600	146105648.00
2009/02/11	8.46	8.83	8.30	8.50	17097900	146137552.00
2009/02/13	8.50	9.35	8.50	9.35	15727300	143658000.00
2009/02/16	9.69	10.00	9.10	9.45	18338000	175491616.00
2009/02/17	9.34	9.42	8.55	8.55	16151500	144001008.00
2009/02/18	8.33	8.73	8.28	8.60	12313200	105542552.00
2009/02/19	8.63	8.91	8.50	8.75	7725000	67185784.00
2009/02/20	8.80	8.96	8.50	8.87	7285300	63981724.00
2009/02/23	8.95	9.64	8.95	9.40	13742800	129236848.00
2009/02/24	9.25	9.94	9.14	9.44	15154500	144767312.00
2009/02/25	9.41	9.50	8.80	9.05	9367600	85459456.00
2009/02/26	9.00	9.12	8.15	8.15	8708300	75026320.00
2009/02/27	8.10	8.44	7.45	7.95	10257600	81220952.00
2009/03/02	7.80	8.34	7.70	8.22	5766600	46885860.00
2009/03/03	7.92	8.55	7.81	8.40	7228600	60179052.00
2009/03/04	8.58	9.15	8.58	9.15	7127900	63144292.00
2009/03/05	9.40	9.41	8.65	8.89	14275700	128623032.00
2009/03/06	8.80	9.13	8.68	8.79	9740000	86489656.00
2009/03/09	8.86	9.15	7.92	8.26	13369800	113799560.00
2009/03/10	8.16	8.40	7.90	8.38	7059700	57118104.00
2009/03/11	8.52	8.59	8.15	8.20	7925700	66791024.00
2009/03/12	8.11	8.42	7.79	8.34	5672300	45924456.00
2009/03/13	8.31	8.41	8.19	8.19	4412700	36602368.00
2009/03/16	8.19	8.37	8.02	8.29	2355300	19481922.00
2009/03/17	8.31	9.12	8.26	9.12	14222600	125611552.00
2009/03/18	9.14	9.53	9.00	9.45	18360900	171247904.00
2009/03/19	9.45	9.63	9.32	9.52	12722200	120726696.00
2009/03/20	9.48	9.60	9.07	9.30	11282000	104835680.00
2009/03/23	9.33	9.99	9.18	9.89	20695800	201561808.00
2009/03/24	9.90	10.80	9.90	10.60	20166500	208456336.00
2009/03/25	10.41	11.20	10.32	10.53	16050200	173138768.00
2009/03/26	10.41	10.98	10.31	10.74	13072200	138772912.00
2009/03/27	10.75	11.20	10.45	10.70	13844900	150606688.00
2009/03/30	10.50	10.69	10.28	10.30	7150400	74804472.00
2009/03/31	10.02	10.66	9.94	10.59	6697800	69294080.00
2009/04/01	10.61	10.96	10.50	10.76	6819800	73155088.00
2009/04/02	10.86	11.84	10.75	11.60	15314100	173251920.00
2009/04/03	11.61	11.91	11.22	11.35	8473500	98501304.00
2009/04/07	11.26	11.57	11.04	11.30	7254200	81857472.00
2009/04/08	11.30	11.60	11.00	11.00	8061200	90762000.00
2009/04/09	10.84	11.06	10.15	10.86	10049100	108194608.00
2009/04/13	11.29	11.59	10.97	11.08	10767500	120830856.00
2009/04/14	11.07	11.53	10.90	11.30	11043500	124419200.00
2009/04/15	11.23	11.25	10.75	11.18	12306700	134783344.00
2009/04/16	11.00	11.17	10.70	10.88	7596900	82598632.00
2009/04/17	10.91	11.10	10.75	10.85	7994800	87289736.00
2009/04/20	10.78	10.98	10.70	10.93	5387900	58672788.00
