000049 德赛电池 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2009/01/05	6.51	6.88	6.51	6.82	4030600	27387480.00
2009/01/06	6.80	7.21	6.71	7.10	5709800	40045960.00
2009/01/07	7.06	7.29	6.92	7.08	5003300	35665748.00
2009/01/08	6.91	7.16	6.80	6.83	3877700	27001098.00
2009/01/09	6.85	7.46	6.82	7.28	6418600	45963256.00
2009/01/12	7.13	7.86	7.13	7.41	8598900	65045704.00
2009/01/13	7.32	7.59	7.20	7.39	5526900	40945220.00
2009/01/14	7.31	7.90	7.24	7.80	10201200	78237392.00
2009/01/15	7.76	8.20	7.65	8.04	11574300	92644416.00
2009/01/16	8.10	8.13	7.89	7.94	8092000	64618172.00
2009/01/19	8.04	8.48	7.64	8.35	13187300	106463792.00
2009/01/20	8.30	8.50	8.15	8.38	8831900	73704440.00
2009/01/21	8.28	8.40	8.01	8.09	6336400	51914552.00
2009/01/22	8.10	8.50	8.02	8.43	9292400	77713640.00
2009/01/23	8.49	8.68	8.21	8.41	8438400	70793072.00
2009/02/02	8.80	8.80	8.34	8.41	8081700	67836032.00
2009/02/03	8.31	8.55	8.21	8.50	8186600	68598864.00
2009/02/04	8.48	8.48	8.31	8.44	7037500	59111272.00
2009/02/05	8.41	8.84	8.31	8.50	11144200	95883320.00
2009/02/06	8.49	9.10	8.45	8.85	11700800	103521344.00
2009/02/09	8.98	9.55	8.70	9.38	13020400	118705696.00
2009/02/10	9.21	10.20	9.10	10.07	13437800	130323336.00
2009/02/11	9.80	10.57	9.70	9.77	13298700	134021552.00
2009/02/12	9.78	9.93	9.23	9.72	7519600	72288408.00
2009/02/13	9.72	10.04	9.50	9.97	9251600	90527280.00
2009/02/16	9.95	10.04	9.71	9.89	7864100	77839720.00
2009/02/17	9.81	9.81	9.18	9.30	6600700	62901856.00
2009/02/18	9.19	9.66	9.01	9.22	6110600	57851908.00
2009/02/19	9.32	9.59	9.20	9.33	4030500	37887536.00
2009/02/20	9.49	9.60	9.21	9.58	4470800	42272268.00
2009/02/23	9.40	10.18	9.33	10.01	8551300	84552032.00
2009/02/24	9.83	10.18	9.30	9.38	6829200	66637240.00
2009/02/25	9.45	9.58	8.80	9.00	6602700	59916532.00
2009/02/26	9.00	9.18	8.10	8.12	6144400	52872920.00
2009/02/27	8.00	8.12	7.41	7.50	4999400	38388332.00
2009/03/02	7.48	8.00	7.33	7.94	4795600	37539884.00
2009/03/03	7.80	8.15	7.65	8.03	4710800	37479464.00
2009/03/04	8.01	8.58	8.01	8.58	6314000	53182872.00
2009/03/05	8.68	8.99	8.36	8.60	6283500	54605416.00
2009/03/06	8.37	8.51	8.23	8.37	4039300	33835608.00
2009/03/09	8.47	8.55	7.72	7.74	4059700	32757582.00
2009/03/10	7.62	8.40	7.61	8.33	4636000	37276648.00
2009/03/11	8.41	8.51	8.05	8.14	4403800	36622796.00
2009/03/12	8.10	8.24	7.80	8.19	2941600	23646392.00
2009/03/13	8.29	8.78	8.21	8.49	8126500	69517560.00
2009/03/16	8.36	8.65	8.25	8.56	4566400	38645372.00
2009/03/17	8.58	9.15	8.51	9.02	7001500	61556416.00
2009/03/18	9.03	9.18	8.90	8.95	6653300	59971104.00
2009/03/19	8.95	9.32	8.90	9.23	7627600	69792360.00
2009/03/20	9.25	9.76	9.01	9.54	8991100	83767736.00
2009/03/23	9.43	9.78	9.31	9.55	9342800	90152672.00
2009/03/24	9.54	9.89	9.45	9.67	9105000	88143800.00
2009/03/25	9.59	9.61	8.97	9.00	7771900	72564360.00
2009/03/26	9.01	9.40	8.75	9.40	7970600	72580712.00
2009/03/27	9.42	10.15	9.42	9.73	12548100	123259888.00
2009/03/30	9.82	9.95	9.53	9.60	6472300	62844768.00
2009/03/31	9.20	10.56	9.14	10.56	12999300	128106320.00
2009/04/01	10.56	10.87	10.20	10.44	14990900	157434976.00
2009/04/02	10.35	10.59	10.20	10.23	9350300	96932792.00
2009/04/03	10.26	10.35	9.86	9.90	7944200	79616160.00
2009/04/07	9.83	10.50	9.76	10.38	9154400	93772032.00
2009/04/08	10.20	10.37	9.71	9.73	8384400	84033472.00
2009/04/09	9.72	9.98	9.55	9.84	4642300	45419744.00
2009/04/10	9.96	10.56	9.90	10.23	10256300	105270824.00
2009/04/13	10.33	10.50	10.10	10.28	9050900	93244880.00
2009/04/14	10.28	10.55	9.98	10.55	11171600	115082352.00
2009/04/15	10.44	10.56	10.15	10.31	7496800	77562328.00
2009/04/16	10.31	10.40	10.02	10.10	5623600	57151912.00
2009/04/17	10.01	10.20	9.75	9.99	5802600	57966548.00
2009/04/20	9.90	10.16	9.90	10.11	4208900	42414788.00
2009/04/21	9.93	10.25	9.85	10.00	4362400	43694016.00
2009/04/22	10.00	10.17	9.29	9.35	5217300	51168956.00
2009/04/23	9.30	9.48	9.12	9.38	3297200	30756488.00
2009/04/24	9.41	9.49	9.22	9.24	3281800	30772310.00
2009/04/27	9.15	9.25	8.80	9.09	3532500	31944626.00
2009/04/28	9.06	9.23	8.88	9.18	4305500	39205208.00
2009/04/29	9.34	9.69	9.34	9.62	7415400	70921016.00
2009/04/30	9.50	9.96	9.35	9.82	8338500	81228944.00
