000050 深天马Ａ 日线 不复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2009/01/05	3.12	3.19	3.09	3.18	2246400	7064078.50
2009/01/06	3.18	3.30	3.15	3.29	4707000	15228068.00
2009/01/07	3.29	3.33	3.25	3.28	4640200	15259236.00
2009/01/08	3.22	3.23	3.13	3.15	3610300	11498811.00
2009/01/09	3.14	3.24	3.12	3.23	2592000	8310118.00
2009/01/12	3.23	3.33	3.19	3.31	4659800	15307734.00
2009/01/13	3.26	3.31	3.18	3.21	3279200	10621925.00
2009/01/14	3.20	3.38	3.17	3.34	5664500	18760534.00
2009/01/15	3.33	3.46	3.28	3.38	7831900	26490694.00
2009/01/16	3.40	3.48	3.36	3.39	7140600	24453216.00
2009/01/19	3.39	3.42	3.28	3.32	6037600	20182408.00
2009/01/20	3.30	3.37	3.25	3.36	3042000	10052910.00
2009/01/21	3.32	3.54	3.28	3.52	10560700	35943356.00
2009/01/22	3.49	3.55	3.44	3.47	7305300	25431516.00
2009/01/23	3.48	3.52	3.41	3.43	4427000	15212587.00
2009/02/02	3.43	3.53	3.43	3.51	5911100	20638388.00
2009/02/03	3.51	3.66	3.51	3.63	9213800	33166052.00
2009/02/04	3.64	3.99	3.63	3.97	26896300	103240232.00
2009/02/05	3.90	4.02	3.76	3.81	18335000	71458944.00
2009/02/06	3.82	4.10	3.80	4.09	18925200	75966536.00
2009/02/09	4.13	4.25	4.06	4.18	18965800	78666352.00
2009/02/10	4.13	4.28	4.06	4.27	14543300	60570028.00
2009/02/11	4.27	4.54	4.17	4.33	21666400	94806616.00
2009/02/12	4.37	4.52	4.20	4.52	15826800	69416848.00
2009/02/13	4.57	4.85	4.53	4.76	16079800	75538944.00
2009/02/16	4.84	4.91	4.61	4.81	21340400	101815704.00
2009/02/17	4.77	4.79	4.46	4.47	13282700	61261056.00
2009/02/18	4.38	4.51	4.18	4.19	10473000	45356164.00
2009/02/19	4.35	4.42	4.20	4.31	11966400	51181024.00
2009/02/20	4.33	4.44	4.17	4.37	11706200	50253228.00
2009/02/23	4.33	4.57	4.24	4.53	11601200	51440328.00
2009/02/24	4.45	4.62	4.24	4.27	13459900	59649416.00
2009/02/25	4.32	4.38	4.15	4.32	8370500	35762264.00
2009/02/26	4.30	4.38	3.90	3.94	10113100	42502768.00
2009/02/27	3.90	3.92	3.60	3.63	8081500	30134436.00
2009/03/02	3.58	3.86	3.55	3.86	6408500	23733394.00
2009/03/03	3.82	4.05	3.73	3.94	13522100	53276868.00
2009/03/04	3.86	4.15	3.86	4.13	13021700	52561436.00
2009/03/05	4.13	4.27	4.03	4.15	11674200	48485424.00
2009/03/06	4.09	4.23	4.05	4.11	8769000	36282484.00
2009/03/09	4.12	4.17	3.80	3.82	8930400	35471352.00
2009/03/10	3.80	3.93	3.70	3.92	5537400	21100754.00
2009/03/11	3.99	4.03	3.87	3.88	5417500	21318742.00
2009/03/12	3.84	3.92	3.72	3.92	4785500	18276258.00
2009/03/13	3.95	4.10	3.82	4.10	8395000	33320130.00
2009/03/16	4.10	4.40	4.05	4.30	23671700	100666120.00
2009/03/17	4.23	4.39	4.21	4.35	16250400	70078896.00
2009/03/18	4.35	4.43	4.28	4.32	14805600	64442244.00
2009/03/19	4.34	4.50	4.29	4.46	14904300	65243764.00
2009/03/20	4.45	4.46	4.24	4.32	11077100	48199512.00
2009/03/23	4.35	4.43	4.32	4.38	12261600	53679620.00
2009/03/24	4.40	4.55	4.35	4.47	14494500	64539908.00
2009/03/25	4.44	4.59	4.35	4.35	15778700	71267336.00
2009/03/26	4.35	4.41	4.19	4.41	10830000	46702640.00
2009/03/27	4.41	4.48	4.35	4.43	10855400	47951456.00
2009/03/30	4.43	4.58	4.41	4.56	14852000	66856024.00
2009/03/31	4.43	4.55	4.38	4.55	10120500	45293304.00
2009/04/01	4.55	4.75	4.53	4.66	18360500	85250072.00
2009/04/02	4.67	4.74	4.58	4.58	13272500	61701900.00
2009/04/03	4.60	4.63	4.44	4.47	9424600	42644596.00
2009/04/07	4.46	4.54	4.43	4.51	6244800	28001656.00
2009/04/08	4.50	4.54	4.30	4.30	9349700	41324716.00
2009/04/09	4.24	4.41	4.24	4.41	7176800	30948620.00
2009/04/10	4.42	4.62	4.38	4.56	17086800	77113592.00
